pair_id,condition,vision_gap,projector_gap,hidden_gap,action_gap,chunk_max_l2,first_action_l2,translation_gap,rotation_gap,gripper_gap
episode_000001_000000,C0_original,61.55415030035275,6.698636952329482,239.65016992588016,0.41231154319750535,0.6958578495177282,0.1625254011692389,0.0030481909844264003,0.010294300690097548,0.16217041015625
episode_000001_000001,C0_original,62.013672093757116,6.689553663881734,237.92230012831894,0.4223623216797792,0.7116071267480509,0.1670498482654469,0.003206364914947832,0.01052668769434712,0.16668701171875
episode_000001_000002,C0_original,62.51747030930744,6.674823306825329,240.89690769403163,0.4256131782234328,0.7090460723105906,0.16773348645957953,0.0032889659335255572,0.010717819526799937,0.1673583984375
episode_000001_000003,C0_original,62.722531161025515,6.67933319887319,237.02647453021368,0.41285017949567154,0.6993832676048961,0.1612106930683194,0.003105862515682482,0.010663603755923245,0.16082763671875
episode_000001_000004,C0_original,65.65840969659972,6.940103274670975,237.67950650630036,0.48417276680635213,0.7412302421521341,0.1819778485287944,0.002810600444077887,0.009620009187896647,0.18170166015625
episode_000001_000005,C0_original,66.7494189719744,7.23793158377052,226.78998868675822,0.5909889849440597,0.795943028075068,0.2351925544684024,0.0030267371012261952,0.009394737406695964,0.2349853515625
episode_000001_000006,C0_original,67.41576880684725,6.991350976528825,252.74786498128694,0.6863385817761137,0.8599479071525894,0.3565086146262137,0.003604260726410429,0.010915524921249585,0.3563232421875
episode_000001_000007,C0_original,68.89210367183088,6.993539620309784,279.3962471061215,0.8060112656264113,0.9120023827845697,0.5329972006729692,0.0041480222994006635,0.012394871866100776,0.5328369140625
episode_000001_000008,C0_original,69.20217157074178,7.275234207544857,289.0305565014279,0.7153425925746336,0.8894189251459025,0.3734131652210291,0.004898457384422971,0.015793230460387567,0.373046875
episode_000001_000009,C0_original,71.04543935636421,7.6070920694959066,267.99328257107715,0.7096439937759634,0.8538599476144265,0.3920410943278778,0.004314101125050118,0.013504892369031808,0.39178466796875
episode_000001_000010,C0_original,72.42308158365907,7.582108904185829,244.80412315616675,0.5612115744631401,0.7241821235864591,0.24216357816273368,0.002862862997515784,0.009920355758513758,0.241943359375
episode_000001_000011,C0_original,66.40389954083584,7.501429768601904,252.71240616328157,0.703573422829473,0.8588027548602003,0.4328067892181598,0.0035718778182269005,0.009925428011567797,0.43267822265625
episode_000001_000012,C0_original,65.51638274536352,7.199118097413413,258.78990418166904,0.787386186891976,0.9043609259933332,0.5480528507139153,0.0029605409234539446,0.008835163572966381,0.5479736328125
episode_000001_000013,C0_original,65.73202349800637,7.584385225820279,253.80532758943792,0.78914286098836,0.889712605947556,0.6161749358491344,0.00439035186437074,0.009315798774923672,0.6160888671875
