episode_id,planner_phase,count,vision_backbone_output_pooled_cosine_distance_mean,vision_backbone_output_pooled_cosine_distance_std,vision_backbone_output_pooled_cosine_distance_max,vision_backbone_output_pooled_l2_mean,vision_backbone_output_pooled_l2_std,vision_backbone_output_pooled_l2_max,vision_backbone_output_token_mean_l2_per_token_mean,vision_backbone_output_token_mean_l2_per_token_std,vision_backbone_output_token_mean_l2_per_token_max,projector_output_pooled_cosine_distance_mean,projector_output_pooled_cosine_distance_std,projector_output_pooled_cosine_distance_max,projector_output_pooled_l2_mean,projector_output_pooled_l2_std,projector_output_pooled_l2_max,projector_output_token_mean_l2_per_token_mean,projector_output_token_mean_l2_per_token_std,projector_output_token_mean_l2_per_token_max
episode_000001,alignment,18,0.09779954077662412,0.009178696223961624,0.1129758943626138,67.70824168448864,2.733379905703858,72.49550876817914,12.21471114878625,0.42545677875133725,12.780336548642683,0.04653154807577976,0.007676179895957452,0.06041127725309825,7.438079412490097,0.4618798365739682,8.374677193159533,1.7189087737160131,0.058605339954887016,1.8129068538447963
episode_000001,descent_to_grasp,8,0.13776901646544987,0.027225214728750235,0.1723092384613838,82.61336068919736,10.461909017198593,95.76575729408222,13.231689850468468,0.5278459357928245,13.888874931000675,0.08322823671304103,0.02761226914163047,0.11856909777429936,10.081653122400652,1.683277328637213,12.08352030760074,1.8175070374923292,0.04103600046709614,1.8649741995888705
episode_000001,grasp_close,10,0.1617673268466036,0.006758815006137865,0.1689928338045743,94.69274048918898,2.0179318626514413,96.86181273180259,12.92091916378351,0.03721616958098871,12.981311911639818,0.10855200973312576,0.003962080095822195,0.11300301381856559,11.742125374686564,0.14715215417243788,12.005525865450128,1.7620704751412537,0.008590180441841606,1.7725828777486392
episode_000001,hold,2,0.07814421068564487,0.0005128085980063424,0.07865701928365121,61.78165028611047,0.16561786093255648,61.947268147043026,11.344508317015617,0.022955049586893317,11.367463366602509,0.03394304311535079,0.00022714873336759922,0.03417019184871839,6.6914991227567056,0.010344360112881645,6.701843482869587,1.6140179096981888,0.0035584381229498696,1.6175763478211387
episode_000001,lift,8,0.1387350500063313,0.021605560392328246,0.167567686402458,84.9328237491282,8.766613586791115,96.61446378599766,12.809213278403437,0.19440102690603017,13.042216453055323,0.08091617034728196,0.02274222166741003,0.11208252857148215,9.70964665284099,1.837135493892658,11.958600958362156,1.7432256185987969,0.05359183819182362,1.8482934721419344
episode_000002,alignment,19,0.0970620113607761,0.012500864720189806,0.11193029588926928,69.90849845412704,4.665303456547303,75.10125614647617,11.938546667487346,0.4377063169172913,12.555822803815207,0.0453889844500825,0.007174864404744079,0.05495609139940372,8.02916907505833,1.1471704886612604,9.850025822611713,1.68783836128642,0.06415843612071569,1.7876797462743301
episode_000002,descent_to_grasp,8,0.16015597821800026,0.03230987678132748,0.20347051789170179,91.25280030712291,10.49946685227077,103.39963935804077,13.426200318128247,0.5697622171775286,14.04281742612061,0.0967176129707627,0.033694688581148095,0.1396074972764525,11.104422527490195,0.786940076369673,12.06868465779005,1.8012791797341312,0.021136634686542047,1.8332689817221572
episode_000002,grasp_close,10,0.17590646275703647,0.004101307742109121,0.1820193354342471,101.27468138199565,1.0904256135717971,102.87202657817211,13.250625835138903,0.025973292908051265,13.303516441240596,0.13193946726036657,0.0033796947228660005,0.13613843071113751,11.701603999471955,0.21519812760406326,12.023500798253023,1.708958122562058,0.009452348166040278,1.7213514302143404
episode_000002,hold,2,0.07149773925378877,7.08627466771139e-05,0.07156860200046589,59.650489379945654,0.03423746760106283,59.68472684754671,11.021938707350795,0.0038030610053354508,11.02574176835613,0.03196391634121548,7.661743949222144e-05,0.0320405337807077,6.195763143512206,0.02065749101439307,6.216420634526599,1.5525375120254392,0.0009514094754914382,1.5534889215009307
episode_000002,lift,8,0.15269562763647188,0.026673217968188983,0.1855084288594946,92.44646369285661,8.667579667290541,103.42257362202207,12.93029727200891,0.329391043371983,13.322154885684093,0.09162713548586011,0.03263322343132157,0.13935095379549,11.422082854269457,1.0896559253895606,13.38248817422528,1.7531446766390295,0.033697259748991966,1.8224738077318374
