pair_id,episode_id,step_index,planner_phase,condition,factor,description,rgb_l2_mean,mse,psnr,ssim_global,real_brightness,sim_brightness,brightness_abs_diff,real_luma_std,sim_luma_std,luma_std_abs_diff,vision_gap,projector_gap,hidden_gap,sensitive_energy,null_energy,sensitive_ratio,action_gap,translation_gap,rotation_gap,gripper_gap,status
episode_000001_000000,episode_000001,0,hold,P0_current_paired_image,preprocessing,Existing paired 1280x720 image.,0.41765815887427693,0.07833352606213596,11.060523239251282,0.6525442235799269,0.40733958476902904,0.6069602884752857,0.19962070370625667,0.2410775131064801,0.24426182104506822,0.0031843079385881212,,,,,,,,,,,OBSERVATION_ONLY_FULL_FORWARD_REQUIRED
episode_000001_000000,episode_000001,0,hold,P1_resize_224_direct,preprocessing,Direct resize to 224x224.,0.4155003253187627,0.07675313119528858,11.149038981557009,0.6610119036383448,0.4073064269457783,0.6069694198929572,0.19966299294717887,0.23985537730436743,0.24237079396517203,0.002515416660804598,,,,,,,,,,,OBSERVATION_ONLY_FULL_FORWARD_REQUIRED
episode_000001_000000,episode_000001,0,hold,P2_center_crop_square_resize_224,preprocessing,Center square crop then resize to 224x224.,0.44831415204806296,0.09147896239786762,10.386787700320152,0.4679939688720657,0.5341732831257503,0.73060910992522,0.1964358267994697,0.21097927855613463,0.21123380012287613,0.0002545215667414946,,,,,,,,,,,OBSERVATION_ONLY_FULL_FORWARD_REQUIRED
episode_000001_000000,episode_000001,0,hold,P3_center_crop_0p875_resize_224,preprocessing,Center crop 87.5% of min side then resize to 224x224.,0.45646226935473755,0.09462529466443441,10.239927550909343,0.314973714675375,0.5619601168123498,0.758585030340261,0.19662491352791123,0.1926845543444275,0.18448789138209526,0.008196662962332235,,,,,,,,,,,OBSERVATION_ONLY_FULL_FORWARD_REQUIRED
episode_000001_000000,episode_000001,0,hold,P4_letterbox_224,preprocessing,Aspect-preserving resize with black letterbox to 224x224.,0.2331015111965074,0.042791551874017585,13.686419631514672,0.793132289943617,0.22938206999987493,0.34173373777636046,0.11235166777648553,0.27046250621873075,0.35164613514541143,0.08118362892668068,,,,,,,,,,,OBSERVATION_ONLY_FULL_FORWARD_REQUIRED
episode_000001_000000,episode_000001,0,hold,P5_brightness_match_sim_to_real,photometric,Shift Sim brightness mean toward Real mean.,0.25727762669461074,0.0369373215329841,14.325346001144988,0.657324295896274,0.40733958476902904,0.40541965431219357,0.0019199304568354725,0.2410775131064801,0.16397207133494843,0.07710544177153167,,,,,,,,,,,OBSERVATION_ONLY_FULL_FORWARD_REQUIRED
episode_000001_000000,episode_000001,0,hold,P6_contrast_match_sim_to_real,photometric,Scale Sim contrast toward Real luminance std.,0.4136849135797682,0.07676763929938803,11.148218142845517,0.6532766559533171,0.40733958476902904,0.6047083848456224,0.19736880007659335,0.2410775131064801,0.2409218827762067,0.00015563033027340967,,,,,,,,,,,OBSERVATION_ONLY_FULL_FORWARD_REQUIRED
episode_000001_000001,episode_000001,1,hold,P0_current_paired_image,preprocessing,Existing paired 1280x720 image.,0.4185243193875,0.07869005687026537,11.040801408199432,0.6515707646568303,0.4072386505923201,0.6076264675713166,0.20038781697899644,0.24118615232691418,0.2442649456626365,0.003078793335722335,,,,,,,,,,,OBSERVATION_ONLY_FULL_FORWARD_REQUIRED
episode_000001_000001,episode_000001,1,hold,P1_resize_224_direct,preprocessing,Direct resize to 224x224.,0.4163733234947306,0.07708751944405212,11.13015929022023,0.6601339804780311,0.40721061010341636,0.6076397615608743,0.20042915145745793,0.23997061499888928,0.24234013329558038,0.0023695182966911033,,,,,,,,,,,OBSERVATION_ONLY_FULL_FORWARD_REQUIRED
episode_000001_000001,episode_000001,1,hold,P2_center_crop_square_resize_224,preprocessing,Center square crop then resize to 224x224.,0.44946250263991505,0.09193337639385821,10.365267894612968,0.46568215553237585,0.5341340398034214,0.7313504498830781,0.19721641007965662,0.21099286676306597,0.2109399732712891,5.289349177686753e-05,,,,,,,,,,,OBSERVATION_ONLY_FULL_FORWARD_REQUIRED
episode_000001_000001,episode_000001,1,hold,P3_center_crop_0p875_resize_224,preprocessing,Center crop 87.5% of min side then resize to 224x224.,0.45734003870759327,0.09501513115458601,10.22207227830436,0.312561165391886,0.5619176256440076,0.7591233898715735,0.19720576422756586,0.19270852331221788,0.18445068743511392,0.008257835877103964,,,,,,,,,,,OBSERVATION_ONLY_FULL_FORWARD_REQUIRED
episode_000001_000001,episode_000001,1,hold,P4_letterbox_224,preprocessing,Aspect-preserving resize with black letterbox to 224x224.,0.23357581606030578,0.04297673276827071,13.667666040759858,0.7923274144771821,0.22932249598276813,0.3421115570134304,0.11278906103066225,0.2704849534057138,0.3519233020809086,0.08143834867519478,,,,,,,,,,,OBSERVATION_ONLY_FULL_FORWARD_REQUIRED
episode_000001_000001,episode_000001,1,hold,P5_brightness_match_sim_to_real,photometric,Shift Sim brightness mean toward Real mean.,0.25759579202172206,0.03699067748048294,14.319077145526524,0.6564733912149376,0.4072386505923201,0.4056206634744351,0.0016179871178850225,0.24118615232691418,0.16376724569293266,0.07741890663398152,,,,,,,,,,,OBSERVATION_ONLY_FULL_FORWARD_REQUIRED
