phase,count,repr_metric,action_metric,spearman,pearson
alignment,85,vision_backbone_output_pooled_cosine_distance,action_chunk_max_l2,-0.06093414109829978,-0.08295700839210965
alignment,85,vision_backbone_output_pooled_l2,action_first_l2,0.22651944498729726,0.2584769174652155
alignment,85,vision_backbone_output_pooled_l2,action_first_translation_l2,0.16638655462184873,0.3456850808810363
alignment,85,vision_backbone_output_pooled_l2,action_first_rotation_l2,-0.25391831151065075,-0.1693792843091792
alignment,85,vision_backbone_output_pooled_l2,action_first_gripper_abs,0.22651944498729726,0.25860106151687545
alignment,85,vision_backbone_output_pooled_l2,action_chunk_mean_l2,0.048309556380691815,0.0007036998465037303
alignment,85,vision_backbone_output_pooled_l2,action_chunk_max_l2,-0.015673246042603086,-0.07324359897539258
alignment,85,projector_output_pooled_cosine_distance,action_first_l2,0.2765096736368966,0.3179462658485054
alignment,85,projector_output_pooled_cosine_distance,action_first_translation_l2,0.18721907367598203,0.40456881243840165
alignment,85,projector_output_pooled_cosine_distance,action_first_rotation_l2,-0.27004103967168264,-0.11472557149610851
alignment,85,projector_output_pooled_cosine_distance,action_first_gripper_abs,0.2765096736368966,0.31805612738095
alignment,85,projector_output_pooled_cosine_distance,action_chunk_mean_l2,0.032362712526871215,0.0227539312670244
alignment,85,projector_output_pooled_cosine_distance,action_chunk_max_l2,-0.06712917725229627,-0.04936708576771868
alignment,85,projector_output_pooled_l2,action_first_l2,0.332890365448505,0.33219858973261945
alignment,85,projector_output_pooled_l2,action_first_translation_l2,0.220031268321282,0.3775873358247204
alignment,85,projector_output_pooled_l2,action_first_rotation_l2,-0.23730701582958766,-0.1155068658721695
alignment,85,projector_output_pooled_l2,action_first_gripper_abs,0.332890365448505,0.3323230248543333
alignment,85,projector_output_pooled_l2,action_chunk_mean_l2,0.12040257963650576,0.015223885009151611
alignment,85,projector_output_pooled_l2,action_chunk_max_l2,0.01788157123314442,-0.1104332296818531
alignment,85,action_hidden_states_input_pooled_cosine_distance,action_first_l2,0.6788352550322455,0.7080348280199781
alignment,85,action_hidden_states_input_pooled_cosine_distance,action_first_translation_l2,0.680437756497948,0.6874690835375826
alignment,85,action_hidden_states_input_pooled_cosine_distance,action_first_rotation_l2,0.6167090091850693,0.6153879385747051
alignment,85,action_hidden_states_input_pooled_cosine_distance,action_first_gripper_abs,0.6788352550322455,0.7078760454376957
alignment,85,action_hidden_states_input_pooled_cosine_distance,action_chunk_mean_l2,0.8691225327340238,0.8175556809434114
alignment,85,action_hidden_states_input_pooled_cosine_distance,action_chunk_max_l2,0.8496384600351768,0.7237585971385323
alignment,85,action_hidden_states_input_pooled_l2,action_first_l2,0.6491498925151455,0.5992754514542498
alignment,85,action_hidden_states_input_pooled_l2,action_first_translation_l2,0.6348837209302326,0.5836635382242757
alignment,85,action_hidden_states_input_pooled_l2,action_first_rotation_l2,0.43263631033808875,0.44767734992097064
alignment,85,action_hidden_states_input_pooled_l2,action_first_gripper_abs,0.6491498925151455,0.599152027700035
alignment,85,action_hidden_states_input_pooled_l2,action_chunk_mean_l2,0.6900332225913621,0.6466625324447609
alignment,85,action_hidden_states_input_pooled_l2,action_chunk_max_l2,0.695407465311706,0.5964830872010158
alignment,85,action_head_output_pooled_cosine_distance,action_first_l2,0.33480555012702756,0.08887989397259193
alignment,85,action_head_output_pooled_cosine_distance,action_first_translation_l2,0.5212820011725621,0.2306002991202413
alignment,85,action_head_output_pooled_cosine_distance,action_first_rotation_l2,0.8108071135430917,0.5041920544120327
alignment,85,action_head_output_pooled_cosine_distance,action_first_gripper_abs,0.33480555012702756,0.0886226400042308
alignment,85,action_head_output_pooled_cosine_distance,action_chunk_mean_l2,0.6846785225718194,0.3931812335209428
alignment,85,action_head_output_pooled_cosine_distance,action_chunk_max_l2,0.7719953097518077,0.4436997342395501
alignment,85,action_head_output_pooled_l2,action_first_l2,0.5031854602306038,0.5026247552218088
alignment,85,action_head_output_pooled_l2,action_first_translation_l2,0.6301739300371312,0.5629993395874019
alignment,85,action_head_output_pooled_l2,action_first_rotation_l2,0.7985733828415087,0.7532177279162443
alignment,85,action_head_output_pooled_l2,action_first_gripper_abs,0.5031854602306038,0.5023424260066734
