planner_phase,token_index,count,token_delta_norm_mean,token_delta_norm_p50,token_delta_norm_p90,token_norm_fraction_mean,token_norm_fraction_p50,token_norm_fraction_p90,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,improved_count,worsened_count
alignment,22,85,29.628356357386732,29.257405878867342,35.67285734857817,0.10945148108989096,0.10926743938314684,0.1233834025891612,0.6996497536797825,0.7377464656381132,0.8846140756210872,0.8425188524958805,0.8974087385257984,0.9429801393576097,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.01323763151178453,0.012626563896335125,0.022527098423567794,0.021916527303852008,0.01833128206934991,0.05023762473277122,0.006078264179806195,0.005987612405836029,0.007640981122023493,85,0
alignment,23,85,30.762821348656512,30.44838962160833,37.693058708658135,0.11358036231455448,0.11526386587895916,0.1302053101008446,0.7000031138284115,0.7373213728943988,0.8852425793179921,0.8425188524958805,0.8974087385257984,0.9429801393576097,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.012884271363155623,0.01264290142980401,0.022219002106374022,0.021190215887114262,0.015509082279668665,0.05080483673539177,0.006562826786470181,0.00666509110842318,0.008512962473978206,85,0
alignment,24,85,32.94050920753102,33.029114589100644,39.46310481795947,0.12172013550546656,0.12460076350723488,0.13794132271135662,0.6997612840648241,0.7374474159076725,0.88549865245322,0.8425188524958048,0.8974087385257984,0.9429801393687864,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.013126101126743167,0.013027798732603457,0.023335178734375295,0.021612110827598178,0.01638702329488714,0.05151520216708623,0.0075455639537057384,0.007793040876343076,0.009559597528166267,85,0
alignment,25,85,34.95662173704723,34.70399709128697,41.80282619012248,0.1292069726645615,0.13232858065495165,0.14352811779654984,0.6992222730919081,0.7368978438570499,0.8853243387293902,0.8425188524957956,0.8974087385257984,0.9429801393576097,0.0048711624149476,0.004734024948225695,0.007607973341372462,0.012385289581407385,0.011393084824584246,0.01900470063804614,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.013665112099659094,0.013759979036260694,0.024870284961387525,0.022460135199183544,0.017590490346909925,0.049982667965201996,0.008497132590799206,0.008794094679694758,0.010353760533207756,85,0
alignment,26,85,36.5400111400932,36.509557958351316,43.178274670097196,0.13480174234558184,0.13709468663126884,0.14856934761359136,0.7004432178407242,0.7384212722545926,0.8859859614801782,0.8425389625833459,0.8974087385257984,0.9429801393576097,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.012444167350843138,0.011610630290805335,0.02250365300702291,0.020254633299396467,0.016952540546355983,0.04300542292403966,0.009239380304766825,0.009442052731151838,0.011098081590804883,85,0
alignment,27,85,36.53635694056609,35.897201893006795,44.5628263035491,0.13471536851213578,0.13750779275237812,0.14952935740248172,0.6996019262991898,0.7326328651603238,0.8858082478945012,0.8425256139644659,0.8974087385257984,0.9429801393576097,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.013285458892377382,0.013016345864377277,0.022270562822863573,0.021293535477841817,0.01828066386631562,0.045935279373518816,0.009210542888813959,0.009499315026804981,0.011242754801879865,85,0
alignment,28,85,35.46061899874694,35.0321017913015,44.052598067747844,0.13093490166195154,0.13352480590549393,0.14340481023532278,0.7016849238574976,0.7421102750139934,0.8859611182537904,0.8190465716305847,0.8681089306179622,0.937054728980011,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.011202461334069533,0.011023931083859684,0.02076908585174222,0.01817417645373392,0.01463740591597478,0.03939050933746177,0.008698941121027936,0.008954528688062532,0.010336683300996437,85,0
alignment,29,85,34.7698792336285,34.26527999954686,42.27217429497852,0.1284542127954997,0.1306163316991936,0.14144111914480073,0.7023721128155485,0.7426993842970115,0.8862085657074278,0.8193454303018806,0.8681089306179622,0.9370547289819738,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.01051527237601877,0.010434821800841543,0.020324362749628577,0.017361237516346155,0.01285129707060878,0.03821714959677007,0.008365219836175136,0.008567009882439747,0.010053345320836633,85,0
alignment,30,85,35.20104760922578,35.08264117706615,42.505626925321714,0.13003074991076827,0.13243021679871306,0.14407795064047657,0.7027111540312274,0.742709586535881,0.886408126411664,0.81872009155469,0.8681089306179622,0.9370547289819738,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.010176231160339656,0.00914141507109778,0.020763661546265192,0.01670639611367753,0.013262770785228747,0.038761917119588846,0.008572226805316432,0.008807668674416288,0.010433666549554747,85,0
alignment,31,85,37.0225757446174,36.70072739417488,43.83405045369498,0.13673471032446152,0.13743441033632767,0.15487613009801832,0.7024069052268602,0.7418439428878932,0.8863806655702237,0.8180988605936318,0.8681089306179622,0.9370547289819738,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.010480479964706996,0.009561663556794997,0.022728405813498526,0.01731946728287696,0.013066625081897744,0.04244206153112448,0.009512191840494823,0.009489130369834916,0.012066397462431057,85,0
