frame,episode_id,progress,planner_phase,token_index,delta_hidden_norm,token_delta_norm,token_norm_fraction,hidden_after_gap,repr_gap_reduction_ratio,raw_gap_first_l2,raw_gap_first_translation_l2,raw_gap_first_rotation_l2,raw_gap_first_gripper_abs,raw_gap_chunk_mean_l2,raw_gap_chunk_max_l2,gap_to_sim_first_l2,gap_to_sim_first_translation_l2,gap_to_sim_first_rotation_l2,gap_to_sim_first_gripper_abs,gap_to_sim_chunk_mean_l2,gap_to_sim_chunk_max_l2,action_gap_reduction,action_gap_reduction_ratio
episode_000001_000000,episode_000001,0,hold,0,238.58495004610228,61.158443903881064,0.2563382304376839,230.61314604279815,0.03341285358428401,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.12457229361301737,0.002950936904075125,0.009861480918241208,0.12414628267288208,0.41398531048367165,0.7055274444796827,0.007996778682047734,0.018950516828469623
episode_000001_000000,episode_000001,0,hold,1,238.58495004610228,78.24720169480466,0.32796369460724484,225.3888946142504,0.05530967242192759,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.09469867886005723,0.002240203634470793,0.008114147767765709,0.09432381391525269,0.40801058753307967,0.7055274444796827,0.013971501632639716,0.033109229020269804
episode_000001_000000,episode_000001,0,hold,2,238.58495004610228,54.24795300689188,0.22737374254499051,232.33583017490687,0.026192431123538487,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.13186429466077979,0.002614517002554282,0.009221329396939882,0.1315154880285263,0.41544371069322417,0.7055274444796827,0.006538378472495221,0.01549444547616212
episode_000001_000000,episode_000001,0,hold,3,238.58495004610228,69.360270264537,0.29071519494894527,228.28037869543562,0.04319036615124084,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.10248914622980089,0.00292195959368636,0.009243322016555576,0.10202964395284653,0.4095686809921947,0.7055274444796827,0.01241340817352471,0.029416907712994798
episode_000001_000000,episode_000001,0,hold,4,238.58495004610228,61.36393916028712,0.25719953898361836,230.55855082653883,0.03364168283880641,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.09614121766146749,0.002112495492505758,0.007574649398750654,0.09581907838582993,0.4082990952933617,0.7055274444796827,0.013682993872357663,0.03242553232391843
episode_000001_000000,episode_000001,0,hold,5,238.58495004610228,43.87533566396664,0.18389816983631413,234.51595533966417,0.01705469982767917,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.09910200871953571,0.0024941863439616628,0.008991857150542026,0.09866171330213547,0.40889125350497535,0.7055274444796827,0.013090835660744038,0.03102225425402605
episode_000001_000000,episode_000001,0,hold,6,238.58495004610228,19.30029919368397,0.08089487283231625,237.80302109000928,0.003277360772093561,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.12689869970481896,0.0026763771300322764,0.009568740192426642,0.12650911509990692,0.41445059170778364,0.7055274445084407,0.007531497457935743,0.0178479078882848
episode_000001_000000,episode_000001,0,hold,7,238.58495004610228,16.48668874477382,0.06910196448513647,238.014637118674,0.002390397748550725,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.16472198197175308,0.0030873227999133252,0.010485804834383591,0.16435889899730682,0.40962819998651073,0.7055274444796827,0.012353889179208655,0.029275861455714716
episode_000001_000000,episode_000001,0,hold,8,238.58495004610228,22.47430537795292,0.09419833637289428,237.52407033031332,0.004446549187549176,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.16472198192900817,0.003087321407456249,0.010485804572880942,0.16435889899730682,0.4061612215706886,0.7055274444796827,0.015820867595030763,0.037491798825655
episode_000001_000000,episode_000001,0,hold,9,238.58495004610228,40.39279754572485,0.16930153196133982,235.14080950556243,0.014435699065990248,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.16472198192900817,0.003087321407456249,0.010485804572880942,0.16435889899730682,0.40552406632227694,0.7055274444796827,0.016458022843442444,0.03900170947061003
episode_000001_000000,episode_000001,0,hold,10,238.58495004610228,50.33981062126754,0.2109932357910265,233.21381145874707,0.022512478621628598,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.16472198192900817,0.003087321407456249,0.010485804572880942,0.16435889899730682,0.4060639489709444,0.7055274444796827,0.015918140194775,0.03772231240014474
