episode_id,token_index,count,token_delta_norm_mean,token_delta_norm_p50,token_delta_norm_p90,token_norm_fraction_mean,token_norm_fraction_p50,token_norm_fraction_p90,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,improved_count,worsened_count
episode_000001,0,46,90.84719914813479,90.61621133308243,112.78376954351731,0.33469953733520297,0.3382609912775092,0.4093825245147294,0.3064023135705822,0.4061054692483048,0.686950701198424,0.4237640272191597,0.6089109140118394,0.8741044501821946,0.0034200376695295727,0.0035245127884728604,0.004373989723261252,0.004368490221087973,0.002868878413505696,0.009994330280078883,0.2131922283898229,0.1525426283478737,0.531877726316452,0.009377334370922846,0.00785134080899974,0.0254137650753527,0.06547732896987961,0.03696337494858436,0.1767940114951944,0.05982314763164263,0.05894794589063715,0.087645948358502,45,1
episode_000001,1,46,76.64042350278946,76.54579464568485,82.32947510631996,0.2853465855014071,0.27531637177512763,0.3239607352718458,0.3037609198741609,0.4007612933486733,0.6879798620619553,0.42327209040879277,0.6089109140118394,0.8741044501821946,0.003284262123025034,0.00339301539719996,0.004493127726776132,0.004225367796153997,0.0023374543148089433,0.00945408238644886,0.2000304928616337,0.1297059953212738,0.49383243918418884,0.012018728067344159,0.013859185991944245,0.02584859584151261,0.05371630411258073,0.04125100553370313,0.10899666436274813,0.04204117134312692,0.03864748061423246,0.05393059260743886,45,1
episode_000001,2,46,53.486880600382364,51.84479250106409,59.89081978267802,0.19907892301423896,0.19463562262499307,0.22784667911539674,0.3085761788078544,0.4091045553529826,0.688459560343933,0.4239494969539687,0.6089109140118394,0.8741044501821946,0.0035846075582159904,0.0036177588972143757,0.004897172756192243,0.004361399266467112,0.0028504788360787237,0.0093629748920851,0.22394369089085123,0.16574527323246002,0.5555770993232727,0.007203469133650615,0.006042347553052746,0.019559273874576177,0.027579010182561616,0.01853339262852754,0.06561895291373818,0.020291814594610883,0.019124552515755257,0.026303003590842058,43,3
episode_000001,3,46,58.91467588297214,59.854494423438354,71.56933737698688,0.22120397123658367,0.22310158046428996,0.2905975540268687,0.30233806876404773,0.3977778564655322,0.6798666688501449,0.42371099411062474,0.6089109140186858,0.8741044501821946,0.0035695020672359633,0.0035518518072336397,0.004770825299465345,0.00446868032452543,0.0027970501724666145,0.00989923877081474,0.1927416188561398,0.1289014145731926,0.4725803732872009,0.013441579177457266,0.012813776224383067,0.0323656287813579,0.05160246919090512,0.037675709638793915,0.11746544836197464,0.026110079950773833,0.025219948377239846,0.04315463815842999,44,2
episode_000001,4,46,62.39885067232644,60.07932379548484,87.87961146063532,0.2337423520335751,0.23416036815781777,0.3369998576231413,0.3000666803291412,0.3940468086521036,0.6800163739097774,0.42379011613228046,0.6089109140118394,0.8741044501821946,0.003182176096451177,0.002998180659446189,0.004769190471137656,0.003676239055408475,0.002567833548324199,0.007891310084032117,0.18147203795935796,0.12631241232156754,0.4410278797149658,0.01571296761236385,0.01402669857066624,0.03797664993964206,0.04523141813076435,0.03791994145282339,0.09104176849932583,0.029922134483900954,0.02780201729959581,0.05849898829187929,42,4
episode_000001,5,46,45.63978003248117,44.45620868689639,49.25568811887989,0.16970153552765166,0.16727326697620243,0.19639384373283686,0.30536635523122874,0.4024568241999539,0.6864441731738535,0.4239745330288582,0.6089109140118394,0.8741044501821946,0.003429441719461915,0.0036905661126234155,0.004478546165474566,0.004351727538306953,0.002618741171979356,0.009407092683706814,0.20808353939134142,0.12339771538972855,0.5169800221920013,0.010413292710276249,0.013671232377226866,0.0246546701863935,0.028908945192595185,0.03199584174542178,0.040233131885828,0.014645918229810841,0.014089430734385565,0.01947494120939703,41,5
episode_000001,6,46,26.191646485808945,26.938433537812386,32.47077532141297,0.09625032010092506,0.09292619501596865,0.11823070330975094,0.3091582720913978,0.4080659093087782,0.6919035131019013,0.42423572355753536,0.6089109140118394,0.874104450195663,0.0036057201582374793,0.0038116014104288575,0.004793511746904889,0.004484964148762993,0.0026313349554774592,0.009881043702369256,0.22694517574880435,0.16284051537513733,0.561478853225708,0.006621375850107239,0.007357365669585614,0.018073578965010162,0.022509674642549084,0.019607441542781948,0.05933157860995354,0.004811407985563412,0.00432700111251981,0.007014007740931966,41,5
episode_000001,7,46,24.822971045655347,21.93264460998249,32.63281849509325,0.09081984499081659,0.07782323294061902,0.11840588808319154,0.30936216559589924,0.40359493830081095,0.6927828464670709,0.4204496740372124,0.597364992021882,0.8741044501821946,0.003958902175055311,0.004071465305141873,0.005302732392491466,0.004934546698240099,0.002887160369249203,0.010822554889396891,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.006417482345605774,0.006480012119451456,0.016006085614538146,0.015872972492892334,0.01596021524269072,0.030781048748352174,0.004378428666007252,0.003033319732197901,0.0070354981298355965,37,9
episode_000001,8,46,31.432372993080424,28.95223236448612,38.89902968696289,0.11529137594650464,0.1060095415990423,0.1403898302086915,0.30704163621520936,0.40012733374084064,0.6868476179878756,0.41891597555294224,0.5860852904509721,0.8741044501821946,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.008738011726295639,0.009139576788908671,0.021286361718862223,0.02139199154566213,0.023455189607550588,0.03934317383885434,0.006884254777686246,0.005635398735319012,0.009903867570467951,40,6
episode_000001,9,46,49.638455655293626,48.384075924897104,58.200535401638085,0.18318931374098807,0.18033600352818313,0.20108644913220622,0.3035249574880957,0.39964050564938924,0.6754425224370748,0.4172848772624387,0.5789074608652436,0.8741044501821946,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.012254690453409278,0.015765060864339958,0.028760000945640518,0.028671018308146754,0.03585809582533431,0.0493578613061211,0.017028537462830375,0.016394934250233292,0.020432163782164205,41,5
