token_index,count,token_delta_norm_mean,token_delta_norm_p50,token_delta_norm_p90,token_norm_fraction_mean,token_norm_fraction_p50,token_norm_fraction_p90,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,improved_count,worsened_count
0,225,91.64108645584842,89.66887952140064,112.43744987691335,0.33285186022646346,0.3177943326945827,0.43024789767747434,0.35889908864908016,0.335790849334286,0.8213077695367567,0.46250480508805963,0.55793661940154,0.9243781255193758,0.0035956211150294268,0.003521180101606477,0.006236353231165677,0.005204541979649001,0.0013480325163871675,0.014511055591405746,0.25888055470254684,0.19082319736480713,0.6975468158721924,0.011362974101395662,0.005383374196321889,0.03088822907517481,0.04740220753289828,0.03630916964405211,0.13008461621636527,0.05960880671428426,0.05184032879097578,0.09728929353197681,214,11
1,225,78.33564527614828,76.10147028755397,91.05977477334625,0.2832661027476822,0.27928008081991335,0.3232195406076584,0.35489963383969314,0.320566674863083,0.8090641289281982,0.4614625228038961,0.55793661940154,0.9243781255193758,0.003503597703446719,0.003583414164919772,0.005610972606449404,0.005299192530085206,0.001321165523862719,0.015192199812686123,0.23884615649779636,0.1764402836561203,0.6386314988136291,0.015362428910782702,0.010027993791010936,0.04035872226224195,0.03595400989299032,0.04227401251222951,0.08288933622587205,0.04158359039204434,0.039790316411450234,0.053676065384735544,188,37
2,225,58.15454553771132,55.51962891368281,73.7219378453885,0.21012600100345644,0.19916160748353706,0.26059797931548623,0.35940691892699067,0.3322154494220227,0.8145067338736391,0.46225459682497355,0.55793661940154,0.9243781255193758,0.003654928918161456,0.0036352145844214174,0.005810162053274853,0.005148021741968915,0.001909944519162103,0.014009241577139847,0.26131964789496526,0.19496214389801025,0.7062781691551208,0.010855143823485148,0.005769611528180729,0.027566670007619098,0.019216252582463036,0.02523233196908907,0.05788701784406436,0.022947788707327048,0.0200333403096951,0.034552614539048156,184,41
3,225,62.814785712239406,60.97886328073799,81.5737001350249,0.2278741512659218,0.22256454719212582,0.29282150972116305,0.3540351741378336,0.32859895218390117,0.798781933375847,0.4617349458921583,0.55793661940154,0.9243781255221988,0.0036641438215927694,0.003766138441800563,0.00589069958635269,0.005266712505800281,0.0016757359685265244,0.014501030567738767,0.23442153053151238,0.17864803969860077,0.6412003993988037,0.016226888612642196,0.010482500164171848,0.039067897865241716,0.034220800371973205,0.03947165569133222,0.10193717808411344,0.02773204734563108,0.025082043280992703,0.043832882686113996,186,39
4,225,65.64594323038462,60.306451056020165,95.354626063634,0.2367459133260538,0.22315620193088784,0.336685135788573,0.35150581557986854,0.326528213980009,0.7915333370097616,0.46193795022932377,0.55793661940154,0.9243781255193758,0.0033377275407841705,0.0033361170963357766,0.005219777785625909,0.004464584679248054,0.001450334947678033,0.012450669064338223,0.22187455786599053,0.17279237508773804,0.5608981966972351,0.01875624717060723,0.008937724511513923,0.047652797553772476,0.02648694525210413,0.03929333859589033,0.07389545690785242,0.03075870296523435,0.025217301374413626,0.058382724963293754,181,44
5,225,47.41280109225477,46.70525934151688,53.520977759977214,0.17162798171679539,0.16975548987483643,0.1926686005116451,0.35878898097336115,0.3307064137681207,0.8197236259064334,0.46206896724490776,0.55793661940154,0.9243781255193758,0.0035979144562716574,0.003541873536385634,0.006127503281922743,0.005197576584765117,0.001509404628397293,0.014279180219007245,0.2584083151817322,0.18765902519226074,0.7234012961387634,0.011473081777114634,0.00780430628429335,0.02786779057127655,0.009918403981026527,0.0265035963745687,0.04694193129474278,0.015045814594620855,0.014513788195210403,0.018736183618997652,170,55
6,225,26.252442942025276,26.531681856788623,32.839521671422204,0.0949903662442921,0.09199504302281566,0.11948764073439622,0.36273742606071097,0.3341053461836864,0.8299184975655961,0.46282474368422033,0.55793661940154,0.9243781255212649,0.0037706470691126403,0.003764150746551047,0.006298985130533031,0.005383276360895791,0.0014923444977574083,0.014945116564496133,0.2780589519606696,0.2053525298833847,0.7467450737953185,0.007524636689764848,0.004603494956755411,0.020545153857146947,0.0051153580684444085,0.017076847197726314,0.03789947444456989,0.004716457619551158,0.004240535039093817,0.007164328245420732,171,54
7,225,25.6410736008307,25.702941971935534,33.62162481734209,0.09247357019627031,0.08489649631524462,0.12138440089502044,0.3637864321708383,0.33100983359467157,0.8358645155834751,0.46194311435046254,0.55793661940154,0.9243781255193758,0.004149627949683974,0.0041474909635372224,0.0069405515653305425,0.005909907058573434,0.0018109530821350658,0.016633141097045015,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.006475630579637447,0.0036446290683130322,0.017157072558938856,0.0015151126109400506,0.013667603321809163,0.030790547850623986,0.0045486891355519705,0.003610224403423693,0.007394425539527611,165,60
8,225,33.39588525916298,33.51646447456571,43.36788267786005,0.12029325287256012,0.11428217455743266,0.15272755261029797,0.3611940544607117,0.32954540065555493,0.8315640239778462,0.4615107080575396,0.55793661940154,0.9243781255193758,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.00906800828976412,0.004955379242372215,0.02516914042513596,0.008340557076064714,0.019349627588070423,0.039593938247037025,0.007569183771747506,0.006551669900027358,0.011731668992274227,178,47
9,225,53.81955113395278,53.54971074528811,64.8656465080823,0.1937097858160172,0.1912651174505443,0.21925333731362245,0.3569168386208288,0.3259940120129839,0.8230023805694034,0.4610331779149029,0.55793661940154,0.9243781255193758,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.013345224129647002,0.0077423677453963835,0.03596723718865455,0.01866053265130321,0.029268532058745182,0.05263739358302611,0.01913219141924829,0.018461587686640996,0.02433209083573158,186,39
