variant,count,total_energy_mean,total_energy_p50,total_energy_p90,sensitive_energy_mean,sensitive_energy_p50,sensitive_energy_p90,null_energy_mean,null_energy_p50,null_energy_p90,sensitive_ratio_mean,sensitive_ratio_p50,sensitive_ratio_p90
aligned_P4_condition_specific_progress_phase,225,158.29461626324579,157.728657798408,189.4020360377538,21.531851049804164,17.482840476149885,40.18726327921397,156.59001796516029,156.24964498232995,187.61078163803862,0.1315256564050079,0.11453583173953909,0.21541231765444085
aligned_P4_original_P0_trained_progress_phase_transfer,225,257.84191313950487,256.72552071524325,286.24170421767195,56.65354744024559,57.34115428000852,77.09514794552524,251.01565066097905,249.88532758585293,279.6658062474199,0.22088163471501773,0.2235693078279803,0.3029652158696724
aligned_P4_raw,225,188.4954033549752,189.4662247800719,219.44492276893746,29.082477125199965,24.20579163391304,51.10155794093936,185.88878365377087,188.08179928109095,213.2536055161664,0.14769492798192746,0.1323951221808712,0.23576158337352898
original_P0_condition_specific_progress_phase,225,228.99706784323925,229.16757589370883,261.9442172947442,36.78441399558697,33.80248646023007,50.21452579320929,225.81291064102223,226.85067494420596,257.2033748430845,0.1585180502626832,0.15192273687584337,0.20342582229401535
original_P0_raw,225,277.5300904152036,278.9320501052853,316.24824449076067,67.58535944542076,62.50241572897802,105.72263681199658,268.35266079643213,272.651385523258,299.8773872164948,0.23973181323440326,0.2304088481400864,0.34001464417045196
