variant,frame,episode_id,progress,planner_phase,total_energy,sensitive_energy,null_energy,sensitive_ratio
original_P0_raw,episode_000001_000000,episode_000001,0,hold,239.65016992588016,43.45232138908427,235.67795762735847,0.1813156293714432
original_P0_raw,episode_000001_000001,episode_000001,1,hold,237.92230012831894,44.39255791352196,233.74413725320358,0.18658426675254766
original_P0_raw,episode_000001_000002,episode_000001,2,alignment,240.89690769403163,45.35758350416127,236.58827053598796,0.18828628369846456
original_P0_raw,episode_000001_000003,episode_000001,3,alignment,237.02647453021368,43.961079798044466,232.91408950772384,0.1854690700065269
original_P0_raw,episode_000001_000004,episode_000001,4,alignment,237.67950650630036,47.00243765042376,232.98566193651595,0.19775553366515353
original_P0_raw,episode_000001_000005,episode_000001,5,alignment,226.78998868675822,50.53337315285823,221.0883922017027,0.2228201229052258
original_P0_raw,episode_000001_000006,episode_000001,6,alignment,252.74786498128694,62.50241572897802,244.89779762309186,0.2472915675612358
original_P0_raw,episode_000001_000007,episode_000001,7,alignment,279.3962471061215,81.21623861162648,267.33160210264003,0.29068478711805523
original_P0_raw,episode_000001_000008,episode_000001,8,alignment,289.0305565014279,75.1921880818967,279.078479003634,0.2601530751352417
original_P0_raw,episode_000001_000009,episode_000001,9,alignment,267.99328257107715,66.90048734121,259.5086208524291,0.24963494121710553
original_P0_raw,episode_000001_000010,episode_000001,10,alignment,244.80412315616675,53.767025736057,238.82664352571268,0.21963284377264206
original_P0_raw,episode_000001_000011,episode_000001,11,alignment,252.71240616328157,62.62960595117867,244.82870070160376,0.24782956603528467
original_P0_raw,episode_000001_000012,episode_000001,12,alignment,258.78990418166904,67.88436904853467,249.72770560200124,0.26231459555269293
original_P0_raw,episode_000001_000013,episode_000001,13,alignment,253.80532758943792,66.6017959797657,244.91089213232547,0.26241291549049944
original_P0_raw,episode_000001_000014,episode_000001,14,alignment,267.18372019438084,70.41834867097691,257.737068555072,0.2635577819627121
original_P0_raw,episode_000001_000015,episode_000001,15,alignment,260.5781736273209,46.3286159425032,256.42668331474835,0.17779162121522282
original_P0_raw,episode_000001_000016,episode_000001,16,alignment,261.8282599650621,55.36124748870667,255.90851879690584,0.2114410701736091
original_P0_raw,episode_000001_000017,episode_000001,17,alignment,261.7050584156257,50.598548971116735,256.76706261190037,0.19334188371230823
original_P0_raw,episode_000001_000018,episode_000001,18,alignment,265.9244827965718,47.90806062856817,261.57340896473715,0.18015663742107232
original_P0_raw,episode_000001_000019,episode_000001,19,alignment,267.93160985326267,49.562403919468686,263.3076445458513,0.18498154789056948
original_P0_raw,episode_000001_000020,episode_000001,20,descent_to_grasp,263.04234076923734,46.98997899898167,258.811156851931,0.17864036208606124
original_P0_raw,episode_000001_000021,episode_000001,21,descent_to_grasp,254.04715238164778,44.17949706586103,250.17619325633632,0.17390274463494648
original_P0_raw,episode_000001_000022,episode_000001,22,descent_to_grasp,252.22063564885775,51.6929448264686,246.86653985966086,0.20495129073592397
original_P0_raw,episode_000001_000023,episode_000001,23,descent_to_grasp,260.45401143324085,57.11179938516137,254.1151991571064,0.21927786433729077
original_P0_raw,episode_000001_000024,episode_000001,24,descent_to_grasp,292.4976202613105,97.62897424117988,275.7234869341834,0.3337769864724385
original_P0_raw,episode_000001_000025,episode_000001,25,descent_to_grasp,317.6633624787187,123.40843373315023,292.7120946336459,0.3884880924579956
original_P0_raw,episode_000001_000026,episode_000001,26,descent_to_grasp,315.47152298586536,115.71985763107186,293.48116867163014,0.36681554181439274
original_P0_raw,episode_000001_000027,episode_000001,27,descent_to_grasp,312.4552898266412,111.80673719451126,291.7662791663352,0.3578327550688763
original_P0_raw,episode_000001_000028,episode_000001,28,grasp_close,295.70349747938087,65.40048700052851,288.3805380424135,0.22116913583373773
original_P0_raw,episode_000001_000029,episode_000001,29,grasp_close,296.8332991387985,65.47038403631552,289.52311875178606,0.2205628014992406
original_P0_raw,episode_000001_000030,episode_000001,30,grasp_close,309.25379916522814,69.53627518043898,301.334728719007,0.22485180575999045
original_P0_raw,episode_000001_000031,episode_000001,31,grasp_close,290.1816286223118,67.91310736926361,282.12264609093,0.23403655045873514
original_P0_raw,episode_000001_000032,episode_000001,32,grasp_close,282.9413916247015,65.14610301472915,275.3394565922527,0.23024592704746466
original_P0_raw,episode_000001_000033,episode_000001,33,grasp_close,282.0736873496763,64.99227339286577,274.4841880587476,0.2304088481400864
original_P0_raw,episode_000001_000034,episode_000001,34,grasp_close,281.60676353858054,65.7270738981843,273.828999610079,0.23340019633150463
original_P0_raw,episode_000001_000035,episode_000001,35,grasp_close,281.4657452532271,65.8757246600051,273.6482315884276,0.2340452640186766
