environment_condition,hidden_correction,action_gap,action_gap_reduction_from_condition_raw,repr_gap_reduction_ratio,worsened_frames,status,total_energy,sensitive_energy,null_energy,sensitive_ratio
aligned_P4,condition_specific_progress_phase,0.07257525932146475,0.029417897407367864,0.15281547790790012,74,VERIFIED_OFFLINE_FULL_FORWARD_ACTION_HEAD,158.29461626324579,21.531851049804164,156.59001796516029,0.1315256564050079
aligned_P4,original_P0_trained_progress_phase_transfer,0.09053069834211895,0.011462458386713663,-0.38654286446035285,109,VERIFIED_OFFLINE_FULL_FORWARD_ACTION_HEAD,257.84191313950487,56.65354744024559,251.01565066097905,0.22088163471501773
original_P0,condition_specific_progress_phase,0.061464168510814814,0.3087392691617711,0.17120013527904632,27,VERIFIED_OFFLINE_FULL_FORWARD_ACTION_HEAD,228.99706784323925,36.78441399558697,225.81291064102223,0.1585180502626832
