frame,phase,vision_backbone_output_before_cosine_distance,vision_backbone_output_after_cosine_distance,vision_backbone_output_before_l2,vision_backbone_output_after_l2,vision_backbone_output_cosine_improvement,vision_backbone_output_l2_improvement,projector_output_before_cosine_distance,projector_output_after_cosine_distance,projector_output_before_l2,projector_output_after_l2,projector_output_cosine_improvement,projector_output_l2_improvement
000000,home_hold,0.0808528424717272,0.009121144260151648,62.70858207961523,19.983298313590932,0.07173169821157555,42.725283766024305,0.03567224842598615,0.005147104270736946,6.631615275552692,2.322005506015455,0.030525144155249206,4.309609769537237
000001,home_hold,0.08224537294366652,0.009880572308457847,63.13820849636569,20.77481279483154,0.07236480063520867,42.36339570153415,0.036641623410563096,0.0056670005012817715,6.665305169021642,2.426984195801053,0.030974622909281324,4.238320973220588
000002,home_hold,0.0826165243500736,0.010022788108642766,63.15328632911254,20.966414038563045,0.07259373624143084,42.186872290549495,0.03671165573722601,0.0058106155482055,6.611371738553447,2.5176266619258403,0.030901040189020512,4.093745076627607
000003,home_hold,0.08262450732040116,0.010047190033241837,63.161725644605895,20.973100284863815,0.07257731728715933,42.188625359742076,0.037302998421618216,0.005669255995046196,6.686260265360639,2.435788421824806,0.03163374242657202,4.250471843535833
000004,home_hold,0.0817277777201958,0.008116303142527093,63.14092881009053,18.764848321401036,0.0736114745776687,44.376080488689496,0.03657172154416333,0.004048552349450785,6.883130226807529,1.9727217622018385,0.03252316919471254,4.91040846460569
000005,home_hold,0.08010449348632553,0.007734847223600183,62.5805281453777,18.29038710570332,0.07236964626272535,44.29014103967438,0.03622928511684642,0.003750693582759035,6.930279680713902,1.8884101751539268,0.032478591534087387,5.0418695055599745
000006,home_hold,0.07935520975986399,0.004456837904031952,62.95103872121701,13.920882697412404,0.07489837185583204,49.03015602380461,0.03690250894379821,0.0024618327343872703,7.299100335752333,1.4670373633922928,0.034440676209410936,5.83206297236004
000007,home_hold,0.07985266583137807,0.003658658373678181,63.91432012674852,12.714589758851632,0.07619400745769989,51.19973036789689,0.03633919015677933,0.0018753684804589943,7.538494731893908,1.347001664306161,0.03446382167632034,6.191493067587747
000008,home_hold,0.08623644493070493,0.004375054813788304,66.41464220489011,13.966619433371507,0.08186139011691662,52.44802277151861,0.04041904725269341,0.0023394597080068635,7.892138544583911,1.5525530229560616,0.038079587544686544,6.33958552162785
000009,home_hold,0.08946369265436149,0.005324106737651935,67.85585810498574,15.38761831493641,0.08413958591670956,52.46823979004933,0.04213732702602524,0.002940093978890723,7.99516771295756,1.706672533507251,0.039197233047134517,6.288495179450309
000010,home_hold,0.09158193134701587,0.0072442712036273615,69.02055045540072,17.997507553686038,0.0843376601433885,51.02304290171469,0.04351618319783768,0.003836063013498814,8.00074968460399,1.8698472447807135,0.03968012018433886,6.130902439823277
000011,home_hold,0.09513405975314149,0.010971498537399982,71.26469133995481,22.47978634979287,0.0841625612157415,48.784904990161934,0.04382141844990972,0.0054626025689383795,8.502120481291167,2.495363247610137,0.03835881588097134,6.0067572336810295
000012,home_hold,0.09807368965814789,0.013846773070659957,72.59049717446894,25.29831077070855,0.08422691658748793,47.29218640376038,0.044789951993194466,0.00754667512862317,8.578411119391712,2.844570267748265,0.037243276864571295,5.733840851643446
000013,home_hold,0.10198857640302039,0.017278556925636845,73.93732827337936,28.192536533080155,0.08471001947738355,45.744791740299206,0.04715270817188566,0.010153594277004463,8.969032690442036,3.3809694543265456,0.0369991138948812,5.588063236115491
000014,approach,0.09842981691185626,0.06028831848864191,72.82631180313817,51.67347142182036,0.03814149842321435,21.15284038131781,0.04623835817628763,0.03841086926671844,8.976731373154696,5.693767071915087,0.007827488909569191,3.282964301239609
000015,approach,0.09657526283527695,0.057080175947779366,72.50371508071086,50.4654764503122,0.03949508688749759,22.03823863039866,0.04545251114680682,0.035213417034836936,8.910196934027638,5.496276991916249,0.010239094111969882,3.4139199421113897
000016,approach,0.09745904742586808,0.054584069456014905,73.16498012244874,49.668846318175426,0.04287497796985318,23.496133804273313,0.045296190241791656,0.031909025614224706,9.026048727990998,5.322457802071967,0.01338716462756695,3.7035909259190314
000017,approach,0.10036506514418797,0.05218909555499107,74.31190047329075,48.676290078524886,0.0481759695891969,25.635610394765862,0.04661442408840233,0.029558552118068904,9.023474429841311,5.11830296511106,0.017055871970333425,3.905171464730251
000018,approach,0.10356435196095681,0.04887288273532564,75.75182119636531,47.03673460659589,0.05469146922563117,28.71508658976942,0.04903493476242016,0.027431254585106646,9.13362460371098,4.893522629184476,0.02160368017731351,4.240101974526503
000019,approach,0.10244956535843741,0.04777086038449274,75.34296393747914,46.4329120133414,0.05467870497394467,28.91005192413774,0.04974484767046117,0.027146733705590953,9.137147982978863,4.779743243771445,0.022598113964870215,4.357404739207419
000020,approach,0.10710798245311226,0.04555177214753048,77.01644534064671,45.13879330827182,0.06155621030558178,31.87765203237489,0.05380478554179158,0.025855878541751753,9.588959503584844,4.584479258874723,0.027948907000039824,5.004480244710121
000021,approach,0.11245033331746779,0.04565490124102034,78.62293586299386,45.062714891921,0.06679543207644745,33.56022097107286,0.05899117104391638,0.02643690745515226,10.093737846663599,4.609789988211175,0.03255426358876412,5.4839478584524235
000022,approach,0.11595158731540778,0.04186043709678233,80.58769945614344,43.25225328389611,0.07409115021862545,37.33544617224733,0.06263940599400586,0.023999042254162717,10.949220783052372,4.6501485679928205,0.03864036373984314,6.299072215059551
000023,approach,0.11073753656084129,0.03425204905120871,78.96806410855537,39.18929970532458,0.07648548750963258,39.77876440323079,0.06105981937790739,0.020195143181926167,11.266641341699115,4.5347485868162885,0.04086467619598122,6.731892754882827
000024,approach,0.10679355542369551,0.033382645935920996,77.39368394421811,38.64393976792102,0.07341090948777451,38.74974417629709,0.059005530796242045,0.020285652972911628,11.126195401827388,4.520115947116523,0.03871987782333042,6.606079454710866
000025,approach,0.1119229307842049,0.03455238077906564,78.87953368221427,39.28120001641759,0.07737055000513926,39.59833366579668,0.06031667371135763,0.020522126371035454,11.219446868126827,4.5737377927412775,0.03979454734032217,6.6457090753855494
000026,approach,0.1096715188979589,0.03378661944959771,77.95927750151691,38.80137356237428,0.07588489944836119,39.15790393914263,0.05849333655551048,0.019965806371677663,11.198873736776426,4.583440059737206,0.038527530183832814,6.61543367703922
000027,approach,0.11055412894246608,0.03275921214975108,78.52910521735309,38.300257902735886,0.077794916792715,40.228847314617205,0.05848439079311396,0.019373960512206634,11.3952333179943,4.652961555715328,0.03911043028090733,6.742271762278972
000028,approach,0.11688175788572297,0.03350752277278868,80.74128406397503,38.65610761818027,0.08337423511293429,42.08517644579476,0.0625926357350095,0.01991702083331892,11.476230148137711,4.609419174476032,0.042675614901690584,6.866810973661679
000029,approach,0.11620142352076579,0.03283512638425823,79.96198242991923,38.044050818878574,0.08336629713650756,41.91793161104066,0.06295815705348584,0.019461737162704162,11.046248900536705,4.285308330680837,0.04349641989078168,6.760940569855868
000030,approach,0.11756821390869454,0.032464080270235174,80.46961918563863,37.828257643261836,0.08510413363845937,42.6413615423768,0.06421958176145959,0.019570802550210376,11.061799993784685,4.278934279201258,0.04464877921124921,6.782865714583427
000031,approach,0.12094403785188002,0.03239807574401876,81.74331893415457,37.848726400780336,0.08854596210786125,43.89459253337424,0.06429426868288501,0.019734006226448608,10.971147874049615,4.243926962827684,0.044560262456436406,6.727220911221931
000032,approach,0.1273220686737795,0.03256301566483155,83.86779421475,37.94137314961421,0.09475905300894794,45.9264210651358,0.06823912981262492,0.019719700550893893,11.265911220092601,4.299599400882731,0.04851942926173103,6.96631181920987
000033,approach,0.12770997173683918,0.030643098149998882,84.28991056448972,36.842062071390586,0.0970668735868403,47.44784849309913,0.0678222269965616,0.018915387713986265,11.295618526157794,4.238675986629018,0.04890683928257533,7.056942539528776
000034,approach,0.1295641050578451,0.029190320403645442,84.35363385001621,35.70177591912702,0.10037378465419966,48.651857930889186,0.06897389497957951,0.018400365264554686,11.142985700124637,4.069513032319431,0.05057352971502482,7.073472667805206
000035,approach,0.13445413469370282,0.031084849614124277,85.17933636277334,36.47157342321012,0.10336928507957854,48.707762939563224,0.06954294106437109,0.01852632941588872,11.029397868250582,4.002398859552769,0.05101661164848237,7.026999008697813
000036,approach,0.13499860464149194,0.03098165142823761,84.96667394913555,36.30897061468662,0.10401695321325433,48.65770333444893,0.07006003210658873,0.017628560032286633,10.850417383905517,3.816651402929582,0.0524314720743021,7.033765980975936
000037,approach,0.13938884946677377,0.032544001711501624,86.2803833047188,37.23589880804699,0.10684484775527214,49.04448449667181,0.07445161772630038,0.018205971683806443,11.01362325069126,3.8504498878188227,0.056245646042493935,7.163173362872438
000038,approach,0.1443799694697382,0.03309534252881352,87.0618155845081,37.3586997065132,0.11128462694092467,49.7031158779949,0.08092179334308502,0.017712218075472963,10.81868130701858,3.587074624049446,0.06320957526761206,7.231606682969133
000039,approach,0.14705252265855517,0.03130348184234821,87.20766195709447,36.16107759973768,0.11574904081620696,51.04658435735679,0.08741263951604972,0.017906450651712813,10.947228382308849,3.5494984709203536,0.0695061888643369,7.397729911388495
000040,approach,0.15156314030368645,0.030447463252440188,88.5759742483109,35.75167960225629,0.12111567705124626,52.82429464605461,0.09440399529503674,0.018630451989551378,11.202947182819269,3.598088766824728,0.07577354330548536,7.604858415994541
000041,approach,0.1503408908898416,0.029707638908834766,87.39259562845233,35.156880313145024,0.12063325198100683,52.2357153153073,0.09681013557029439,0.019588894623840725,11.136504434147156,3.6338803477738253,0.07722124094645366,7.502624086373331
000042,approach,0.151791097226882,0.02807169262348308,86.66039432133829,33.85869267431324,0.12371940460339892,52.80170164702505,0.10038606066225486,0.02060822029846343,10.740870396351056,3.5983614523485628,0.07977784036379143,7.142508944002493
000043,approach,0.15594467726054495,0.029188191988772427,87.2584900099986,34.48160912710071,0.12675648527177252,52.776880882897885,0.10307228407418934,0.020921797212628768,10.76293326391212,3.6088448177598544,0.08215048686156057,7.154088446152265
000044,approach,0.1590307407103907,0.02954658819574807,87.72737753606029,34.55762767526206,0.12948415251464263,53.16974986079823,0.10477395149477486,0.020863010514636238,10.763594252960797,3.565692786420087,0.08391094098013863,7.19790146654071
000045,approach,0.16108430929394746,0.02789021358213839,87.9192578616414,33.46569597217814,0.13319409571180907,54.45356188946326,0.10772933495255987,0.020210882787496276,10.595501096847695,3.4868768168314905,0.0875184521650636,7.108624280016205
000046,approach,0.15701285256230468,0.02701698616523951,86.60787480546497,32.98381570650918,0.12999586639706517,53.62405909895579,0.10683498507696954,0.018903418522857374,10.480318784288768,3.412054107061464,0.08793156655411216,7.068264677227304
000047,approach,0.14872236479673817,0.02319669473431818,84.78102698259502,30.680748800905324,0.12552567006242,54.1002781816897,0.09809311356753225,0.015926875266788598,10.153414140305898,3.1247781187401524,0.08216623830074365,7.028636021565745
000048,approach,0.14340736059936798,0.020221612938356004,83.70289075203661,28.685462650487338,0.12318574766101198,55.01742810154927,0.09469796036377731,0.015561091594429977,10.116554093719879,3.0704809378796964,0.07913686876934733,7.046073155840182
000049,approach,0.14353834343229321,0.01973136326229552,83.52354713606664,28.28208738298911,0.1238069801699977,55.24145975307753,0.09209079897474937,0.014947262714245957,9.885914083226053,3.043965617408398,0.07714353626050341,6.841948465817655
000050,approach,0.14982890130982185,0.022021191350859337,84.74216853805461,29.709072492046833,0.1278077099589625,55.033096046007785,0.09572683254045877,0.01538958704085902,9.916927351107931,3.0764882746855045,0.08033724549959975,6.840439076422427
000051,approach,0.15263201918243785,0.02369481548240293,84.61909482246254,30.5865313418136,0.12893720370003492,54.032563480648946,0.10087403461278821,0.016234721423789122,9.82360323009138,3.156005588155508,0.08463931318899909,6.667597641935871
000052,approach,0.15763658412398163,0.02473579313814145,85.06502764300315,31.10395240982362,0.13290079098584018,53.96107523317953,0.10762050406918588,0.01798346130224382,9.483359279737233,3.577667497603254,0.08963704276694207,5.905691782133978
000053,approach,0.16080892538158387,0.026503130314858292,86.2861504330194,32.509299608940324,0.13430579506672558,53.77685082407908,0.1102968691187537,0.020223659060763288,9.656616686940383,3.786232120903343,0.0900732100579904,5.870384566037041
000054,approach,0.1569483790677727,0.028873430599160366,84.81035434919073,34.07027715351725,0.12807494846861234,50.74007719567348,0.10473792342986998,0.022695234986157553,9.369512529534985,4.198121748794754,0.08204268844371243,5.171390780740231
000055,approach,0.16258197709508593,0.03389858944899582,86.05913759690911,37.01080752513217,0.1286833876460901,49.04833007177694,0.11289463508549313,0.02545431772563933,9.75058229834799,4.354447776963434,0.0874403173598538,5.396134521384555
000056,approach,0.16334665277116234,0.036875740019984726,86.15178863711719,38.735158370665225,0.1264709127511776,47.41663026645197,0.11066850578675591,0.026279525864933984,9.629405140803422,4.363850344910802,0.08438897992182193,5.26555479589262
000057,approach,0.1657258440686915,0.03865732384321574,86.20724090058295,39.4415451935144,0.12706852022547577,46.765695707068545,0.11026833288592242,0.02655798912041596,9.569893126798641,4.08947269100659,0.08371034376550646,5.480420435792051
000058,approach,0.16678943795588752,0.038684406035815355,87.36469840266862,39.61453288669798,0.12810503192007217,47.75016551597064,0.10955654571070439,0.026292916262457666,10.08605765135532,3.8511448331798075,0.08326362944824672,6.234912818175513
000059,approach,0.17519398438763,0.03735546230021891,89.88631434827847,39.09033224021248,0.1378385220874111,50.79598210806599,0.11605132747829683,0.027533419773303702,10.4011744019052,3.9805644304976253,0.08851790770499313,6.420609971407575
000060,approach,0.17503049524653436,0.0374040292285166,89.9812930141971,38.93545972753849,0.13762646601801776,51.04583328665861,0.11893084982068791,0.028477208261195375,10.699220647076794,4.008008467386232,0.09045364155949254,6.691212179690562
000061,approach,0.18336736547814192,0.04030371401039323,91.18387932537235,40.07520573846464,0.1430636514677487,51.108673586907706,0.12908399824779238,0.0314976698402849,10.806335563576045,4.080053102719305,0.09758632840750747,6.72628246085674
