planner_phase,subspace_method,rank_k,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,improved_count,worsened_count
alignment,delta_basis,1,85,0.5217965756324829,0.5190614783076974,0.7631523370403014,0.002445487732977248,0.002196463545616925,0.004633493128603291,0.008499981421538953,0.008309371490119883,0.014390146598008297,0.20434243808336117,0.1538267731666565,0.47462461590766936,0.05909472381727791,0.06157527254231422,0.09033802481067592,0.19109080955908422,0.1889363877332303,0.26169709590470713,85,0
alignment,delta_basis,2,85,0.5379609283423703,0.5880606195239407,0.7498188732744849,0.0025779158736365325,0.0024616258315513723,0.004154863042198999,0.008226303093709109,0.007326979580580114,0.013490996691289584,0.2101369461592506,0.1814844012260437,0.41235175132751467,0.08709980988956625,0.0776155014183623,0.1346519618116487,0.17492645684919692,0.1721236638565331,0.23290924669206256,85,0
alignment,delta_basis,4,85,0.4342225637278296,0.41928068541258084,0.6593958803950641,0.0021213887235427865,0.0020601677797561294,0.0037051547532008645,0.00725223218042713,0.006120813833671616,0.01213966386889038,0.13638140383888694,0.11595083028078079,0.2777277767658234,0.10125026359133374,0.08633633916428585,0.16174957494637823,0.27866482146373756,0.26832223958714774,0.40223200858323754,85,0
alignment,delta_basis,8,85,0.3188721044923504,0.3001349036473517,0.5100338299360963,0.0015473020581827505,0.0016532360479154006,0.002368982249232248,0.005453478386895762,0.004772195766157106,0.010484522620623653,0.07995566252399894,0.07092638313770294,0.12880689203739168,0.13813902748083415,0.13358356527655027,0.19198885160124315,0.3940152806992168,0.3964080809164531,0.5311573847303699,85,0
alignment,delta_basis,16,85,0.24944079557017435,0.22857219116226374,0.3997673915481787,0.0014811054137141334,0.0014845999622045878,0.002353458138738955,0.004904747139094912,0.0046083444458499346,0.008099427891701462,0.055411289358402,0.04655624181032181,0.0918415859341622,0.1644421574243121,0.17467575079753592,0.21694914065065615,0.46344658962139273,0.48849431276405,0.5921422836201121,85,0
alignment,delta_basis,32,85,0.21755800430217484,0.2042968826955779,0.38523922049791987,0.0014229259051016833,0.0014259575908443752,0.0023374998930401673,0.004801239146892002,0.004775700203102978,0.007916573260909976,0.04481327291578054,0.038156136870384216,0.07089796662330629,0.18249267007804612,0.18543328563809056,0.23844725352805976,0.49532938088939243,0.5209517416383989,0.6272002347842394,85,0
alignment,delta_basis,64,85,0.18845431146052605,0.16913291487043836,0.3274638032369393,0.0012677655936259972,0.0011488019094668073,0.0021256179901047857,0.004266215062249544,0.00408945497616997,0.007480169866062532,0.03746934398351347,0.03408673778176308,0.057218800485134134,0.1960489278845423,0.19486017288790758,0.2499363983508085,0.5244330737310411,0.5580729665320954,0.6550359594536393,85,0
alignment,delta_basis,128,85,0.14593749158521793,0.13189553504945684,0.2647669736616905,0.0010638226721399098,0.000984613357931895,0.0019635159033152493,0.003323177877766987,0.0029006905610272455,0.006303979437728162,0.029410565611632432,0.02397751808166504,0.04738517850637437,0.2113157171431222,0.2114852590971222,0.2751024832541606,0.5669498936063493,0.6377408628856305,0.7073905564922865,85,0
alignment,random_basis,1,85,0.7128588235176361,0.754638516149667,0.8881952382963534,0.004871187481055033,0.004734071914353353,0.007608111265814762,0.012385110175049653,0.011393081542551347,0.019004640818948506,0.5314326796461554,0.5392683148384094,0.8387058854103089,2.4457315581995415e-06,1.0261662845388026e-06,6.682846017112768e-06,2.8561673931194985e-05,2.868237172781729e-05,0.0006961717447143912,45,40
alignment,random_basis,2,85,0.7128326224339416,0.7546620457739877,0.8882129912838111,0.004870775220507063,0.004734008002323656,0.007607831583693243,0.012384301550811175,0.01139187008438268,0.019004306549478336,0.5313759482958738,0.5389499664306641,0.8388633966445923,5.562737725226862e-06,3.5510677720651035e-06,1.2780713144330203e-05,5.476275762548852e-05,1.580785772337112e-05,0.00071962297005439,45,40
