subspace_method,rank_k,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,improved_count,worsened_count
random_basis,4,225,0.3702390779900049,0.33917886270313746,0.843410445704044,0.004149412205293622,0.004145193864933373,0.006941134928760911,0.0059100043408615655,0.0018083083103203783,0.01663200675427133,0.31549399150742424,0.24145928025245667,0.8119113564491272,1.543230753599764e-05,1.2493147212672122e-05,3.1757214511427705e-05,2.298476047085523e-05,-4.910210454139516e-05,0.0006366310501285111,103,122
random_basis,8,225,0.3702329381101495,0.339127916344878,0.8433553756606268,0.004149698514662564,0.004147734741794411,0.006937581441225288,0.00591076264229734,0.0018108845464248392,0.01663141586148042,0.31550941275225747,0.2414214015007019,0.811626124382019,2.228244692201522e-05,2.0530212016080665e-05,3.6272798285308124e-05,2.91246403262759e-05,-3.575288645700503e-05,0.0006255491926705268,104,121
random_basis,16,225,0.37021793649503637,0.3391427685929672,0.8433344797967952,0.00414959028602499,0.004147230310422927,0.006935825676520832,0.005908764519834675,0.001810866189383321,0.01663485555079251,0.3155004413922628,0.24193528294563293,0.8117775440216064,5.332445489930499e-05,5.2402972818282104e-05,7.331777903617398e-05,4.412625543946951e-05,-1.9628705046903505e-05,0.000652974682438856,106,119
random_basis,32,225,0.37019470717750436,0.33890887814242465,0.8433340471383586,0.004147681622255821,0.004147698628422091,0.006929202026194539,0.00590734457777773,0.001803475942783148,0.016617235501519306,0.315343396531211,0.24074861407279968,0.8112559914588928,0.00011228819521312434,0.00010964277571364869,0.00014463767790928134,6.735557297146266e-05,-6.4909868575848545e-06,0.0007001216425154055,111,114
random_basis,64,225,0.37009950136454095,0.33886136533047806,0.843264750597643,0.004148328864522552,0.0041461861417071465,0.006933239580867416,0.005908606857539042,0.0018190230336324793,0.016618481597171535,0.31532574945025976,0.24156087636947632,0.8117039561271667,0.0002136607186001947,0.0002192348400024735,0.0002535945702790582,0.00016256138593487827,7.954667646109352e-05,0.0009219775716971079,123,102
random_basis,128,225,0.36999599698874225,0.339384252986353,0.8432312289709689,0.004146931078830096,0.004141626175600678,0.006941059586341185,0.005902439459192351,0.0018012820314856804,0.016616103808321438,0.3151158152686225,0.24151694774627686,0.8115772128105163,0.00044324956574762247,0.00043416857095193647,0.0005067798815773736,0.0002660657617335585,0.00010994986811839122,0.0010929722774180918,129,96
sensitive_basis,1,225,0.15105224974301454,0.1424425780590537,0.369036984462379,0.002480805949067673,0.0021843839866599003,0.004488180567991078,0.0025273119036583478,0.0010945233473943013,0.006930061496205046,0.026633997723046275,0.005629599094390869,0.027719233930110925,0.010211581561045761,0.007361370236746736,0.02372913444020609,0.21920981300746123,0.1632445734892837,0.5202783211036608,158,67
sensitive_basis,2,225,0.05851401396333278,0.05141113343138602,0.1533935348637546,0.002185156750110251,0.0018581499675514317,0.00413353762359036,0.0028076525094850417,0.0010945208660401856,0.008089001134872188,0.040013936230291924,0.01063525676727295,0.10591655373573301,0.014089673672297437,0.009070264557018428,0.03201703956420831,0.311748048787143,0.23483839806854317,0.7443423016934453,154,71
sensitive_basis,4,225,0.05354615934186855,0.047632322432713155,0.1431159321984509,0.0020059370845954194,0.0015823546359014576,0.004049481687623647,0.0023866198345608145,0.0011143475960846015,0.006498042116912759,0.017171058871058954,0.003629744052886963,0.046991962194442745,0.015490391471981427,0.009592363681874255,0.033871370294176126,0.3167159034086073,0.25793079398699126,0.7551848019799465,163,62
sensitive_basis,8,225,0.04977936117908072,0.04178626320671179,0.13769068539091037,0.0015118913419438925,0.0014373936539484877,0.0023778499806035823,0.00279909730346176,0.0007078844986137538,0.008918754439864939,0.012049935975422461,0.004206075333058834,0.030858841538429257,0.02021625219161789,0.014985903043904986,0.040476220690388524,0.3204827015713951,0.2734306795564041,0.7514525844341736,169,56
sensitive_basis,16,225,0.014662569123102882,0.01061041247934339,0.0374453113847317,0.0011225470012625226,0.000979174520573212,0.0020258679900012067,0.0011695857946293342,0.0008652966071979047,0.002625544390088091,0.005280427432929476,0.0013314085081219673,0.010569314658641814,0.02446504592374616,0.017986270911747565,0.047680646619702435,0.35559949362737286,0.31598918902680184,0.8047661494196572,223,2
sensitive_basis,32,225,0.009350888911848964,0.0073679332434758256,0.02292564071811555,0.000777402201073326,0.0007223877080883872,0.0015576515045022392,0.0011262052904803853,0.0008803866247875154,0.0025395348446610945,0.0025457806874894435,0.0011303434148430824,0.006311325728893276,0.02643280808650661,0.019949038066647277,0.0511182588745919,0.36091117383862675,0.3200175803357277,0.8217248409210578,225,0
sensitive_basis,64,225,0.00861604102185974,0.006166796758535845,0.021847888051138954,0.0005385376792825317,0.00045953469737772013,0.0011073867270104281,0.0009819548712637308,0.0007274031931179587,0.002119624484996412,0.001906507123882572,0.0008290745317935944,0.005162054300308227,0.02818668325526443,0.02153828017008835,0.05419954832955227,0.36164602172861604,0.31980519805078855,0.8189843118767112,225,0
sensitive_basis,128,225,0.006675657136292842,0.0053822279515111215,0.016485191588701098,0.0004107555349774006,0.000394102470758406,0.0008702088627180343,0.0006348774370717439,0.0004843590189229371,0.0013695478765847397,0.0023673763550404047,0.0006559635512530804,0.005874693393707275,0.03066946673061298,0.024652408669912196,0.05768589553693586,0.36358640561418293,0.32360609761337933,0.8285845223749133,225,0
