ridge,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,hidden_cosine_to_sensitive_mean,hidden_cosine_to_sensitive_p50,hidden_cosine_to_sensitive_p90,hidden_pred_norm_mean,hidden_pred_norm_p50,hidden_pred_norm_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,improved_count,worsened_count
0.001,225,0.1383785304308007,0.06711650895888581,0.41586934433996914,0.0021661818006367783,0.0020491044288310912,0.003926759525330732,0.00219268265325482,0.0008421059789042299,0.006828943540951331,0.028112913138854008,0.005199909210205078,0.06285750865936275,0.7543619613124207,0.9127424868145851,0.9810882759253284,32.46912050283564,26.80531685573449,59.36603183914666,0.23188353231967507,0.13153923692093838,0.6171053017054817,178,47
0.01,225,0.1383784289774968,0.06708252371216507,0.41592599430661187,0.002166090991037963,0.0020493014638450903,0.00392625399535822,0.0021926516449645352,0.0008411783296600519,0.006827176509865722,0.028115366068927363,0.005200028419494629,0.0628636851906776,0.7544601887555438,0.9127769900087821,0.9811073243706828,32.46656834784487,26.80068722341167,59.36169671888775,0.23188363377297896,0.13151348879977792,0.6170723105593315,178,47
0.1,225,0.13837729766726672,0.0667490595369981,0.4164815148811926,0.0021652191436787576,0.0020474373204649398,0.003924074891977892,0.002192363740494529,0.0008323763879175242,0.006810207538865219,0.0281392679309162,0.005201160907745361,0.06292111873626703,0.7554084073678297,0.9130934484399759,0.981267728826679,32.44188265884878,26.735490555013502,59.3211182069959,0.23188476508320907,0.1312728699586121,0.6167508507767375,178,47
1.0,225,0.13835877159515297,0.06437428377175021,0.4204388612529238,0.0021589268991476767,0.001991147154454224,0.003916963516134965,0.002190704678686977,0.0007844674359413508,0.0067385725035430544,0.028329060986224147,0.00529026985168457,0.06487115919589989,0.76245277704285,0.9143361013956073,0.9822895305279656,32.254302189915634,26.47015753356214,58.96029285038772,0.23190329115532282,0.1300378566935667,0.6157099327511183,179,46
10.0,225,0.13826787592466513,0.06612570025672103,0.4259040566510349,0.0021469448973149958,0.0020094027355004058,0.0038463640339460887,0.002194171270554275,0.0008278856082324157,0.006848971460487126,0.028907517517606417,0.00488067464902997,0.0709153562784195,0.781250254478737,0.925112543026962,0.9851259346471403,31.66267420223885,26.55718539624542,57.940443719590945,0.23199418682581066,0.13978006277722826,0.6057831293257614,181,44
