frame,episode_id,heldout_episode,planner_phase,progress,ridge,hidden_cosine_to_sensitive,hidden_pred_norm,raw_gap_first_l2,raw_gap_first_translation_l2,raw_gap_first_rotation_l2,raw_gap_first_gripper_abs,raw_gap_chunk_mean_l2,raw_gap_chunk_max_l2,gap_to_sim_first_l2,gap_to_sim_first_translation_l2,gap_to_sim_first_rotation_l2,gap_to_sim_first_gripper_abs,gap_to_sim_chunk_mean_l2,gap_to_sim_chunk_max_l2,action_gap_reduction,action_gap_reduction_ratio
episode_000001_000000,episode_000001,episode_000001,hold,0,0.001,0.6547618023191336,63.32266065491141,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.013368333809314853,0.002555722244166709,0.0017402601617795227,0.013005849730689079,0.05706482534446864,0.23581097079958271,0.3649172638212507,0.8647695558423136
episode_000001_000001,episode_000001,episode_000001,hold,1,0.001,0.661439805755139,64.52823271476164,0.1646573702509476,0.003108546259733557,0.01028174910391418,0.164306640625,0.41514354122574054,0.7033037919066664,0.01233466139100295,0.002604043773037489,0.0020407137474607747,0.011882689723279327,0.049227024695626655,0.20431878925933764,0.36591651653011387,0.8814216775472878
episode_000001_000002,episode_000001,episode_000001,alignment,2,0.001,0.6710886918828817,65.24723777440278,0.17066611948939214,0.003309330358428374,0.010860039681735791,0.1702880859375,0.42997138849174865,0.7211299284537991,0.011193402149494772,0.0025454726213395692,0.001596358321702903,0.010782599914819002,0.051863811702419785,0.21772957418973354,0.3781075767893289,0.8793784584496486
episode_000001_000003,episode_000001,episode_000001,alignment,3,0.001,0.6680868488252831,65.01409085994835,0.16411498513353173,0.003044383576399605,0.010392248973840263,0.16375732421875,0.41875427705474016,0.704150545200969,0.01182644526699203,0.0025961818350588167,0.0017296074068620813,0.011407589830923826,0.045622448757168185,0.186935785376989,0.37313182829757197,0.8910519814196325
episode_000001_000004,episode_000001,episode_000001,alignment,4,0.001,0.789919285516553,63.57191165513641,0.1893587814709447,0.0028903926254461665,0.009722791829124798,0.1890869140625,0.4980522157810798,0.752952457478686,0.013984346405822285,0.0028913092669991453,0.0029423970706549257,0.013362057274207473,0.04568127814632768,0.185739850370737,0.4523709376347521,0.9082801427262257
episode_000001_000005,episode_000001,episode_000001,alignment,5,0.001,0.8357648095988364,58.90967484408532,0.23226048826897397,0.0030070916986414367,0.009276884550876769,0.2320556640625,0.5863490709185128,0.7959406918016114,0.01418573424140466,0.003554134713530446,0.0034030266402284267,0.013304983731359243,0.08538117571758833,0.3016921718947777,0.5009678952009246,0.8543850754571178
episode_000001_000006,episode_000001,episode_000001,alignment,6,0.001,0.9135704909352204,64.55841882642251,0.35455292286566814,0.00357380257392274,0.010808473170091067,0.3543701171875,0.6856069747586344,0.860928021941375,0.012756977742233288,0.003460575289438252,0.0028086923816199286,0.011953081062529236,0.14110089598018213,0.42308117084665237,0.5445060787784523,0.7941956526479967
episode_000001_000007,episode_000001,episode_000001,alignment,7,0.001,0.9841696811028292,55.37539312222534,0.5256178791823883,0.004124820962496554,0.012557611526872922,0.52545166015625,0.8035838760854747,0.9124925697113019,0.0073063531087365205,0.002428753469669274,0.0019912100002256222,0.00659689586609602,0.3445724635238199,0.7363202578312503,0.45901141256165473,0.5712053541910928
episode_000001_000008,episode_000001,episode_000001,alignment,8,0.001,0.9303068597137777,60.024276028497404,0.36975830119880587,0.004932924074310957,0.01586702523057637,0.369384765625,0.713213669373188,0.8861228694106106,0.007966554986386518,0.002587976857548873,0.005837552361968045,0.004763544537127018,0.19315048315441272,0.4990817160562174,0.5200631862187752,0.7291828641980962
episode_000001_000009,episode_000001,episode_000001,alignment,9,0.001,0.9465975850811752,54.74622512370611,0.39205001728209254,0.004389696180351584,0.01373756029830637,0.39178466796875,0.7115152631743655,0.8588684199301815,0.005560181688226905,0.0018199980630799076,0.004138404234374383,0.003236794378608465,0.14084180770229618,0.34248140256771115,0.5706734554720694,0.8020537084841409
episode_000001_000010,episode_000001,episode_000001,alignment,10,0.001,0.7875944042780445,57.85646386852357,0.24606591479817472,0.0028579581812319867,0.009911411133477254,0.245849609375,0.5626869796832417,0.7222288825932577,0.00828071352810917,0.0023629100912453765,0.0008715709463013741,0.007888424210250378,0.07356849681306532,0.20459264879905237,0.48911848287017634,0.8692550219404759
episode_000001_000011,episode_000001,episode_000001,alignment,11,0.001,0.885705220964272,48.78654696456988,0.4351253687166503,0.0035001796644642167,0.009947826928247663,0.43499755859375,0.7078091426930296,0.8627097423615382,0.002198836077050506,0.0010591400877222824,0.001576925738804504,0.0011074328795075417,0.24936680545797674,0.5528641195465711,0.4584423372350529,0.6476920254106906
episode_000001_000012,episode_000001,episode_000001,alignment,12,0.001,0.9685655069392374,42.903910915519816,0.5402390469878231,0.0028896831363723558,0.008707940077852049,0.5401611328125,0.7800609416677184,0.8982556686358422,0.005214675197103282,0.0015799784316110098,0.0014662081028021647,0.00474834069609642,0.3577890021076753,0.6902140963753074,0.42227193956004316,0.5413319870332872
episode_000001_000013,episode_000001,episode_000001,alignment,13,0.001,0.9838944298937011,39.53375133107611,0.6079372989800294,0.004231958340257568,0.009449656358595853,0.60784912109375,0.7863229644874554,0.8897122997514065,0.002428201734021487,0.0018196265232058113,0.0007852577752461898,0.0014030300080776215,0.41189014926460754,0.796750924022202,0.3744328152228479,0.47618196610461755
