planner_phase,ridge,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,hidden_cosine_to_sensitive_mean,hidden_cosine_to_sensitive_p50,hidden_cosine_to_sensitive_p90,hidden_pred_norm_mean,hidden_pred_norm_p50,hidden_pred_norm_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,improved_count,worsened_count
grasp_close,0.001,50,0.003472057319694967,0.003386718192277629,0.004224627586261247,0.003200736738121272,0.002982183345442174,0.004439697910989954,0.0004702006144019717,0.0004522020850386422,0.001018831574435043,0.00350804328918457,0.003166019916534424,0.005835872888565064,0.6153474257842412,0.6815416030042556,0.8928774313390915,15.181703587367526,14.849576892479742,18.732760617683464,0.0009891443475282772,6.734742442161389e-05,0.003061868058837994,29,21
grasp_close,0.01,50,0.0034715118738022858,0.0033861039802881732,0.004223973390613289,0.00320097013697246,0.002982767250529238,0.004439695624047969,0.0004701817646939955,0.0004522301843966037,0.0010187724717246813,0.0035062384605407714,0.0031673312187194824,0.0058332979679107675,0.61548004474325,0.6816909528272974,0.8930278655461633,15.178340293764188,14.842413600026324,18.72783126272927,0.0009896897934209576,6.763154756591542e-05,0.003061751022302309,29,21
grasp_close,0.1,50,0.0034662290288914157,0.00338027067710122,0.004217701916505308,0.003203260977594322,0.002988519326725973,0.004439722421967393,0.0004699921483099493,0.00045251095502127955,0.0010181920839221123,0.003488447666168213,0.0031791329383850098,0.005820798873901367,0.6167640646940695,0.6831268428108286,0.8944977763882569,15.145702967282682,14.772064517704756,18.680124395788116,0.0009949726383318295,7.066384423430236e-05,0.0030601518681734937,29,21
grasp_close,1.0,50,0.003425566664012473,0.0033163615980410103,0.0041680734805136345,0.003222338455753594,0.003035761918276746,0.00443992010510527,0.0004684217275278376,0.0004548097935706334,0.0010130220201309374,0.0033394014835357666,0.0031158924102783203,0.005860930681228638,0.626370363107865,0.6922334442305442,0.8977808629643816,14.895130475726585,14.175425626082486,18.50059282192627,0.0010356350032107713,0.00010672875677888104,0.003033369218315123,29,21
grasp_close,10.0,50,0.0033112436742062734,0.0032140158636230105,0.004010077982456747,0.0032842288889676063,0.0031507608451429555,0.004401992591033811,0.00046963839404644216,0.00046116782613342367,0.0009951204458426668,0.002728722095489502,0.0026067495346069336,0.005125218629837037,0.6447246022083849,0.6751102809196304,0.9089668997931035,14.256193123262527,12.986797723079063,18.15611228205982,0.0011499579930169704,0.00024016969152387151,0.002658267071160878,32,18
hold,0.001,10,0.09828987320349837,0.10732141192994957,0.15535970071730013,0.001673702436171004,0.0015274985655199503,0.002560554397053787,0.006119248829169333,0.006054947456506652,0.008806508109152344,0.008516158140264452,0.005132430233061314,0.017505390755832195,0.9192597771325636,0.9821839699970619,0.9945659068063377,56.42563729256308,58.25784855032436,63.44321786089643,0.587020710277223,0.6179123919151808,0.6936390482683235,10,0
hold,0.01,10,0.09829734496227445,0.10731954213695835,0.15536674772076497,0.001673407250587763,0.0015277195977888625,0.0025598597835300983,0.0061187612250297755,0.006055296657541566,0.008805830385992867,0.008517523657064884,0.0051267147064208984,0.017499266751110555,0.919257011405862,0.982177244756821,0.9945660434692425,56.42368501186057,58.25155773552944,63.43476974608652,0.5870132385184471,0.6179107157620616,0.6936332299415118,10,0
hold,0.1,10,0.09836971771346645,0.1072984916947183,0.15543752313522138,0.0016705509107172386,0.001529907185604778,0.0025531063442922847,0.006114006742505177,0.006058673566927521,0.008799180385576167,0.008531040215166286,0.0050711557269096375,0.01743983067572117,0.9192303439630198,0.9821108103488432,0.9945668532501287,56.40484887486946,58.19033405456,63.352886892309584,0.5869408657672551,0.6178945401277796,0.6935773927849997,10,0
hold,1.0,10,0.09890007137406777,0.10693704003652121,0.15614481708788752,0.0016492830552459331,0.001549121371624183,0.0025018861622380178,0.0060753534998494955,0.006082950063680965,0.008743967654477,0.008650427969405428,0.005352707579731941,0.016965702548623084,0.9190421296291603,0.9815212797901414,0.994541149372701,56.26803892002657,57.70913558897257,62.72759786442374,0.5864105121066538,0.6177773225751562,0.6932114812588532,10,0
hold,10.0,10,0.09938137181023096,0.10218174478336636,0.1605014589074728,0.0015957694542847838,0.0016384645696277498,0.0023501734538187735,0.005926120147054212,0.006380223958024581,0.008550240521104271,0.009071615728316829,0.0090388348326087,0.015498217567801474,0.9192164286943603,0.9788633518131895,0.9941848302895278,56.06658259827267,56.394526381582,61.791639106828356,0.5859292116704906,0.620434527757435,0.6932801638167962,10,0
lift,0.001,40,0.004358232336982179,0.0033682435533335386,0.007559508033448497,0.002849302105724574,0.003015866408909826,0.004714804910468417,0.0002522520273266956,0.00023827647114720317,0.0003986016056375968,0.008176407217979431,0.005361199378967285,0.01908975839614868,0.30672811258127897,0.37323007170846,0.8242242968945971,15.138201332022465,14.236144419053504,20.027468480086835,-0.0012893941172417447,-0.000605657481894931,0.0002485477468379852,7,33
lift,0.01,40,0.00435789648405548,0.0033671789615267074,0.007558002772644114,0.002849305458415835,0.0030155046221309427,0.004714829604516814,0.00025225448606791773,0.00023824067337437402,0.0003986550240791899,0.00817667692899704,0.005361378192901611,0.019073349237442017,0.3069224180919282,0.3735494600299155,0.8242875990418467,15.135870601816668,14.23439443239974,20.02462043125251,-0.001289058264315046,-0.0006050990220808135,0.00024803064973891035,7,33
lift,0.1,40,0.004354544839865126,0.00335695266727358,0.007543094301993325,0.002849314507237892,0.003013318811132131,0.004714984391210323,0.00025228965544183107,0.00023791018128104197,0.000399256770063416,0.008179108798503875,0.005362868309020996,0.018909811973571777,0.30884150559945844,0.3766601386883114,0.8249153871180772,15.113222870930532,14.217471953531376,19.997242731718817,-0.0012857066201246922,-0.0005995536021271041,0.00024274151758797442,7,33
lift,1.0,40,0.004322870987205156,0.003301386573254295,0.00740531030852067,0.0028482373445609067,0.0030449751692008514,0.004712510959130172,0.00025271573458241907,0.00023500825671319815,0.0004045127860945553,0.008191756904125214,0.005257546901702881,0.017922025918960572,0.32592230940311157,0.39005385292758155,0.8371927007469028,14.936507434287943,14.011336089517986,19.8022572073072,-0.0012540327674647222,-0.0005339519953046197,0.0002247389168884085,7,33
lift,10.0,40,0.004138800302842411,0.0031986605132523385,0.006583860759754386,0.002833463634022789,0.0031335059806328084,0.004676154039887496,0.00025567912560095073,0.00023014217519522328,0.000421909576979754,0.008102542161941529,0.004447191953659058,0.013676327466964722,0.40647675434141917,0.5015820226111778,0.8838695304792658,14.366835333966915,13.457076884880726,19.335060675528773,-0.001069962083101976,-0.0003496507604340562,0.0004859408161032704,11,29
