planner_phase,ridge,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,hidden_cosine_to_sensitive_mean,hidden_cosine_to_sensitive_p50,hidden_cosine_to_sensitive_p90,hidden_pred_norm_mean,hidden_pred_norm_p50,hidden_pred_norm_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,improved_count,worsened_count
grasp_close,0.001,50,0.0034797118698678344,0.0033631219291841087,0.004481379427316977,0.0033134351427379877,0.003164603082596365,0.004348140388240471,0.000474711281646267,0.000490162703633151,0.0010342843080366202,0.002476990222930908,0.0018870532512664795,0.005060505867004394,0.5794319489150738,0.7914597793201262,0.9201466917413322,14.689880957174669,15.8491831532635,19.23561256827879,0.0009814897973554094,0.0003667202407137589,0.00299609640890016,28,22
grasp_close,0.01,50,0.0034790614611470583,0.0033627883506407493,0.0044812564372134845,0.0033132883131741326,0.003164473129829904,0.004347564768672353,0.00047470277299832884,0.0004901402004505024,0.0010342869035697962,0.0024769771099090575,0.0018904805183410645,0.005060148239135742,0.579642308577303,0.7919543810192198,0.9201867147947319,14.687010502969763,15.834843778856147,19.234306522033535,0.000982140206076185,0.00036701755494951546,0.0029974046908795597,28,22
grasp_close,0.1,50,0.0034727628015483103,0.003359767793818974,0.004480279319367312,0.003311859853707508,0.0031632499236025234,0.0043419423414984915,0.0004746181752641086,0.0004899020657370878,0.0010343215523419542,0.0024769043922424315,0.0018850862979888916,0.005056530237197876,0.5816778285400303,0.7967318420783882,0.9205563739681395,14.65928239414034,15.755320298329163,19.217270251713412,0.0009884388656749333,0.00036975543209696307,0.0030101793234299976,28,22
grasp_close,1.0,50,0.0034235449021088053,0.0033400379733124065,0.004359406826704927,0.003300442465626115,0.0031545485252402992,0.0042976651339848735,0.00047401051778378283,0.0004880756249115878,0.0010340483460845658,0.002481347322463989,0.0021176040172576904,0.005060696601867676,0.5970994646769414,0.8223122999238943,0.9222243509784113,14.451168243161556,15.938540352884607,19.01971738021711,0.0010376567651144383,0.00039000323669138295,0.0030353016816049815,29,21
grasp_close,10.0,50,0.003259043833198781,0.00314165006811071,0.004100291599508855,0.0032650073187434135,0.00312375491148079,0.004158114407026117,0.00047701181037435524,0.0004940604394167341,0.0010260480134388918,0.0025457978248596192,0.0025745630264282227,0.004717731475830078,0.6410077081964112,0.8478426063214577,0.9342431619372547,13.837658538683906,14.675576890738437,19.254498136793973,0.0012021578340244627,0.0004723264508610886,0.0032458965742468843,29,21
hold,0.001,10,0.0961440001789608,0.07901565258313126,0.16940513402462787,0.0014125501325036082,0.0014381316995985853,0.002080862258858547,0.005767340796116409,0.00665324549868575,0.009051549335895427,0.009825231018476188,0.010859895963221788,0.015927784144878387,0.9414099244031385,0.9798862257385947,0.9951796069797255,55.86161052865758,56.41017345578628,63.34277461913107,0.5891665833017607,0.6138870860146913,0.6938115153049348,10,0
hold,0.01,10,0.09615006585852451,0.07900197937863374,0.16945883865909084,0.0014125873445040974,0.0014377995377557915,0.0020808000642792085,0.005767418652408206,0.006653960579234378,0.009051135164880087,0.00983021140564233,0.010859022731892765,0.01592615693807602,0.9414154286064924,0.9798856409428385,0.9951810647718735,55.86006814848677,56.413493630082286,63.35129977284819,0.589160517622197,0.6138517851015484,0.6938302306900881,10,0
hold,0.1,10,0.09620905749383672,0.07886916271865449,0.16998097895513645,0.00141299725282427,0.0014347580327538226,0.0020801906793218384,0.00576817251442792,0.006660917256999561,0.009047141807434721,0.009878638689406216,0.010850894614122808,0.01591142900288105,0.941467888000038,0.9798802744278668,0.995194877435349,55.84533260463718,56.44559531982105,63.43342711051583,0.5891015259868848,0.6135080329551517,0.6940123737905066,10,0
hold,1.0,10,0.09667039411339785,0.07784175274606346,0.17408077668259112,0.0014187719630892176,0.001421620366759089,0.0020759143753260787,0.00577302752571701,0.006713696036478224,0.009018391342953135,0.01026390006300062,0.010810747393406928,0.01714409701526165,0.9418260605840689,0.9798614179226761,0.9952809671552857,55.74522253802756,56.68425643362531,64.03156531937933,0.5886401893673237,0.6107783661638757,0.6954609521253552,10,0
hold,10.0,10,0.09806817795738892,0.07493175685856204,0.1845237854465316,0.00146008209734961,0.0014987970816970652,0.0020667958273653825,0.00576589834449954,0.0068147412506905395,0.00893516180738885,0.011512784101068974,0.01095389761030674,0.023425155878067015,0.9425181234473274,0.980519021562204,0.9952840183303459,55.62518281452121,57.19557166021849,65.40276073354364,0.5872424055233326,0.6019626293086402,0.6999251790104994,10,0
lift,0.001,40,0.003666864507457237,0.0030144395736469527,0.005192500965820186,0.0025671559176131094,0.0028004337494497832,0.004142882029172977,0.00024991488538089686,0.00022760187820128352,0.0004026227998191499,0.00485876202583313,0.0037675797939300537,0.007861620187759401,0.43477646623207555,0.47954055718225436,0.8611440004092423,13.918612784449431,13.911098025591414,18.908681792596152,-0.000598026287716803,-0.0002648228540470675,0.0010874172913909325,15,25
lift,0.01,40,0.0036660334034746287,0.0030138517971599814,0.005188718030472396,0.002567058768577106,0.0028002417681836653,0.0041424432765747275,0.00024991558856725046,0.00022758490882727705,0.0004026411012999674,0.004858583211898804,0.0037663280963897705,0.007862263917922977,0.4349469036368139,0.4797101430987879,0.8610141470125838,13.916003760785696,13.913704969977037,18.908073813046645,-0.0005971951837341947,-0.00026476534783352146,0.0010888273941967819,15,25
lift,0.1,40,0.0036578836010459706,0.003010411470056157,0.005151455041349753,0.0025661227379685098,0.00279837112516484,0.004138251502094224,0.00024992891032377107,0.00022742031113221427,0.0004028263215406067,0.004856608808040619,0.003753840923309326,0.007867503166198733,0.43657922449773856,0.48135545841361205,0.8597409006270004,13.890741353201966,13.93902133602059,18.90233011970528,-0.0005890453813055372,-0.00026446376401845,0.001102559997155889,15,25
lift,1.0,40,0.0035906109091405026,0.0030150004262299917,0.004891782049321372,0.0025581770040043112,0.002821370664079644,0.004110633111294041,0.00025012207140832725,0.0002258803033659093,0.00040417623563097953,0.00482703149318695,0.003797382116317749,0.007871609926223757,0.4478810099690914,0.49427553543298786,0.86801031183861,13.694497534168766,14.084995455278307,18.854711597487505,-0.0005217726894000685,-0.00021101404640537893,0.0012043983840835616,15,25
lift,10.0,40,0.0033228461811995688,0.00294492247551367,0.004703675024678883,0.0025296005955218782,0.0028414688277180597,0.004174207237950608,0.00024838392086609017,0.00021828591281167407,0.0004217098236246937,0.004421462118625641,0.0037091970443725586,0.007037681341171265,0.4698310562464208,0.5561492105191973,0.8879950143407765,12.936869968412712,13.021146955816656,17.23642373743275,-0.0002540079614591348,-0.00018562615232666684,0.0013286599566956336,17,23
