frame,episode_id,heldout_episode,planner_phase,progress,subspace_method,rank_k,delta_hidden_norm,shift_norm,hidden_after_gap,repr_gap_reduction_ratio,raw_gap_first_l2,raw_gap_first_translation_l2,raw_gap_first_rotation_l2,raw_gap_first_gripper_abs,raw_gap_chunk_mean_l2,raw_gap_chunk_max_l2,gap_to_sim_first_l2,gap_to_sim_first_translation_l2,gap_to_sim_first_rotation_l2,gap_to_sim_first_gripper_abs,gap_to_sim_chunk_mean_l2,gap_to_sim_chunk_max_l2,action_gap_reduction,action_gap_reduction_ratio
episode_000001_000000,episode_000001,episode_000001,hold,0,sensitive_basis,1,238.58495004610228,27.873122708438245,236.95119206068884,0.006847699258053555,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.006668279893982388,0.0013734992129389504,0.004722808183642581,0.004502725787460804,0.16003773390351178,0.4292120763115585,0.2619443552622076,0.6207475672251523
episode_000001_000000,episode_000001,episode_000001,hold,0,sensitive_basis,2,238.58495004610228,30.59139572142893,236.61560577509684,0.008254268639429685,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.008626630876120955,0.001107569094194963,0.005834632914152039,0.006256924942135811,0.0733159589584754,0.23022176547398304,0.348666130207244,0.8262581260180383
episode_000001_000000,episode_000001,episode_000001,hold,0,sensitive_basis,4,238.58495004610228,31.607662562468764,236.481995204367,0.008814281208135401,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.005501701319039866,0.0011020634501125765,0.005321400697060866,0.0008584102615714073,0.056620998216375895,0.1511447684390655,0.3653610909493435,0.8658213235345639
episode_000001_000000,episode_000001,episode_000001,hold,0,sensitive_basis,8,238.58495004610228,33.55845012932661,236.21305809251658,0.009941498628171546,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.007576576296051981,0.0013511634847942577,0.006705395470804568,0.0032583028078079224,0.06035333894412189,0.19279953891452553,0.3616287502215975,0.8569765388302533
episode_000001_000000,episode_000001,episode_000001,hold,0,sensitive_basis,16,238.58495004610228,37.68059695366499,235.59064285687697,0.01255027690827403,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.003111048649924466,0.0008232113396965597,0.0025103557276386513,0.0016428818926215172,0.016208610555035995,0.03106541443862172,0.4057734786106834,0.9615893399952561
episode_000001_000000,episode_000001,episode_000001,hold,0,sensitive_basis,32,238.58495004610228,38.948258695392,235.38439101414085,0.013414756594424678,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.0021929904626927558,0.0009388296659471428,0.001507304255563563,0.0012867944315075874,0.014167672074628487,0.03408948502901003,0.4078144170910909,0.9664258923817389
episode_000001_000000,episode_000001,episode_000001,hold,0,sensitive_basis,64,238.58495004610228,40.86170055276493,235.05977924016997,0.014775327635926443,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.0019134261178288833,0.000627618294933235,0.0014786031011520461,0.0010397247970104218,0.012135983468146011,0.028544306277304757,0.4098461056975734,0.9712405247053507
episode_000001_000000,episode_000001,episode_000001,hold,0,sensitive_basis,128,238.58495004610228,43.146222260186185,234.65119197050086,0.01648787182444362,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.001175606432809724,0.00040445835535576777,0.001096588569694348,0.00012632273137569427,0.008644214373001367,0.018621708680964754,0.413337874792718,0.9795152102543228
episode_000001_000000,episode_000001,episode_000001,hold,0,delta_basis,1,238.58495004610228,79.21135994915336,225.05185812053804,0.05672232017547296,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.01936039643317472,0.001070730455100046,0.006315134866326587,0.018270127475261688,0.1783032581323969,0.34480382136989607,0.2436788310333225,0.5774624973185195
episode_000001_000000,episode_000001,episode_000001,hold,0,delta_basis,2,238.58495004610228,112.66393790182195,210.30838187042272,0.11851782004780945,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.05509762864780303,0.0014330695097218632,0.00443634112877101,0.05490003526210785,0.25233816492655353,0.3622673945280706,0.16964392423916586,0.4020168831681002
