frame,episode_id,heldout_episode,planner_phase,progress,ridge,hidden_cosine_to_sensitive,hidden_pred_norm,raw_gap_first_l2,raw_gap_first_translation_l2,raw_gap_first_rotation_l2,raw_gap_first_gripper_abs,raw_gap_chunk_mean_l2,raw_gap_chunk_max_l2,gap_to_sim_first_l2,gap_to_sim_first_translation_l2,gap_to_sim_first_rotation_l2,gap_to_sim_first_gripper_abs,gap_to_sim_chunk_mean_l2,gap_to_sim_chunk_max_l2,action_gap_reduction,action_gap_reduction_ratio
episode_000001_000000,episode_000001,episode_000001,hold,0,0.001,0.7667238611897105,57.56605208236109,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.011424071784822876,0.001383001544123387,0.0014773562149838684,0.011243404354900122,0.030662464640861677,0.10519329857420065,0.3913196245248577,0.9273370471683218
episode_000001_000001,episode_000001,episode_000001,hold,1,0.001,0.7569973201914184,58.96592845998233,0.1646573702509476,0.003108546259733557,0.01028174910391418,0.164306640625,0.41514354122574054,0.7033037919066664,0.010629703726599686,0.0014932618550737838,0.0010030323017124945,0.010476387571543455,0.028301617925701877,0.09649742138842513,0.38684192330003864,0.9318269101763227
episode_000001_000002,episode_000001,episode_000001,alignment,2,0.001,0.7742655358447141,59.97784668997863,0.17066611948939214,0.003309330358428374,0.010860039681735791,0.1702880859375,0.42997138849174865,0.7211299284537991,0.009549988234611879,0.0014488753870108902,0.0014082979551269465,0.009333795169368386,0.027642195144877712,0.09745066496133027,0.40232919334687095,0.9357115475942693
episode_000001_000003,episode_000001,episode_000001,alignment,3,0.001,0.7667266357004968,59.967159739598486,0.16411498513353173,0.003044383576399605,0.010392248973840263,0.16375732421875,0.41875427705474016,0.704150545200969,0.010042916074213185,0.0014498918594532991,0.0012181633986822237,0.00986276101320982,0.025449450033555487,0.08049972215675884,0.3933048270211847,0.9392258146888642
episode_000001_000004,episode_000001,episode_000001,alignment,4,0.001,0.8532562284567549,60.28898875236777,0.1893587814709447,0.0028903926254461665,0.009722791829124798,0.1890869140625,0.4980522157810798,0.752952457478686,0.01135664159446092,0.0014639179034263898,0.00047950696791347163,0.01125168101862073,0.02874962142237772,0.09588051504304991,0.46930259435870203,0.9422758889300581
episode_000001_000005,episode_000001,episode_000001,alignment,5,0.001,0.915998595377313,55.81631340739737,0.23226048826897397,0.0030070916986414367,0.009276884550876769,0.2320556640625,0.5863490709185128,0.7959406918016114,0.01036686496522324,0.001795288356440188,0.0004799537965256519,0.010198944713920355,0.052354371804642044,0.1929019462222064,0.5339946991138708,0.910711256483055
episode_000001_000006,episode_000001,episode_000001,alignment,6,0.001,0.9481669017597976,51.48950177424392,0.35455292286566814,0.00357380257392274,0.010808473170091067,0.3543701171875,0.6856069747586344,0.860928021941375,0.007287946971958039,0.0019002803102395837,0.0016659801606185786,0.006835760083049536,0.15517217059083813,0.39930274766921015,0.5304348041677963,0.7736718319625235
episode_000001_000007,episode_000001,episode_000001,alignment,7,0.001,0.9808229137010406,47.6519022723857,0.5256178791823883,0.004124820962496554,0.012557611526872922,0.52545166015625,0.8035838760854747,0.9124925697113019,0.006843139517363773,0.0017271425221454138,0.004215580880145648,0.0051063112914562225,0.3671582819019701,0.6941336981843644,0.4364255941835046,0.543098993361439
episode_000001_000008,episode_000001,episode_000001,alignment,8,0.001,0.9648359888185516,47.188301717148555,0.36975830119880587,0.004932924074310957,0.01586702523057637,0.369384765625,0.713213669373188,0.8861228694106106,0.013203871073211198,0.0024734600972682284,0.009638730998380038,0.008678656071424484,0.2113682419936045,0.48730228694379235,0.5018454273795835,0.7036396649837534
episode_000001_000009,episode_000001,episode_000001,alignment,9,0.001,0.9800667284015969,46.99087296794598,0.39205001728209254,0.004389696180351584,0.01373756029830637,0.39178466796875,0.7115152631743655,0.8588684199301815,0.013358132807918194,0.0018355471841314808,0.007169996621865787,0.011120324954390526,0.12670057397581588,0.21528527765735028,0.5848146891985496,0.8219285227831207
episode_000001_000010,episode_000001,episode_000001,alignment,10,0.001,0.882306739223591,52.818817073434595,0.24606591479817472,0.0028579581812319867,0.009911411133477254,0.245849609375,0.5626869796832417,0.7222288825932577,0.004007344289206364,0.001334601855978664,0.003310748429229484,0.001821151003241539,0.03400614201879111,0.0671204997070388,0.5286808376644505,0.9395647255994185
episode_000001_000011,episode_000001,episode_000001,alignment,11,0.001,0.9531249365975081,43.66056729376889,0.4351253687166503,0.0035001796644642167,0.009947826928247663,0.43499755859375,0.7078091426930296,0.8627097423615382,0.009317372129270432,0.0006567624870663588,0.0031373095321324063,0.008748678490519524,0.18857581001513307,0.4137813892224316,0.5192333326778966,0.7335781658631151
