frame,phase,vision_backbone_output_before_cosine_distance,vision_backbone_output_after_cosine_distance,vision_backbone_output_before_l2,vision_backbone_output_after_l2,vision_backbone_output_cosine_improvement,vision_backbone_output_l2_improvement,projector_output_before_cosine_distance,projector_output_after_cosine_distance,projector_output_before_l2,projector_output_after_l2,projector_output_cosine_improvement,projector_output_l2_improvement
000000,home_hold,0.0808528424717272,0.07941003297052762,62.70858207961523,58.67622880726535,0.0014428095011995712,4.03235327234988,0.03567224842598615,0.05012065037784352,6.631615275552692,6.678355030729445,-0.01444840195185737,-0.04673975517675277
000001,home_hold,0.08224537294366652,0.08041669808722829,63.13820849636569,58.97540264034066,0.0018286748564382282,4.162805856025031,0.036641623410563096,0.05101314846644078,6.665305169021642,6.715396632746699,-0.014371525055877687,-0.050091463725056684
000002,home_hold,0.0826165243500736,0.08311536725959134,63.15328632911254,59.96159468965566,-0.0004988429095177382,3.1916916394568773,0.03671165573722601,0.053200225482350816,6.611371738553447,6.882390498679244,-0.016488569745124804,-0.27101876012579673
000003,home_hold,0.08262450732040116,0.08280707360308726,63.161725644605895,59.8307637665459,-0.00018256628268609187,3.3309618780599948,0.037302998421618216,0.05274456614899081,6.686260265360639,6.803047120635047,-0.015441567727372596,-0.11678685527440802
000004,home_hold,0.0817277777201958,0.0750088955061411,63.14092881009053,56.826494173192636,0.0067188822140547,6.314434636897893,0.03657172154416333,0.04438731127281248,6.883130226807529,6.239137414052793,-0.007815589728649153,0.6439928127547354
000005,home_hold,0.08010449348632553,0.07147414705019184,62.5805281453777,55.37042492341953,0.008630346436133696,7.210103221958171,0.03622928511684642,0.04267581564513501,6.930279680713902,6.135657370039111,-0.006446530528288585,0.7946223106747912
000006,home_hold,0.07935520975986399,0.06897802723643331,62.95103872121701,54.59399103112769,0.010377182523430672,8.357047690089317,0.03690250894379821,0.042302135081263126,7.299100335752333,6.012665498411638,-0.005399626137464919,1.2864348373406944
000007,home_hold,0.07985266583137807,0.06511791696864078,63.91432012674852,53.39099115074588,0.01473474886273729,10.523328976002638,0.03633919015677933,0.038473481490670314,7.538494731893908,5.805321641330592,-0.002134291333890981,1.7331730905633158
000008,home_hold,0.08623644493070493,0.06121847763384469,66.41464220489011,51.5770461938895,0.025017967296860233,14.837596011000613,0.04041904725269341,0.03682121501258706,7.892138544583911,5.587682507964877,0.0035978322401063467,2.304456036619034
000009,home_hold,0.08946369265436149,0.06243465050939201,67.85585810498574,52.18977357394629,0.027029042144969484,15.666084531039452,0.04213732702602524,0.039643391230029024,7.99516771295756,5.7471752529075735,0.002493935795996216,2.2479924600499865
000010,home_hold,0.09158193134701587,0.06524572599405509,69.02055045540072,53.56145982200862,0.026336205352960773,15.459090633392101,0.04351618319783768,0.04239278850699213,8.00074968460399,5.958953258705449,0.0011233946908455472,2.041796425898541
000011,home_hold,0.09513405975314149,0.0636347777930173,71.26469133995481,53.208086314113544,0.03149928196012419,18.056605025841264,0.04382141844990972,0.03998061090607408,8.502120481291167,5.78477038431766,0.003840807543835645,2.7173500969735063
000012,home_hold,0.09807368965814789,0.06139698303726748,72.59049717446894,52.31907061745729,0.036676706620880406,20.271426557011644,0.044789951993194466,0.036637174175747744,8.578411119391712,5.548093283282364,0.008152777817446721,3.0303178361093472
000013,home_hold,0.10198857640302039,0.06175751121342232,73.93732827337936,52.5052716885978,0.04023106518959807,21.432056584781563,0.04715270817188566,0.036131681404788174,8.969032690442036,5.585646509876546,0.011021026767097486,3.3833861805654903
000014,approach,0.09842981691185626,0.06152193258923533,72.82631180313817,52.530519769740025,0.03690788432262093,20.295792033398143,0.04623835817628763,0.03709013688713658,8.976731373154696,5.7130891232134315,0.009148221289151048,3.263642249941264
000015,approach,0.09657526283527695,0.05887252277062427,72.50371508071086,51.58561452386276,0.037702740064652684,20.918100556848103,0.04545251114680682,0.03460567312062568,8.910196934027638,5.549672474065781,0.010846838026181138,3.360524459961858
000016,approach,0.09745904742586808,0.05733973484303867,73.16498012244874,51.231135515915966,0.040119312582829414,21.933844606532773,0.045296190241791656,0.032151909490824915,9.026048727990998,5.446329785391182,0.013144280750966741,3.5797189425998166
000017,approach,0.10036506514418797,0.056097651059412224,74.31190047329075,50.77401567061672,0.04426741408477575,23.53788480267403,0.04661442408840233,0.030636551457310368,9.023474429841311,5.294397617737545,0.01597787263109196,3.7290768121037665
000018,approach,0.10356435196095681,0.05398781318305601,75.75182119636531,49.79979490352725,0.0495765387779008,25.952026292838063,0.04903493476242016,0.02951191859573099,9.13362460371098,5.153385028996201,0.019523016166689167,3.980239574714778
000019,approach,0.10244956535843741,0.053266515162875505,75.34296393747914,49.41459767620315,0.049183050195561906,25.92836626127599,0.04974484767046117,0.02929521681516667,9.137147982978863,5.057928527613779,0.0204496308552945,4.0792194553650845
000020,approach,0.10710798245311226,0.05148550408669128,77.01644534064671,48.44768655474157,0.05562247836642098,28.56875878590514,0.05380478554179158,0.02860366918462076,9.588959503584844,4.984142697502148,0.025201116357170816,4.604816806082696
000021,approach,0.11245033331746779,0.05170389246935625,78.62293586299386,48.46172750697598,0.06074644084811154,30.161208356017873,0.05899117104391638,0.029798778494213196,10.093737846663599,5.121932157179281,0.029192392549703183,4.9718056894843174
000022,approach,0.11595158731540778,0.0491202695276608,80.58769945614344,47.46225230642486,0.06683131778774698,33.12544714971858,0.06263940599400586,0.028654346913365325,10.949220783052372,5.381442427269424,0.033985059080640534,5.567778355782948
000023,approach,0.11073753656084129,0.04144153874570755,78.96806410855537,43.663420764694635,0.06929599781513374,35.30464334386073,0.06105981937790739,0.025702791126402058,11.266641341699115,5.409410438033453,0.03535702825150533,5.857230903665662
000024,approach,0.10679355542369551,0.04008576655184659,77.39368394421811,42.84605893505559,0.06670778887184892,34.54762500916252,0.059005530796242045,0.025801915443291912,11.126195401827388,5.390331918924269,0.03320361535295013,5.735863482903119
000025,approach,0.1119229307842049,0.0419570163184918,78.87953368221427,43.79251559220541,0.0699659144657131,35.08701809000886,0.06031667371135763,0.02639244873727098,11.219446868126827,5.4687275969135944,0.03392422497408665,5.7507192712132325
000026,approach,0.1096715188979589,0.04212300599043761,77.95927750151691,43.85939885925329,0.06754851290752129,34.09987864226362,0.05849333655551048,0.02587266895680862,11.198873736776426,5.493623999684587,0.03262066759870186,5.7052497370918385
000027,approach,0.11055412894246608,0.04182217855030912,78.52910521735309,43.814162393583835,0.06873195039215696,34.714942823769256,0.05848439079311396,0.025740282447763496,11.3952333179943,5.618918937371915,0.032744108345350464,5.776314380622385
000028,approach,0.11688175788572297,0.04366387752169776,80.74128406397503,44.72374632400775,0.07321788036402521,36.01753773996728,0.0625926357350095,0.027211258464059807,11.476230148137711,5.633623399816633,0.0353813772709497,5.842606748321078
000029,approach,0.11620142352076579,0.04329391407456462,79.96198242991923,44.28057348122958,0.07290750944620117,35.68140894868965,0.06295815705348584,0.02671056045069531,11.046248900536705,5.281126022296738,0.03624759660279053,5.765122878239967
000030,approach,0.11756821390869454,0.04327420680274041,80.46961918563863,44.27167854144478,0.07429400710595413,36.19794064419386,0.06421958176145959,0.027404085760430408,11.061799993784685,5.316192324372405,0.03681549600102918,5.74560766941228
000031,approach,0.12094403785188002,0.04401635327606068,81.74331893415457,44.72590884494833,0.07692768457581933,37.017410089206244,0.06429426868288501,0.028289069710619397,10.971147874049615,5.32796842460906,0.03600519897226562,5.643179449440555
000032,approach,0.1273220686737795,0.04576542247494253,83.86779421475,45.596195650264434,0.08155664619883696,38.27159856448557,0.06823912981262492,0.02923284982007668,11.265911220092601,5.468414508421726,0.03900627999254824,5.797496711670875
000033,approach,0.12770997173683918,0.04348556021369443,84.28991056448972,44.48823188979049,0.08422441152314475,39.801678674699225,0.0678222269965616,0.028854723635925117,11.295618526157794,5.463879726308167,0.03896750336063648,5.831738799849627
000034,approach,0.1295641050578451,0.04255049314712256,84.35363385001621,43.672956474480955,0.08701361191072254,40.680677375535254,0.06897389497957951,0.028751401570443536,11.142985700124637,5.313837667252142,0.04022249340913597,5.829148032872495
000035,approach,0.13445413469370282,0.04567734332752238,85.17933636277334,44.77021273550065,0.08877679136618044,40.40912362727269,0.06954294106437109,0.028763485007186063,11.029397868250582,5.21133749955457,0.040779456057185026,5.818060368696012
000036,approach,0.13499860464149194,0.04558168209478275,84.96667394913555,44.57699054184217,0.08941692254670919,40.38968340729338,0.07006003210658873,0.027933755405418537,10.850417383905517,5.024632983272284,0.042126276701170196,5.825784400633234
000037,approach,0.13938884946677377,0.04698250436802731,86.2803833047188,45.28545055075265,0.09240634509874646,40.99493275396615,0.07445161772630038,0.029521489871821016,11.01362325069126,5.118344527552668,0.04493012785447936,5.895278723138593
000038,approach,0.1443799694697382,0.04715164398892835,87.0618155845081,45.13091454657349,0.09722832548080984,41.9309010379346,0.08092179334308502,0.029536569173910898,10.81868130701858,4.836836850258147,0.051385224169174126,5.981844456760432
000039,approach,0.14705252265855517,0.045749515066942026,87.20766195709447,44.24726804042899,0.10130300759161315,42.96039391666548,0.08741263951604972,0.030383301370518034,10.947228382308849,4.819892052432203,0.05702933814553168,6.127336329876646
000040,approach,0.15156314030368645,0.04483575836724152,88.5759742483109,43.90214677408385,0.10672738193644493,44.673827474227046,0.09440399529503674,0.03187348364890241,11.202947182819269,4.899999896041491,0.06253051164613432,6.302947286777778
000041,approach,0.1503408908898416,0.04396240302439247,87.39259562845233,43.25978134972555,0.10637848786544912,44.13281427872678,0.09681013557029439,0.03340698883247917,11.136504434147156,4.929490535710267,0.06340314673781522,6.207013898436889
000042,approach,0.151791097226882,0.040853823280241564,86.66039432133829,41.26789098062593,0.11093727394664044,45.39250334071236,0.10038606066225486,0.03445658029183818,10.740870396351056,4.776319866662253,0.06592948037041668,5.964550529688803
000043,approach,0.15594467726054495,0.04030770140683204,87.2584900099986,40.87427175194614,0.11563697585371291,46.38421825805246,0.10307228407418934,0.033886494682881185,10.76293326391212,4.704031779891726,0.06918578939130815,6.058901484020393
