gate_method,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,aggregate_reduction_ratio,improved_count,worsened_count
oracle_min_raw_progress,225,0.07148795875759406,0.015512388442174124,0.2502089485420841,0.8069171224601959,192,0
phase_gate_train,225,0.07208564625498708,0.015512388442174124,0.2502089485420841,0.8053028195220252,161,14
progress_all,225,0.0723250733993341,0.016451782170923905,0.2502089485420841,0.8046561472321027,192,33
progress_gate_lambda,225,0.0730591449365323,0.016132099685904955,0.2502089485420841,0.8026734826381546,124,2
progress_gate_min_gap,225,0.07257671879727724,0.016451782170923905,0.2502089485420841,0.8039764744816291,155,31
progress_gate_worse_le_1,225,0.07295660162067748,0.016132099685904955,0.2502089485420841,0.8029504433856962,125,2
progress_gate_zero_worse,225,0.08169844265068048,0.015512388442174124,0.2736072822689872,0.7793394765822944,112,1
raw_no_correction,225,0.3702449418015162,0.3391642309243167,0.8434039401528295,0.0,0,0
