planner_phase,method,count,token_count_mean,token_count_p50,token_count_p90,hidden_shift_norm_mean,hidden_shift_norm_p50,hidden_shift_norm_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,improved_count,worsened_count
alignment,all35_full_delta,85,35.0,35.0,35.0,271.08168828345913,266.84717966871096,313.4877558601177,1.0,1.0,1.0,0.00028839806988840185,0.00018783684508848084,0.0007389658584783836,0.00066903346751574,0.00041401860643852363,0.0015869150890815411,2.0398185183614547e-05,1.6535564733759617e-05,4.043730115105008e-05,3.875578665008001e-05,3.5530162507095685e-05,6.465408939808181e-05,0.0001282036167514675,7.13961198925972e-05,0.0002697838470339778,0.7125989871216788,0.7544875209085694,0.8876830251323314,0.9995009742137112,0.9997520498107397,0.9998651917117284,85,0
alignment,bottom10,85,10.0,10.0,10.0,118.55773279769689,118.73209085813959,139.79735318101322,0.1025974118091327,0.10377877029201603,0.1298167310433747,0.49839763457565894,0.5040611588731194,0.6887517606042902,0.7786251985218272,0.8400830447111713,0.9322891423223467,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.21448975061590822,0.23368573471248888,0.26216258228043154,0.31321316120032183,0.31342108094593557,0.44218713790190417,85,0
alignment,bottom5,85,5.0,5.0,5.0,84.21158720619394,83.03787519330449,100.14561139071347,0.05027341242221015,0.050461051747268615,0.06383574693565389,0.5971706418865663,0.6108931695082404,0.7950048834945347,0.8149482713340577,0.8629210800085328,0.9370547289819738,0.0048711624149476,0.004734024948225695,0.007607973341372462,0.012385289581407385,0.011393084824584246,0.01900470063804614,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.11571674330500092,0.12980712134194705,0.15699810145750517,0.16822582067555225,0.18541935686926234,0.23874112287266008,85,0
alignment,no_correction,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7128545436726449,0.7546514862982461,0.8881977540114876,0.843770401864537,0.900911582021811,0.9431701499476836,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,3.284151892227945e-05,1.3061897832900016e-05,0.0007065210473161224,9.932453212048163e-05,1.5430608607004094e-05,0.0010059785774309204,45,40
alignment,top1,85,1.0,1.0,1.0,75.82501922398184,73.53982546032968,97.03564127701415,0.04091914624821288,0.034159131817612653,0.060218068847594036,0.6751056202688,0.7138776858456599,0.8347819067582498,0.8436929559064588,0.900911582021811,0.9431701499410798,0.003584650974441834,0.003640466950579647,0.005370817136515843,0.009294115373799964,0.009330253744906597,0.014717329561159832,0.34268086000400433,0.34588369727134705,0.559771454334259,0.03778176492276708,0.037775694962491224,0.05667088870217153,0.0519717951502082,0.0514020821198001,0.07114697248550465,85,0
alignment,top10,85,10.0,10.0,10.0,204.7550513929249,208.7464748060173,235.4127603781646,0.3498396462059685,0.33948991296630654,0.43775875503792144,0.49675155832101203,0.5342302418738235,0.5869112835692242,0.8326926935343403,0.9009115820221918,0.9431701499476836,0.00042393934221628257,0.0004479922346767038,0.0006189856276721601,0.0013221802535553725,0.0013171478069406847,0.0018995898981350975,0.006812526625307167,0.005207912065088749,0.012962110340595256,0.21613582687055508,0.22674303741622004,0.3052574466172213,0.2951163089071594,0.30495224660135,0.35554036662649907,85,0
alignment,top15,85,15.0,15.0,15.0,221.40691297661837,222.62445187132985,253.58656729810994,0.4264382048721905,0.41505536111349883,0.5113029832147046,0.4025925206671706,0.42596011513726284,0.4976812660169307,0.8261912520609213,0.888721859835259,0.9431701499476836,0.00042393934221628257,0.0004479922346767038,0.0006189856276721601,0.0013221802535553725,0.0013171478069406847,0.0018995898981350975,0.006812526625307167,0.005207912065088749,0.012962110340595256,0.31029486452439664,0.3335548578823755,0.3969192736433316,0.42925902480850575,0.43128757942004575,0.4881281156787515,85,0
alignment,top2,85,2.0,2.0,2.0,105.1766391361853,103.49718342748969,129.60133869258038,0.07985514251071427,0.07551499075434841,0.1082189253651706,0.6448983375931441,0.6883335053077935,0.7933079193161968,0.8436929559062532,0.900911582021811,0.9431701499410798,0.002884073600135131,0.0029840380732076757,0.0041080337217776096,0.007892286352863456,0.007946835524973068,0.011619893001432376,0.19157899955616278,0.17804786562919617,0.31424741148948676,0.06798904759842309,0.06598883395206351,0.10605765964636553,0.09278470535540767,0.08661570008507859,0.127432614761616,85,0
alignment,top20,85,20.0,20.0,20.0,233.15134419798812,234.9892830638964,267.2457542360415,0.49283011614371364,0.4815556942275287,0.5686552327170608,0.32034352695862356,0.35091811073272206,0.37522859654023616,0.8261912520611228,0.8887218598175669,0.9431701499410798,2.0398027786567867e-05,1.6534483150047732e-05,4.043584914783211e-05,3.875599062464435e-05,3.552968962012952e-05,6.465401024528878e-05,0.0001282036167514675,7.13961198925972e-05,0.0002697838470339778,0.3925438582329436,0.407534951887612,0.5282374378155233,0.54113790326145,0.5394401399489096,0.6194524990562368,85,0
alignment,top3,85,3.0,3.0,3.0,131.48777323998917,129.67175310762295,159.86701950296646,0.12766365949516162,0.1254617871199385,0.1614105152097609,0.6253813676518436,0.6639155297255864,0.7579481359565349,0.843692955906575,0.900911582021811,0.9431701499410798,0.0022365622395849605,0.002303813490204104,0.003047480754859855,0.00656946155138843,0.006594744616565993,0.009637676178069664,0.09387802606558099,0.08430635184049606,0.171323162317276,0.08750601753972369,0.0874756694647505,0.1393431187721555,0.1192625351650168,0.1205170690666206,0.1655412320255942,85,0
