feature,token_index,token_l2_mean,token_l2_std,token_cosine_mean,token_cosine_std,real_token_variance,sim_token_variance,variance_ratio_sim_over_real
vision_backbone.output,0,184.5815276700312,31.14242212270637,0.2780133556001992,0.09692132643570632,26.454352491901968,31.029222472348202,1.172934490906427
vision_backbone.output,1,189.8587855077527,32.651981374197156,0.3173215814662155,0.0964201217352665,23.670979558465824,29.092302086837353,1.229028229059182
vision_backbone.output,2,198.886048214601,26.249508523951288,0.29912640980871735,0.07772869278774788,27.51754968980605,33.49338581601602,1.2171645438483114
vision_backbone.output,3,196.75341712291117,24.235237504960313,0.289162715758195,0.06849799460823737,27.337654754680106,33.91839700606461,1.2407208047083083
vision_backbone.output,4,190.5197128202927,28.126494604341254,0.2532508805706556,0.08010537335007342,28.82010634319524,36.83698021504529,1.2781694757258564
vision_backbone.output,5,180.73252086882377,30.542534560183466,0.23445499017104054,0.08650383556082847,28.577322099164505,35.62712792754121,1.2466923179125595
vision_backbone.output,6,189.71182581732936,26.381664161421703,0.2545961836926908,0.07080020227356704,28.01749388251856,36.39025185850959,1.2988403606367946
vision_backbone.output,7,195.23519974848642,31.35719718815626,0.28296668941724157,0.08459532725802762,27.07420927271135,34.78472653731539,1.2847919651849493
vision_backbone.output,8,199.56938300194736,41.45688291891165,0.2956954390102692,0.11212587591803261,28.7025315285418,33.937884281357434,1.182400383311472
vision_backbone.output,9,194.364537852912,46.25655638007969,0.28426112937170306,0.12651959241692487,28.64470009586591,33.592135470705706,1.17271730401373
vision_backbone.output,10,187.20133908500338,27.22583245236093,0.2613097403473725,0.07633025427488249,28.156662846926537,33.849974483258926,1.2022012220441047
vision_backbone.output,11,173.4524804968046,23.119454432660557,0.243691796834489,0.06943781324483314,26.970445403576726,30.326385946117302,1.1244302973986304
vision_backbone.output,12,188.63753978118825,30.994941997200936,0.2795205930115924,0.0921867721729913,26.929986680128238,32.28724329060836,1.1989327612417005
vision_backbone.output,13,194.60490196913494,51.60910532142721,0.34618200785466147,0.13722911098441,24.113068016734328,26.70213181158898,1.107371811544589
vision_backbone.output,14,200.81081959636714,46.75335424016596,0.33036305994288734,0.1314755592581726,27.18755765752343,30.841939170082657,1.1344137475897167
vision_backbone.output,15,187.86240635856416,52.39447872719522,0.27264746816605023,0.14201340674138782,29.66048385019905,32.36107407197671,1.0910501067823792
vision_backbone.output,16,197.4350678017334,35.35928033571138,0.31440214979245806,0.10663122978936976,25.651795271432867,32.03179510619136,1.2487155291568846
vision_backbone.output,17,188.68919136563258,34.80246184913182,0.29852702946260434,0.10820475540249651,26.028526185578663,30.627736890982693,1.1766988523519346
vision_backbone.output,18,183.61556316824985,24.61595713463644,0.2758420183850357,0.08007577417521797,26.71632609659116,30.456262588060664,1.1399869307609138
vision_backbone.output,19,180.48632652479537,23.994819587759416,0.25987105077173606,0.0728253966517039,28.029203908316713,30.2999444645166,1.081013380316739
vision_backbone.output,20,180.96452437985286,22.44900036155774,0.24443579779543098,0.06408565214604181,28.726741370847535,33.14829198667029,1.15391758357632
vision_backbone.output,21,172.4686987943816,21.997828078810354,0.20683671644570273,0.05853952685735156,30.63944523275999,35.75700337882633,1.1670251568587346
vision_backbone.output,22,181.33351922762827,26.327006247697827,0.23673618247407963,0.07943466162569474,29.33329991439457,35.10838079961181,1.1968779817501292
