frame,episode_id,progress,planner_phase,direction,alpha,direction_norm,raw_gap_first_l2,raw_gap_first_translation_l2,raw_gap_first_rotation_l2,raw_gap_first_gripper_abs,raw_gap_chunk_mean_l2,raw_gap_chunk_max_l2,gap_to_sim_first_l2,gap_to_sim_first_translation_l2,gap_to_sim_first_rotation_l2,gap_to_sim_first_gripper_abs,gap_to_sim_chunk_mean_l2,gap_to_sim_chunk_max_l2,change_from_real_first_l2,change_from_real_first_translation_l2,change_from_real_first_rotation_l2,change_from_real_first_gripper_abs,change_from_real_chunk_mean_l2,change_from_real_chunk_max_l2,gap_reduction_chunk_mean_l2,gap_reduction_ratio_chunk_mean_l2,gap_to_sim_minus_raw_chunk_mean_l2
episode_000001_000000,episode_000001,0,hold,real_to_sim,-0.5,238.58474731445312,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.46624652708318287,0.004766545922255344,0.015806882049556856,0.46595412492752075,0.6886394586471515,0.8970288236006164,0.3009055163056971,0.001694511051102068,0.0053021363763398775,0.30085402727127075,0.266687730055332,0.3027054806591012,-0.2666573694814321,-0.6319163213979713,0.2666573694814321
episode_000001_000000,episode_000001,0,hold,real_to_sim,0.0,238.58474731445312,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.16472198192900817,0.003087321407456249,0.010485804572880942,0.16435889899730682,0.42201524814686986,0.7055274444796827,0.0007418792036375044,1.0911187951925351e-05,2.983700300185308e-05,0.0007411986589431763,0.000706384430413034,0.0013664614706885864,-3.315898115047178e-05,-7.857911982953782e-05,3.315898115047178e-05
episode_000001_000000,episode_000001,0,hold,real_to_sim,0.25,238.58474731445312,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.08001806048877393,0.0022017734434555225,0.007636903251701737,0.07962235808372498,0.2698398799379008,0.49601668051418146,0.08553080680697264,0.0008827812202917806,0.0028802166481651384,0.08547773957252502,0.15216591624617787,0.2081463538282142,0.15214220922781857,0.36054186453413617,-0.15214220922781857
episode_000001_000000,episode_000001,0,hold,real_to_sim,0.5,238.58474731445312,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.034575773855682695,0.0013848158063297397,0.004890932789551925,0.03420007601380348,0.13420392180761787,0.2568339104939571,0.13103197804490274,0.00170264405266613,0.005627131382581044,0.13090002164244652,0.28782137824673776,0.4473349121724466,0.2877781673581015,0.681967729784584,-0.2877781673581015
episode_000001_000000,episode_000001,0,hold,real_to_sim,0.75,238.58474731445312,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.011637155653471145,0.0006445261078910137,0.0023293742959761537,0.011383408680558205,0.04318360318357347,0.08087354713251244,0.15395391994393734,0.0024420246476758423,0.008186911021554076,0.1537166889756918,0.3788410290692731,0.6233019079370989,0.37879848598214594,0.8976648433848231,-0.37879848598214594
episode_000001_000000,episode_000001,0,hold,real_to_sim,1.0,238.58474731445312,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,8.536150921317518e-05,1.4344076902370668e-05,7.69173808464429e-05,3.4125521779060364e-05,0.00022597353370209014,0.0005037002299787192,0.1654929216239781,0.0030897982957021615,0.010442633265653405,0.16513422317802906,0.4220861001720001,0.7040443648936798,0.4217561156320173,0.9994644949643506,-0.4217561156320173
episode_000001_000000,episode_000001,0,hold,real_to_sim,1.5,238.58474731445312,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.009691944142255451,0.001030843754750775,0.003495687242113097,0.008980607613921165,0.021217370773586635,0.03246213117718861,0.17469115975293495,0.004089829540928805,0.014006521437936875,0.17408070527017117,0.4429225784964522,0.7364403025701466,0.40076471839213273,0.9497197361728444,-0.40076471839213273
episode_000001_000000,episode_000001,0,hold,random,-0.5,238.58474731445312,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.15881592340769782,0.003084138273633973,0.01061581885854263,0.15843071043491364,0.42080937353934517,0.7003655883136933,0.006672945680387207,0.00010682054948929223,0.00018991449518215915,0.006669387221336365,0.004073780289689968,0.006672945680387207,0.0011727156263742211,0.0027790649330466633,-0.0011727156263742211
episode_000001_000000,episode_000001,0,hold,random,0.0,238.58474731445312,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.16472198192900817,0.003087321407456249,0.010485804572880942,0.16435889899730682,0.42201524814686986,0.7055274444796827,0.0007418792036375044,1.0911187951925351e-05,2.983700300185308e-05,0.0007411986589431763,0.000706384430413034,0.0013664614706885864,-3.315898115047178e-05,-7.857911982953782e-05,3.315898115047178e-05
episode_000001_000000,episode_000001,0,hold,random,0.25,238.58474731445312,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.1668594424687616,0.0030826961337529733,0.010469253359114535,0.16650214791297913,0.4195996850759677,0.7052953102367221,0.0014056363500051666,3.874417144263729e-05,9.256087316389401e-05,0.001402050256729126,0.0034086562888904137,0.007201525647435071,0.0023824040897517107,0.005645746942629361,-0.0023824040897517107
