direction,alpha,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,change_from_real_chunk_mean_l2_mean,change_from_real_chunk_mean_l2_p50,change_from_real_chunk_mean_l2_p90,change_from_real_first_translation_l2_mean,change_from_real_first_translation_l2_p50,change_from_real_first_translation_l2_p90,change_from_real_first_rotation_l2_mean,change_from_real_first_rotation_l2_p50,change_from_real_first_rotation_l2_p90,change_from_real_first_gripper_abs_mean,change_from_real_first_gripper_abs_p50,change_from_real_first_gripper_abs_p90,gap_reduction_chunk_mean_l2_mean,gap_reduction_chunk_mean_l2_p50,gap_reduction_chunk_mean_l2_p90,gap_reduction_ratio_chunk_mean_l2_mean,gap_reduction_ratio_chunk_mean_l2_p50,gap_reduction_ratio_chunk_mean_l2_p90,improved_count,worsened_count
orthogonal,-0.5,225,0.368974550916518,0.3407755639025417,0.8414674520895716,0.463144596729436,0.5556519413630364,0.924063233042165,0.0041284189380094895,0.004145625423041017,0.006836529737014775,0.005924790666246076,0.0017213953176092838,0.016904875472887076,0.3140395958556069,0.2464883029460907,0.8072203993797302,0.0037872962132257677,0.0016471016566320534,0.009514235033256692,0.00010484151634181495,9.008401021855872e-05,0.00021249745760963865,0.0001468842024036202,8.561919428470468e-05,0.00033995983784813026,0.0049514361884858875,0.0018659234046936035,0.01356585025787353,0.0012875118339577482,8.680874586698261e-05,0.005092491988416814,-0.020475319321152968,0.0011645403481886237,0.013750126295063066,126,99
orthogonal,0.0,225,0.37024494499148836,0.3391642845654582,0.8434039306107537,0.4641897840908186,0.55793661940154,0.9243781255193758,0.004149627765539274,0.00414749034188765,0.006940550414908007,0.0059099068931838875,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.0009638014128640574,0.0009371142143309212,0.001474988670073278,1.8896317554107416e-05,1.6174313605449004e-05,3.430145941901591e-05,4.175698375355177e-05,3.5773483206143844e-05,7.36407772429874e-05,0.0010317393806245593,0.0008775591850280762,0.0020681619644165035,1.7117758987452598e-05,-4.860719930703441e-05,0.0006335038301584993,-0.015243646954905748,-0.00020274217995045472,0.004397067949528275,101,124
orthogonal,0.25,225,0.3697113048049423,0.3348436281245257,0.8432473019806265,0.4638611000861324,0.546614758903308,0.9224559326243158,0.004148425972518946,0.004150514076379338,0.006934231123789989,0.005908801506666831,0.0018432163635336547,0.01653219706105955,0.3150056427717209,0.2372281700372696,0.8088016390800477,0.0021441924779474143,0.0013156568964038376,0.0049238612545031675,5.212965306226428e-05,4.636864842755498e-05,9.669757265799364e-05,8.527209578737226e-05,5.604305106088728e-05,0.0001857339343278109,0.0026706751849916244,0.0016477704048156738,0.006440424919128416,0.0005507579455335546,3.238445210100539e-05,0.0029500889742681835,-0.016195086517887612,0.00017343059679874128,0.011991726261355664,117,108
orthogonal,0.5,225,0.36845633009596135,0.32827076291494006,0.8413573161104291,0.4629841112026775,0.5259034222103458,0.9212457582249105,0.004140125934917268,0.004180923534624407,0.006892034416938281,0.005912327059235882,0.0017635812165634136,0.01656104242468834,0.31372790697548125,0.23058149218559265,0.8050966382026672,0.003933289240005261,0.0018544882839372679,0.0105056065455874,0.00010375678349575042,9.37182599647892e-05,0.00019044577981026033,0.00014677719806484332,7.649982170139147e-05,0.00033236953699897686,0.004947306017080943,0.002169013023376465,0.012470528483390805,0.00180573265451437,0.00025515495752684303,0.007180282054842734,-0.01983851854952622,0.0012735986027202655,0.019684267823032748,127,98
orthogonal,0.75,225,0.36666273144953937,0.31993849085578907,0.838889529090626,0.4617709780205761,0.530541872680004,0.9199471550438155,0.004126437795425295,0.0041981800785721056,0.006748624633395418,0.0059191240355587725,0.0016478322248473498,0.016670993288334802,0.3118154716160562,0.22837461531162262,0.8018056273460388,0.0060645451749923,0.0026711331606917798,0.01681255770693351,0.00016340404153351878,0.00015269845019578838,0.0003042483134430483,0.00021056385733608907,0.00010224251492736218,0.0005102779425262682,0.007488877806398604,0.003064185380935669,0.01992767453193664,0.003599331300936447,0.0007777984963051598,0.012420013211489287,-0.026598582939800382,0.0032099392439864814,0.028192938885090935,137,88
orthogonal,1.0,225,0.36450475529718035,0.31055423676265875,0.8363643219152905,0.460395339910399,0.5253662669904362,0.9179362215019246,0.004109744059256673,0.004181015514122141,0.006590414162100849,0.005928077326746632,0.0015483481444523693,0.016817177800129094,0.30942662056949405,0.22568897902965546,0.7972394108772278,0.00847994875936215,0.0038800291697912623,0.02374927420379299,0.00022950493623803846,0.00021357680676673316,0.000425201987171043,0.00027451360330575214,0.00012586969079760976,0.0007040689737096562,0.010304343667295244,0.003832519054412842,0.02777185440063476,0.005757307453295473,0.001898523102620786,0.018807268212451864,-0.03660351301567665,0.005378761326952158,0.0398654960979713,136,89
orthogonal,1.5,225,0.3595858049022813,0.28969717448552196,0.8303166023945465,0.45738707997754446,0.5121047857931096,0.9151891065092518,0.004073126459795739,0.004179392681264214,0.006449289436294646,0.005950253147097566,0.001451761681797024,0.01680788732004392,0.3037801770038075,0.2197669893503189,0.7861955046653747,0.013877069574506587,0.007076212858036869,0.037713947022320365,0.00037635959405985176,0.00033903540006653617,0.0007095041654260228,0.0004034693596015614,0.0001975517978501532,0.0010222938121946603,0.016634279919995203,0.005694836378097534,0.04623588323593139,0.01067625784819447,0.003746887019389411,0.03318319926039228,-0.06604128225825351,0.010041751427209257,0.06259117328268687,137,88
random,-0.5,225,0.36852921646609926,0.33546831143763167,0.8386285492301365,0.46263442543922856,0.5439605258580049,0.9245892796221818,0.004122002998222784,0.004114281684945993,0.0068748827701462945,0.00589753794631782,0.0016381735514011593,0.016536365809137536,0.3132227067814933,0.23350438475608826,0.8110773086547851,0.004096552658767648,0.002093972615141082,0.010265022942662957,0.00010783830987570369,8.619693800875745e-05,0.00021723791212679676,0.00015564028841426623,8.330227857203786e-05,0.00035423930103014206,0.005539053347375658,0.0027091503143310547,0.01490504741668701,0.0017328462843765558,0.00011930257532927202,0.006528008980755162,-0.01998716760119208,0.001336062622284751,0.02519134462052278,124,101
random,0.0,225,0.3702449449923064,0.3391642845654582,0.8434039306107537,0.4641897840917818,0.55793661940154,0.9243781255193758,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.0009638014128898777,0.0009371142143309212,0.001474988670073278,1.889631244304759e-05,1.6174313605449004e-05,3.430145941901591e-05,4.1757000345882875e-05,3.5773483206143844e-05,7.36407772429874e-05,0.0010317393806245593,0.0008775591850280762,0.0020681619644165035,1.7117758169378237e-05,-4.860719930703441e-05,0.0006335038301584993,-0.01524364712382006,-0.00020274217995045472,0.004397067949528275,101,124
random,0.25,225,0.3699355650691798,0.3378094250062763,0.8440851593871556,0.46399458684507444,0.559399713337327,0.9225042123740275,0.004151526406397742,0.004158035845040794,0.006872529210143937,0.005923165592110498,0.0019129669980585723,0.01664843673352664,0.3154198698865043,0.2426919937133789,0.8117763519287109,0.0021817600138667966,0.001358125548155182,0.004575045725788154,5.4126449456884955e-05,4.4916739503095764e-05,0.00010312304773499789,8.834609105006186e-05,5.755646562540358e-05,0.00019727535025925287,0.0028697729772991605,0.0015425682067871094,0.007033729553222655,0.0003264976812959671,-2.9935025452189432e-05,0.00201650131500317,-0.016493997078138735,-0.00025259977852512647,0.006785364095405657,107,118
