episode_id,direction,alpha,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,change_from_real_chunk_mean_l2_mean,change_from_real_chunk_mean_l2_p50,change_from_real_chunk_mean_l2_p90,change_from_real_first_translation_l2_mean,change_from_real_first_translation_l2_p50,change_from_real_first_translation_l2_p90,change_from_real_first_rotation_l2_mean,change_from_real_first_rotation_l2_p50,change_from_real_first_rotation_l2_p90,change_from_real_first_gripper_abs_mean,change_from_real_first_gripper_abs_p50,change_from_real_first_gripper_abs_p90,gap_reduction_chunk_mean_l2_mean,gap_reduction_chunk_mean_l2_p50,gap_reduction_chunk_mean_l2_p90,gap_reduction_ratio_chunk_mean_l2_mean,gap_reduction_ratio_chunk_mean_l2_p50,gap_reduction_ratio_chunk_mean_l2_p90,improved_count,worsened_count
episode_000001,orthogonal,-0.5,46,0.31468133649589236,0.4148940389757627,0.713452788140314,0.4246382490068468,0.6034980184390906,0.8735743079725049,0.003933659543200129,0.004102523256029082,0.005337772470641886,0.0049769823884646906,0.0028512899439908797,0.011032704854969794,0.2584274388525797,0.189712293446064,0.6039358973503113,0.0034466902950804792,0.0014252317843708256,0.008258782089669441,9.493346988775457e-05,8.93090066085109e-05,0.00014153618340472342,0.00015966951633743676,8.845049577932328e-05,0.000352791864772571,0.004103064860986627,0.0014111250638961792,0.010027743875980377,0.001098311445612622,0.00011570436147501084,0.0038876430908949267,-0.009865498935772566,0.0008268890132066477,0.009197331465142266,27,19
episode_000001,orthogonal,0.0,46,0.3157841033109578,0.41578371551346327,0.712479907424743,0.4254966921430917,0.6122023672387225,0.8741044501821946,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.001017344423639513,0.0009787932022998816,0.0016138803496254727,1.975149258137803e-05,1.4825388775592355e-05,3.63590577176205e-05,4.426301448617231e-05,3.902851573944515e-05,7.376868019025803e-05,0.0011113626153572745,0.0008387491106987,0.0022935420274734497,-4.4553694527394965e-06,-5.628606026018791e-06,0.0005621047558458381,-0.003303568629204545,-0.00011594762605611092,0.006130026952393078,22,24
episode_000001,orthogonal,0.25,46,0.31517788787882134,0.4126798885664483,0.70938184271338,0.4251646153080473,0.6152313670595912,0.8773584611555509,0.003966091714419339,0.004068033061773094,0.005307831504762757,0.004925660583237894,0.002914975014127688,0.010834089778752332,0.25966753907825635,0.19682756066322327,0.6080891788005829,0.002113161337404044,0.00170915024024629,0.004437823611877108,4.644910092802446e-05,4.479119899317347e-05,7.368243325119779e-05,9.143206666319951e-05,6.340440946756267e-05,0.00019063318347031983,0.0025818671869195027,0.001510903239250183,0.005919754505157471,0.0006017600626836717,0.00010055361152809614,0.002462150408185343,-0.003566603843470869,0.001036791347608649,0.010889091660591793,27,19
episode_000001,orthogonal,0.5,46,0.31383555072034514,0.4077327821734497,0.7062660450965392,0.4241345189617124,0.6114468524334086,0.8789116448484324,0.003970001486934885,0.0040649317568563804,0.005326349710196928,0.004926080722246246,0.0029399857154975796,0.010962352738404086,0.2586170813959578,0.19809694588184357,0.6054064929485321,0.0039830147263121155,0.0025615143675277643,0.009730131734672083,8.654554323784126e-05,8.789684422356794e-05,0.00014634153485568912,0.0001596438348469589,8.988879467281412e-05,0.0003322015810316686,0.004459855025229247,0.001632094383239746,0.009912282228469849,0.0019440972211598854,0.00019659580145127767,0.006136420504716161,-0.006267371470918426,0.0024436309063358844,0.016674500114493344,27,19
episode_000001,orthogonal,0.75,46,0.31192867802480573,0.4015062827085407,0.7019378349317533,0.42254311617678064,0.606502537439545,0.8796517220502607,0.003971027414241162,0.004089465609241049,0.005360184987669828,0.0049302684708542235,0.0029663401490700203,0.010953378249938278,0.25697719370541366,0.19870565086603165,0.6010191440582275,0.006254432873743695,0.004016846866885306,0.015080985571035354,0.00013410570393579643,0.00013472733732845717,0.00023538225963333134,0.00023271445095434434,0.00010729294227910702,0.0005016036566648889,0.006548968670160874,0.002490222454071045,0.016344010829925537,0.0038509699166992396,0.0007563170881906001,0.011105486399393183,-0.011689173647975256,0.003870385084666473,0.023565565693893724,30,16
episode_000001,orthogonal,1.0,46,0.3096282483757456,0.39433618946027466,0.6967754319364344,0.42052437815392496,0.6005221750007377,0.879889207671543,0.00397095103498685,0.004070924259411881,0.005406360984177754,0.004938116202356333,0.002993488566129254,0.010948132162372334,0.25488062818413193,0.1989106982946396,0.5954186022281647,0.008779281451374268,0.00589927497907731,0.020690159977867266,0.00018931705062922064,0.00019198275598252695,0.00034269169022794826,0.0003063692374516643,0.00014382299988675683,0.0006696183504006074,0.008834315058977707,0.002943955361843109,0.024194151163101196,0.006151399565759404,0.0022774187079119823,0.016838686598390662,-0.019939735656748604,0.006321189929024532,0.035335770706325875,29,17
episode_000001,orthogonal,1.5,46,0.304339809885444,0.37857974190799054,0.6851071562325725,0.41574889438465545,0.586585185992198,0.8809802450154651,0.003965658565127194,0.003987300546184065,0.005517815368638819,0.004958530034711836,0.0030350453009960407,0.010951086248889103,0.2498558393639067,0.1984938681125641,0.5815729200839996,0.014468373674302535,0.010828151983181964,0.03428261478330142,0.00031958258454816395,0.0003074720020470502,0.0005593835253350666,0.0004487991793091197,0.0002276753179205478,0.0009781846492694433,0.014272867661455402,0.004184633493423462,0.03868591785430908,0.011439838056061056,0.007121991007549122,0.029553233457654315,-0.04415910043659825,0.014784111102447386,0.06109491719966713,29,17
episode_000001,random,-0.5,46,0.3137704005709941,0.40047964509402223,0.7102327977214298,0.42281216546275624,0.6020291003161455,0.8721703001014308,0.003941030255087599,0.004010979560970518,0.005379653259871929,0.004924830895927485,0.0028195572474222228,0.010851048639334736,0.2567312377302543,0.19051294028759003,0.6031716763973236,0.0046257425441966074,0.0032572795670259887,0.01124084010413717,0.00010479566363251968,8.169742214839164e-05,0.0001956913797515537,0.00016182095645692288,7.950936962507905e-05,0.0003968639209611361,0.006613676638706871,0.0020882487297058105,0.017538219690322876,0.002009247370510959,0.00018031661457631283,0.007511320491338819,-0.006322517004350159,0.001555824914113949,0.01772159050461633,27,19
episode_000001,random,0.0,46,0.3157841033109578,0.41578371551346327,0.712479907424743,0.4254966921430917,0.6122023672387225,0.8741044501821946,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.001017344423639513,0.0009787932022998816,0.0016138803496254727,1.975149258137803e-05,1.4825388775592355e-05,3.63590577176205e-05,4.426301448617231e-05,3.902851573944515e-05,7.376868019025803e-05,0.0011113626153572745,0.0008387491106987,0.0022935420274734497,-4.4553694527394965e-06,-5.628606026018791e-06,0.0005621047558458381,-0.003303568629204545,-0.00011594762605611092,0.006130026952393078,22,24
episode_000001,random,0.25,46,0.3156159321443993,0.4192593323821304,0.7109916471807287,0.42573067655723734,0.6067008532453235,0.8744886208248088,0.003962806020350804,0.004062230446271924,0.005284308956958686,0.0049523694197027126,0.0029266059731890472,0.01084103818160731,0.26052438079015067,0.1964692324399948,0.6042020618915558,0.00240610069555175,0.0015572024600090661,0.0046248620970256085,5.423580035676583e-05,4.447036051669018e-05,0.0001022660255357918,8.547254503745336e-05,4.850618250567469e-05,0.00018618052456898052,0.002999675338682921,0.0013309717178344727,0.008447028696537018,0.00016371579710568407,6.59564449271427e-06,0.0017386015186508785,-0.005304919450921779,9.85240457145991e-06,0.006794662228138815,23,23
