planner_phase,direction,alpha,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,change_from_real_chunk_mean_l2_mean,change_from_real_chunk_mean_l2_p50,change_from_real_chunk_mean_l2_p90,change_from_real_first_translation_l2_mean,change_from_real_first_translation_l2_p50,change_from_real_first_translation_l2_p90,change_from_real_first_rotation_l2_mean,change_from_real_first_rotation_l2_p50,change_from_real_first_rotation_l2_p90,change_from_real_first_gripper_abs_mean,change_from_real_first_gripper_abs_p50,change_from_real_first_gripper_abs_p90,gap_reduction_chunk_mean_l2_mean,gap_reduction_chunk_mean_l2_p50,gap_reduction_chunk_mean_l2_p90,gap_reduction_ratio_chunk_mean_l2_mean,gap_reduction_ratio_chunk_mean_l2_p50,gap_reduction_ratio_chunk_mean_l2_p90,improved_count,worsened_count
alignment,orthogonal,-0.5,85,0.7103172619763348,0.7504617852923701,0.8876328798511366,0.8424060967546823,0.8985143380860359,0.9407953276329506,0.004809413946617476,0.00465711988752426,0.007687233613144079,0.012390968817326447,0.011680710166612564,0.01892313980320549,0.5278567224740982,0.5443751811981201,0.8350636601448059,0.006483350710336433,0.005382084037270082,0.012160495520520072,0.0001497098638993739,0.0001306668542787619,0.000261242175550767,0.0002563075022081056,0.00024369992961955093,0.00044422287796481156,0.00841599264565636,0.0068152546882629395,0.01769894361495973,0.0025701232152323516,0.0026083718258451682,0.006600069508853813,0.0041729688682865486,0.003036940947769497,0.009216318382238027,67,18
alignment,orthogonal,0.0,85,0.712854543672285,0.7546514862951811,0.8881977540109217,0.8437704018647383,0.900911582021811,0.9431701499410798,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.0010892199830184986,0.001076589097622862,0.0015929412691797528,1.9043597234906163e-05,1.539005037474902e-05,3.516745103260635e-05,4.678022226509245e-05,4.4796936687536606e-05,7.169481775021464e-05,0.0010787299450706032,0.0008591115474700928,0.0023188829421997076,3.284151928221604e-05,1.3061890647647623e-05,0.0007065210489839882,9.932453249933862e-05,1.5430600118741606e-05,0.0010059785767092056,45,40
alignment,orthogonal,0.25,85,0.7118395233046502,0.7541208585003062,0.8875189454042062,0.8431408484933216,0.9010732096244126,0.9435207276811054,0.004876636100071597,0.004772770760733769,0.007522778222831673,0.012395381506688747,0.011373630787853464,0.01916640726223129,0.5307048229610218,0.5342926383018494,0.8365018963813782,0.0032872990121765124,0.002905711735748265,0.005744513120048929,6.739671336000069e-05,6.0496048112977013e-05,0.0001100358360504053,0.00014024171507877854,0.00012253872856814795,0.00026179120644927314,0.0038970929734847125,0.0034217536449432373,0.00807340145111084,0.0010478618869170623,0.0006786466832229276,0.003379962233635027,0.0019524694735045295,0.0010170248024813208,0.006087137035896828,59,26
alignment,orthogonal,0.5,85,0.7094072900762498,0.7526181216158168,0.8864703210801614,0.8416283578110297,0.8989482838437051,0.9433434810749404,0.004866319980746657,0.004756325719337062,0.00742509980577859,0.012414733510100728,0.011416371605192368,0.019264515195257997,0.5284697303000618,0.5342798829078674,0.8339138627052307,0.006646939491033101,0.005820269954932647,0.011724991307663796,0.00013454281643379378,0.00012726595662790628,0.0002361031055504742,0.00026518571239208687,0.00024369772665409946,0.000495983818565316,0.007844589562977062,0.006274670362472534,0.016030362248420714,0.0034800951153174543,0.002571490272903043,0.009237669232384295,0.006199485955687169,0.003542655365037431,0.014680228183739796,73,12
alignment,orthogonal,0.75,85,0.7059044537592827,0.7477795117499786,0.8849156693734892,0.8396183346085802,0.8952702457662046,0.9428169327904967,0.004843157364390483,0.004755466363793425,0.007308427211870215,0.012436184907329438,0.011450608932137384,0.019408332504945693,0.5249438485678505,0.5295954942703247,0.8286398649215698,0.010657286824109873,0.009455432660468116,0.019027380051720617,0.0002117938420606598,0.00020327547935011794,0.0003667106454494479,0.0003911044576771032,0.0003773565101459217,0.0007076701150810698,0.012175062474082498,0.008915185928344727,0.024549579620361334,0.006982931432284572,0.0053546943478745,0.016194058187612326,0.01219980656484396,0.007620548776921536,0.025776434234785622,81,4
alignment,orthogonal,1.0,85,0.7016620336168617,0.7440221324497963,0.8829511637533667,0.837242642406954,0.8917215482446613,0.9420183503417243,0.0048111099952627915,0.004743521008241693,0.0071812121891408325,0.012458339212256453,0.011719696210344901,0.01956017836512284,0.5204383755431455,0.5268125534057617,0.8206779718399048,0.015209252591824282,0.01325305202533009,0.027339222473264056,0.0002977866584019798,0.00027265071503205477,0.0005224779579870813,0.0005156472566832966,0.0005016584951992028,0.0009144055890258867,0.01695929870885961,0.01359933614730835,0.034050405025482185,0.011225351574705297,0.009452887916004848,0.02377942957915297,0.019371110880583582,0.013490229493446432,0.039865496097971326,82,3
alignment,orthogonal,1.5,85,0.6919150270196518,0.7351325444551323,0.8784004064932777,0.8319372700217054,0.886407228252435,0.9399484984350702,0.0047331221768802155,0.004683349516317651,0.006924542901907999,0.012504383101353982,0.01197203376550518,0.019874295545800634,0.5095984499244129,0.5182012915611267,0.8034084916114808,0.025262916264660037,0.02221582699031937,0.04578962144019151,0.0004887412933962122,0.00046971576623787713,0.0008098792285947781,0.0007564496379498559,0.0006839819595884794,0.0013499312290514893,0.027589521863881278,0.023523032665252686,0.056719326972961455,0.02097235817191533,0.018864004352391772,0.040335891908429525,0.03556237691332461,0.02525009260431897,0.07221586248472107,85,0
alignment,random,-0.5,85,0.7095102804859198,0.7543528115368238,0.8856200952223677,0.8414225013865552,0.8990915125409322,0.9379143079364234,0.004812649481665752,0.004673365894645733,0.007516559420475082,0.012367390304395183,0.011937474244246404,0.019179343787080583,0.5267228694523082,0.5292901992797852,0.8331767320632935,0.0072176696207202195,0.006190101018725859,0.012266362663608118,0.00015647970125959348,0.00014626238991625028,0.00027409090919252926,0.0002688283945212868,0.00024387904177058332,0.0005322560430767974,0.01017075356315164,0.00917428731918335,0.018934455513954163,0.0033771047056473666,0.0027001841001902394,0.00922538701966318,0.006176076536516663,0.0035192854314595734,0.021913298578936008,63,22
alignment,random,0.0,85,0.712854543672285,0.7546514862951811,0.8881977540109217,0.8437704018647383,0.900911582021811,0.9431701499410798,0.004871162019892169,0.004734024921174659,0.007607972496421885,0.012385289410524258,0.011393085300468486,0.019004701924551358,0.5314152586109498,0.5392354130744934,0.8387516736984253,0.0010892199830184986,0.001076589097622862,0.0015929412691797528,1.9043597234906163e-05,1.539005037474902e-05,3.516745103260635e-05,4.678022226509245e-05,4.4796936687536606e-05,7.169481775021464e-05,0.0010787299450706032,0.0008591115474700928,0.0023188829421997076,3.284151928221604e-05,1.3061890647647623e-05,0.0007065210489839882,9.932453249933862e-05,1.5430600118741606e-05,0.0010059785767092056,45,40
alignment,random,0.25,85,0.7122326000059599,0.752482015068491,0.8887910021062934,0.8431456273621366,0.8994357906168227,0.9440094876780291,0.004875752383593952,0.004765094016785036,0.007644556215553423,0.012407341577049421,0.011436949155522787,0.018954940155068416,0.5312934770303614,0.536903440952301,0.8372562408447266,0.0034362022699409014,0.0031495442692471716,0.005723449247626291,7.52667911867172e-05,7.544499761885225e-05,0.00013344916387690028,0.00014025584086187605,0.00011543275131171932,0.0002555768291126591,0.004900782949784223,0.004388630390167236,0.010280716419219972,0.000654785185607269,0.0006022145513456256,0.0031318191463408644,0.0009712772848095991,0.0012731293561510466,0.004001408687778898,52,33
