method,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_std,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_std,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_l2_mean,gap_to_sim_first_l2_std,gap_to_sim_first_l2_p50,gap_to_sim_first_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_std,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_std,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_std,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,shift_norm_mean,shift_norm_std,shift_norm_p50,shift_norm_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_std,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_mean,action_gap_reduction_std,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_std,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,improved_count,worsened_count
global_mean,225,0.12565706842443855,0.16711982340795994,0.03700184367011185,0.42692870960785406,0.2271799755661892,0.252033193715741,0.11548851309239226,0.6467756424563121,0.11472632984847407,0.1618375316878811,0.03543723403677212,0.3922025524698215,0.0033134857697344187,0.0019130856899599923,0.0029128118395575758,0.006359521819897346,0.0032131121796454324,0.004095045887676087,0.0007813732747711123,0.009598556436359935,0.11430454896142085,0.1620069595250414,0.03441595286130905,0.39211604595184324,127.49894656624693,2.663708683476218,128.49256147802745,129.8240054050872,0.08377841916013609,0.04026954354874326,0.08989734096907886,0.12677426015256407,0.24460499432603722,0.2739340109347707,0.1220827854785736,0.6633268777948241,-0.7493725337901722,1.886960615802689,0.32232371339909077,0.9478338708114318,136,89
no_correction,225,0.3702449418015162,0.35286855451974974,0.3391642309243167,0.8434039401528295,0.4641897802486042,0.4038846753866416,0.5579365002011952,0.9243780778079256,0.31616671158076026,0.30813497138685303,0.24142602066957464,0.8122572394438002,0.004149627849844018,0.0018873913106544555,0.004147490523295054,0.006940551052488337,0.005909907027735923,0.0067047289984445676,0.0018109507769700534,0.01663314218859086,0.31551660266187453,0.3086375892512224,0.2414180040359497,0.8119921326637268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7120948959632624e-05,0.0004375145889396175,-4.8606747084464254e-05,0.0006335038907438139,-0.015243608524808015,0.06534588404535417,-0.00020271467212905914,0.004396462808788132,101,124
phase,225,0.06668196044347599,0.09726947973718202,0.015005886958464245,0.23481719937900575,0.13514942841865335,0.1865889428185941,0.028391995835535446,0.44876691193609536,0.0342563113333468,0.06797690912704384,0.007512584251582354,0.09335159558782496,0.0017488627578698243,0.0012012414009463577,0.0014277042809628126,0.003562654662909979,0.0022176036470228054,0.0026139664077196915,0.0008933563544083768,0.006374774450427358,0.033520068635957107,0.06822395437900897,0.005813725292682648,0.09324679165147244,182.250965213849,21.948979358520415,170.76791050622532,214.26747901486291,0.16853962897697547,0.08284906685960118,0.1869234815716855,0.255739583134445,0.3035801023069998,0.31926991388268183,0.140322612749689,0.7476436480953128,0.5208214125246525,0.460515261782812,0.5998982150051507,0.9777645833225352,200,25
progress,225,0.0723250733993341,0.11090991735292648,0.016451782170923905,0.2502089485420841,0.13684471659007816,0.19082639644959007,0.030127386500730113,0.4578952404905005,0.05159072819129078,0.11238350331602573,0.007750227198353945,0.14264756165674072,0.001965017029232244,0.0013552937945905802,0.00166056386904702,0.00380175083656946,0.0018015137119641001,0.0021761371997631785,0.0006772604299573349,0.004781303663439035,0.05094103531756749,0.11261876768862167,0.006025972543284297,0.14257968068122862,183.62458209881856,16.34366468435582,180.85070988090146,207.9457409164676,0.18483065646637373,0.08054223400434626,0.19476962764796796,0.2859488399549622,0.2979369893511417,0.32542023925012753,0.10676597599786108,0.7504145780354063,0.4054976908400924,0.6124172124643454,0.4872680089735407,0.977374726974621,190,35
progress_phase,225,0.06182869719121783,0.10266323308998526,0.01428637396782835,0.2056060056365861,0.11935569668794711,0.1765325152207553,0.024176746618772324,0.4419035947153859,0.03997349080940196,0.08968497662654748,0.007580813179811652,0.1075885627349557,0.0017401962358626856,0.0012493413343917458,0.0014042020509247256,0.003473540562523605,0.001871496797563844,0.0022569727396091746,0.0006696957402387071,0.005617660708541152,0.03928942802853675,0.08991345996158963,0.00621601496823132,0.10757548771798608,207.09659811579894,25.49939410778741,205.8038448037596,243.70532341084413,0.17103607260110607,0.10087198005643004,0.18461072344221985,0.29198436902767944,0.308433365559258,0.32559605129296215,0.16549387597194615,0.7487976495147987,0.5216136718300357,0.5081596927689933,0.6203001875851285,0.9791168298677412,198,27
random_matched_norm,225,0.3675351974956215,0.350759469308924,0.3401843956991383,0.8394240919973124,0.46186876189461884,0.4027478389168156,0.5336500236256225,0.9228177502995727,0.31284302525301744,0.30522424148938326,0.24110701818376734,0.7906732204322869,0.004132851141112474,0.001864774342610623,0.0041694103376708315,0.006857746007467243,0.005915184416790123,0.00671736948359529,0.0017551864810774363,0.01722160194439142,0.3122156210740407,0.305701376670458,0.24088522791862488,0.7904749274253845,183.62458209881856,16.34366468435582,180.85070988090143,207.9457409164676,-0.20727053006369614,0.06107743459307117,-0.19949391176636513,-0.13810034864646256,0.0027268652548543128,0.005540162560778099,0.0002541890318998874,0.009915388234930432,-0.027472075485450536,0.09250050535646633,0.002210657692957793,0.030346112168229942,129,96
shuffled_progress,225,0.1309754843420969,0.1726879999828979,0.03442556298170362,0.4347869068244572,0.23257962067539753,0.25840263165990107,0.10458935746669021,0.672040767202412,0.1174055744836907,0.17076438668722912,0.03309451353393248,0.43353862605580684,0.0033048959423021313,0.002034883182763604,0.0028732359126091237,0.0064239746816823415,0.0033189639385639994,0.004199369843218752,0.0011983390807199464,0.010184215955445575,0.11695017123180959,0.17094879003344485,0.03279333561658859,0.43352956771850587,132.42061252904296,5.381559350451522,132.4501636547174,139.66764132013395,0.0746548646355633,0.054223805376067524,0.06839602004787933,0.14862437185072605,0.23928657840837894,0.27033241310817285,0.10793068579947776,0.6389448372791214,-0.7553438539114503,1.911604190566441,0.26676072421599395,0.9441452681422673,136,89
wrong_direction,225,0.48531276127535206,0.4408392200298251,0.605651650470123,0.9753652031128934,0.5414115427381392,0.45616321353261446,0.8739986991136383,0.983561569029545,0.5332996169409577,0.45037039869552875,0.8308402178939427,0.9772411580149286,0.006758086085021304,0.0027057465240065202,0.006874424072212233,0.010111638078432897,0.008145185494088653,0.008984007768324968,0.0027847209194055006,0.022739104724798214,0.5322791449228923,0.45135445062234325,0.8308196663856506,0.9770534992218017,183.62458209881856,16.34366468435582,180.85070988090146,207.9457409164676,-0.4969560028771796,0.10334120960884792,-0.4788458189849209,-0.3839792380561624,-0.11505069852487629,0.1605224329684669,-0.039165125640235665,-0.001117823968486618,-0.43562544622727617,0.5584014556657683,-0.31790739867779505,-0.04690521832043321,7,218
