planner_phase,method,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_std,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_std,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_l2_mean,gap_to_sim_first_l2_std,gap_to_sim_first_l2_p50,gap_to_sim_first_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_std,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_std,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_std,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,shift_norm_mean,shift_norm_std,shift_norm_p50,shift_norm_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_std,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_mean,action_gap_reduction_std,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_std,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,improved_count,worsened_count
alignment,global_mean,85,0.19813270719492362,0.18641615830046682,0.12285094732882573,0.515141334997379,0.35471181847193894,0.2716517154686038,0.2852677850196143,0.7673132316327679,0.12693874807249847,0.14394563813945468,0.05258923683856318,0.3846569281231968,0.0032785454420061126,0.0020428070664084115,0.002674608992172856,0.0069510189522742115,0.006329347541631924,0.00446253978097157,0.005994373578138266,0.012790944275702392,0.12642896820188446,0.1441340059752367,0.05188855156302452,0.3843813300132753,127.54050160513091,2.6244967122911764,128.49256147802745,129.8240054050872,0.08681282455840549,0.03177632451377627,0.09483061224539824,0.12105826661684564,0.5147546779966435,0.1620303692243752,0.564745949829591,0.6851892370734183,0.7395077324734293,0.21796077754579704,0.8003347444818568,0.9697713473276431,85,0
alignment,no_correction,85,0.7128545411426112,0.17261845940014212,0.7546514743794472,0.8881977277763865,0.8437704004538498,0.1344842535396747,0.9009115820378065,0.9431701499273948,0.5316149679711699,0.2221677990969888,0.5393129284867108,0.8388760410413192,0.004871162011498619,0.0017483924022340357,0.004734025993673953,0.007607973551282124,0.01238528940352791,0.004981923377762192,0.01139308105893973,0.01900469944199979,0.5314152508974075,0.22218423929421222,0.5392354726791382,0.8387516379356384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.284404895596396e-05,0.0005145748386713136,1.3097682050045023e-05,0.0007065472981446333,9.933110373859526e-05,0.0009865852559198017,1.5472882115504665e-05,0.0010059914244106285,45,40
alignment,phase,85,0.09543612637572671,0.10903818105678943,0.03311215780637405,0.2747113006047696,0.18537813697425498,0.19985774107510587,0.06981502328869157,0.5248006092311948,0.023139405923926885,0.02564475759444598,0.009810369136129213,0.06755337556466474,0.001616746140645861,0.0010027964544953964,0.0013721854332989641,0.0029129011968409254,0.004507371611040772,0.002539805806338346,0.00387178331798109,0.008262415315396216,0.02191236020093236,0.02612561363544184,0.00877292500808835,0.06704334244132044,166.96031527885484,4.3978762697288305,169.3406004839739,170.76791050622532,0.167458314572997,0.07541482646466828,0.176980267774959,0.24475501363459967,0.6174512588158404,0.19181030830529172,0.6947012075033298,0.7884003626639606,0.8529472027939176,0.18621872741094161,0.949875839396126,0.9843186528697822,85,0
alignment,progress,85,0.08619791275905295,0.1062603949112184,0.030398673288556655,0.26977959698209997,0.16478416732653123,0.18500081025451612,0.06188657890336235,0.4597375126933316,0.02106271073518235,0.02480086885924583,0.010096828744712757,0.05377467234697063,0.001704683251454493,0.0010558052507890533,0.0013600538751943928,0.003161786934475105,0.003593005367099912,0.0022535913142955775,0.0033014458318913927,0.0064730248436509945,0.020054476008312228,0.025189875756427307,0.009411673992872238,0.05349535346031191,184.47837110756473,10.98755228363252,182.36253337114994,199.49563134770474,0.2012514392303863,0.07626706934336736,0.1983828123539612,0.29855612783534574,0.6266894724325143,0.1980639527110359,0.7114094110196157,0.8036371213224679,0.8638290729180932,0.18263724057563735,0.9518059839975901,0.9852323451470675,85,0
alignment,progress_phase,85,0.07725601351585792,0.10712325146512419,0.02764228625596108,0.21431176096514015,0.14448567930301856,0.17285277854580838,0.058346504849603305,0.4299306447349696,0.023696981867438658,0.04232345823288105,0.010039610865161575,0.04671563279243025,0.0016982420918331656,0.001087818792069243,0.0013811765691289165,0.0030256633534906287,0.0036155244707831596,0.0024096196762869054,0.003197166770128242,0.006952923140719248,0.022618988419280332,0.04264103386638944,0.008793323300778866,0.04668162986636166,199.61865018872888,10.558860599002678,197.9144553453936,213.41817781525597,0.1803741708903747,0.08296995156216977,0.19188345517500813,0.2839078529257739,0.6356313716757094,0.19101531519837558,0.7101884408300262,0.8180207275443413,0.8815047333664797,0.1636492706893053,0.9518166343425645,0.9856348385364649,85,0
alignment,random_matched_norm,85,0.7077061957350571,0.17377487213994508,0.7519359862336098,0.8861616826253468,0.8399922079774584,0.13953043356214687,0.8974177258470457,0.9407769707480428,0.5246573671579771,0.22152537295889999,0.5377267163372197,0.8271611290734964,0.00481851457720946,0.0017295623273196343,0.004734107215411172,0.0076517686278575634,0.01238118965305511,0.005030327941565516,0.011618032596184968,0.018906534783251914,0.5244535235797658,0.22154579178465292,0.5375608205795288,0.8270860314369202,184.47837110756473,10.987552283632517,182.3625333711499,199.49563134770474,-0.21878498260159623,0.060798333481083176,-0.21103923223382254,-0.1512401823482541,0.005181189456510118,0.006834657800905327,0.0045231100930450685,0.014111879909709637,0.008481183621754856,0.012873913609866745,0.0058159104421633715,0.026729260363543426,69,16
alignment,shuffled_progress,85,0.2077802124192697,0.19350870636645456,0.12306592598075476,0.4938125278662916,0.36438511383392247,0.2760438628470088,0.31457149429855047,0.7577208538155407,0.13154799901709277,0.16319629475387282,0.05662404679928649,0.4498064865633624,0.003218113372171929,0.0023582388418208725,0.0022508416281142546,0.007453043734412495,0.0064261726446545745,0.004642409361949963,0.005345269437084916,0.013358518360291437,0.13092166685554035,0.1634584308345912,0.056598491966724396,0.44965254068374644,132.74402237496028,4.510338233087886,132.3707144589561,139.556096757435,0.07953522957370925,0.05177875998940039,0.06836262117581536,0.1581837065974388,0.5051071727722976,0.16838360576844705,0.5550172858650958,0.6957852444912929,0.7251276830389064,0.22761419382787598,0.7853494195800139,0.9771087385276601,85,0
alignment,wrong_direction,85,0.9313179231294836,0.08646086475602319,0.9654629026680427,0.9789138249010603,0.9703337759008032,0.025020220626361445,0.9791614868955569,0.9865492120775241,0.9601273423465283,0.02698224995577445,0.9673113524845836,0.9823897941222061,0.009005114082762665,0.0014091322655298154,0.008987476735553947,0.011153076656633275,0.016929674457178988,0.005988354091801844,0.017023219161326247,0.024293183097554343,0.9599176420884974,0.026928121843205248,0.9670398235321045,0.9821325778961182,184.47837110756473,10.98755228363252,182.36253337114994,199.49563134770474,-0.5238737433219196,0.10606783060088114,-0.5058904385783218,-0.41056361745836184,-0.21843053793791653,0.1528804227774205,-0.1737915131505402,-0.05470539679423934,-0.4219207575212873,0.5556890308326577,-0.26546536241275615,-0.06497891608245923,0,85
descent_to_grasp,global_mean,40,0.23407448284890803,0.17492593180263913,0.17864970560951565,0.4829814324613556,0.397066017412696,0.20439556707995066,0.3592848568120144,0.7344066434278881,0.287180074222268,0.22801464413207956,0.3067768641739143,0.5884205420570972,0.0035082954679402567,0.0025842666600271818,0.00233826310569921,0.007103456330665264,0.0018118733715116124,0.001849906176439469,0.0008580619946434841,0.00429372016678662,0.2869331891764887,0.22826897798158882,0.3067696690559387,0.5883961319923402,127.47371672121031,2.6869232781029093,128.49256147802745,129.8240054050872,0.08056220472310469,0.04107523724030242,0.0905078626675036,0.12803898525165158,0.1537909404164882,0.14440222475836992,0.07936731097240392,0.3613473138335269,0.34613458475416004,0.28796585814892356,0.2802319724909238,0.7354998582933469,39,1
descent_to_grasp,no_correction,40,0.3877068062587664,0.2367623018815788,0.35255064963388283,0.7475520024887999,0.5836632267351161,0.2324525378298941,0.5769877331547729,0.885868515930277,0.5246245148596866,0.2594110647434705,0.49677091095671405,0.8590407540316454,0.004033970074662038,0.0026396850255615695,0.003471032093612589,0.007930103603464009,0.0024020302284351504,0.0026462757863365766,0.001157885195436951,0.005636379261897723,0.5245957214385271,0.25939988005999676,0.49676403403282166,0.8589899837970734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001586170066297795,0.0005158760894597023,0.00026209893093530334,0.0008106237866081584,0.000500329791279875,0.001909938225164369,0.0006460491655761076,0.002755315967101144,25,15
