heldout_episode,method,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_std,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_std,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_l2_mean,gap_to_sim_first_l2_std,gap_to_sim_first_l2_p50,gap_to_sim_first_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_std,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_std,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_std,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,shift_norm_mean,shift_norm_std,shift_norm_p50,shift_norm_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_std,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_mean,action_gap_reduction_std,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_std,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,improved_count,worsened_count
episode_000001,global_mean,46,0.06069568527108072,0.06444339219429689,0.03436704556271279,0.17155345199214342,0.12388115916384267,0.12241127275987584,0.07478071468737083,0.34217520769243714,0.047801284577232865,0.06812206689670111,0.02034389470012007,0.1055213746712137,0.0028501054639070004,0.001767932918449075,0.0024048790495476294,0.00567293061027745,0.00174718860147526,0.0019797928411480785,0.0007701835384357766,0.0036911739669302068,0.04733613332854989,0.06831287105188491,0.020204201340675354,0.10541150718927383,128.49256147802748,2.842170943040401e-14,128.49256147802745,128.49256147802745,0.07996304800354172,0.0369414806553803,0.08999945943675305,0.1265667702758273,0.25508396267042427,0.26919265042025264,0.24971059007699808,0.6429222215532064,-0.6153298567072613,1.8111421985449339,0.5800688549290366,0.9647313288488555,28,18
episode_000001,no_correction,46,0.3157841017628767,0.29248650686857225,0.41578369461008097,0.7124799461945037,0.4254966986383477,0.3633303358278287,0.6122023672184554,0.8741044501656382,0.26081377151957313,0.2450259997141932,0.19511138189405478,0.6085356111002684,0.003958902143347159,0.0011545934106007732,0.0040714658384073624,0.005302733290243212,0.004934547133728439,0.004826120792925178,0.0028871622169628483,0.01082255768574953,0.2600050306190615,0.24575251944494392,0.19497518241405487,0.6084722578525543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.453821371684712e-06,0.00045484517658804735,-5.628912832318124e-06,0.0005621228668258454,-0.003303650186998821,0.02443967782099984,-0.00011604272339542194,0.006129886499271079,22,24
episode_000001,phase,46,0.06740092899416447,0.10776740263667123,0.018203208104109435,0.2583491042544937,0.12804297926965055,0.19540075555850106,0.029112796974823198,0.4750035376408075,0.028126297776748146,0.038128436693273565,0.010449940935882628,0.0917965774344224,0.0015560775112169554,0.0006486083178470716,0.0014673826915784726,0.0024636917594507294,0.0021480343380631817,0.0023857767353526052,0.0009399544577362942,0.005795925432672857,0.027519333145945617,0.038397976019347586,0.009993836632929742,0.09176715416833758,183.8772241659794,20.876304594360004,170.76791050622532,214.25543590218638,0.1548444292970043,0.07388659842096529,0.18679720360546553,0.22511637834878692,0.24837871894734057,0.2780349355556524,0.10133918923222007,0.7043687370911247,0.6055622270232895,0.2903528348512912,0.5835295903027763,0.9755554656430321,46,0
episode_000001,progress,46,0.06755863415721712,0.10110252614142741,0.02011829725668938,0.24554898765328512,0.1186385434014876,0.1717685542788598,0.030726771807696944,0.43539001633733726,0.04328462956393155,0.08068520601445035,0.011312877339773793,0.10052391004680988,0.001733460488098725,0.0007771422472049752,0.001515169118251847,0.002936501898924927,0.0018497734087995303,0.002147263903892525,0.0007190634613627394,0.005729332624868807,0.04267835723610757,0.08093564239835997,0.009919116215314716,0.10051018232479692,184.7276666539881,15.771693709182117,182.89245074095527,207.30170243566755,0.17333293797423716,0.0667458285069886,0.1917571547331583,0.24569029650236804,0.24822101378428793,0.28114653243162846,0.09291927039779138,0.7045171904795338,0.529367468474572,0.364933858484367,0.46592844474361894,0.9681679324724761,44,2
episode_000001,progress_phase,46,0.0486422802957965,0.07524653425896421,0.018120134901586864,0.16692494027567595,0.08766315101489976,0.13085061024695688,0.02910078909634127,0.2723317689000876,0.026319164201108584,0.033386471789767024,0.01126649854130038,0.07848296284528994,0.001510908745635893,0.0006834045405613868,0.0014967067707190819,0.0024201559389285896,0.002094715809683044,0.002331075326502456,0.0006690647746847475,0.006091322059708047,0.025646158868608916,0.0337202877300155,0.0098543981439434,0.07847424689680338,209.68432193742916,25.328125724608206,208.8987667594681,257.00175902015445,0.14995116643890624,0.09017634035889209,0.16645328446074398,0.24444875902123564,0.26713736764570856,0.2753082155742873,0.18411868690148026,0.7043072804740543,0.6471740284107391,0.2707149539975769,0.6342255521200493,0.9680237015773342,46,0
episode_000001,random_matched_norm,46,0.31309901870444184,0.2906612728801686,0.4052544289172887,0.7078643020742024,0.4223756522479016,0.3610049502517225,0.6092983319254257,0.8722578874536258,0.2593289051744984,0.24474853547357434,0.194004317138741,0.6125212132102236,0.003964158708228321,0.0011909130961931845,0.004140505428091069,0.00538422500271247,0.004955282017250348,0.004857438976760336,0.002934130964158034,0.01112921731345745,0.2585336575689523,0.2454554790953606,0.19382723420858383,0.6124774217605591,184.7276666539881,15.771693709182115,182.89245074095527,207.30170243566755,-0.21655808695273926,0.05279664465569816,-0.204845835863701,-0.16048352882026665,0.002680629237063179,0.005280846921481099,0.0003560648867113334,0.00841834991806159,-0.01084245916246903,0.03979641809149312,0.0037509111876010237,0.028028057826218988,27,19
episode_000001,shuffled_progress,46,0.07093696009514182,0.0795544260525107,0.03077810086025698,0.221091119894736,0.1382060819257541,0.14158400897255308,0.08229265123878579,0.39097108689958127,0.049211941851862215,0.06811769723851524,0.023206130148419817,0.08849980965071297,0.0026841898529006486,0.0017055528332021314,0.0021444716761037,0.00516200668771959,0.002168761637645559,0.002320927194800925,0.0010486162932002467,0.005090320830387204,0.048707865259569626,0.06833136720457858,0.022956904023885727,0.08838647603988647,133.84450662742222,6.071915653696652,133.38616220969695,141.61348818652476,0.05853622559708526,0.043215924413939066,0.04839777585189274,0.11422558476666375,0.2448426878463632,0.26619875407999866,0.17521362149038225,0.652122176937639,-0.48859125807317766,1.583239149273671,0.4048013039707371,0.9561081912534124,28,18
episode_000001,wrong_direction,46,0.45356379658299045,0.42156776726297046,0.5513994128666897,0.9645899226710096,0.5241920195238056,0.44601575284011796,0.8475151440018257,0.9726528332969169,0.5195601542188256,0.44188181616391264,0.8475151440018257,0.9681315147720803,0.006740712194907727,0.002159166457937046,0.007234823232516635,0.009070503384945998,0.007665295036566233,0.00764641521468824,0.0038376186902309662,0.01909893847684735,0.5184362375217936,0.44301110292873397,0.8474906086921692,0.9679304659366608,184.7276666539881,15.771693709182117,182.89245074095527,207.30170243566755,-0.5061734263360254,0.096088789342679,-0.49596750322283195,-0.41056532390090417,-0.13778414864148547,0.1716736571476267,-0.09505141576579651,-0.0011858989344480913,-0.41244808534644367,0.3302964190867474,-0.3711612207915657,-0.08367952999630432,0,46
episode_000002,global_mean,47,0.08999316655963407,0.09914717171695415,0.0571335007160396,0.21632944516154345,0.19907773095997666,0.19719312269871764,0.14822573815866913,0.4883889098393211,0.07943750146434803,0.13794543344580915,0.0300137601599179,0.21006989703495366,0.002527369854869771,0.0012382972533043508,0.0025630643595215817,0.0038476221973601653,0.0026086401811355278,0.002964053329559971,0.0011252082364186196,0.007583835972600477,0.07910654029036139,0.13805036376820573,0.029499411582946777,0.2100304245948789,128.26931936768932,5.684341886080802e-14,128.26931936768926,128.26931936768926,0.07966925446413219,0.03886149853862718,0.09090911217017289,0.11757882090750284,0.2540106349884036,0.3026142159561815,0.03252932485535115,0.666669167739474,-0.5670411669285274,1.6051970967754787,0.16059458960307144,0.9209848398591243,28,19
episode_000002,no_correction,47,0.34393092565943306,0.33748094947331697,0.2083777077381957,0.7896047975024482,0.4427180831861825,0.3952238106323771,0.3968227504753555,0.9163571537947841,0.25587339502393025,0.2507241705205204,0.23232852805532456,0.5834282215366525,0.003425057892823638,0.0014205941387604483,0.0031880470060273673,0.005325237173019837,0.004677044791451726,0.005570616395708347,0.0011637808821633206,0.014618564141498432,0.25504696178943553,0.251432288344134,0.2321602702140808,0.5833364486694336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.287588860454607e-05,0.00042152674969287394,-5.4075010818999125e-05,0.000764981537539644,-0.010631562614453421,0.03009387514313181,-0.00010756469608209976,0.0038211326267459703,20,27
