condition,planner_phase,count,action_chunk_mean_l2_mean,action_chunk_mean_l2_median,translation_l2_mean,translation_l2_median,rotation_l2_mean,rotation_l2_median,gripper_gap_mean,gripper_gap_median,hidden_l2_mean,hidden_l2_median,vision_pooled_l2_mean,vision_pooled_l2_median,projector_pooled_l2_mean,projector_pooled_l2_median
P2_center_crop_square_resize_224,descent_to_grasp,40,0.17999733527690187,0.16552583488935496,0.002400049310342777,0.002306278906505182,0.0012282712646353108,0.0008457558941280777,0.2237335205078125,0.2239990234375,269.5656173852393,270.2514106414641,91.21933209979069,91.42697069178624,11.65472644627138,11.549389584082277
P2_center_crop_square_resize_224,grasp_close,50,0.017074143530611128,0.013653957248893508,0.0004988333077900843,0.0003743743141038518,0.00027979536860746107,0.00028544083227898724,0.0690625,0.052734375,236.17502824760072,236.2337028646378,91.36821536500202,91.45346461646525,11.905833185549902,11.991514801705264
P2_center_crop_square_resize_224,hold,10,0.17679229136084298,0.1285594306329197,0.0018100707753395107,0.00121209621703139,0.005175111783102863,0.00399829960265377,0.044207763671875,0.01800537109375,224.16672413692172,221.88821907161338,72.06096344051056,72.34034759959283,7.5674084432930515,7.664256870262021
P2_center_crop_square_resize_224,lift,40,0.014296467746846486,0.010978142419261719,0.0008993215193862421,0.000777495236048711,0.0002761791598791461,0.00024086724624046074,0.05439453125,0.044921875,244.7365479275464,243.79194238746163,89.98857437432565,89.4737730062638,11.48212736122582,11.594894769928507
P3_center_crop_0p875_resize_224,alignment,85,0.356403308955238,0.3665337692765783,0.00283536842784908,0.002754204806033848,0.006504260052481856,0.0066306720047595484,0.14646750057444852,0.09912109375,259.5061416926218,259.4722050277292,81.23825918743306,82.22043067415052,9.882902414454897,9.640035804730566
P3_center_crop_0p875_resize_224,descent_to_grasp,40,0.18785808126695197,0.18188859301013588,0.0021272646504343668,0.0019307596343290517,0.0016370540221157775,0.001033316424378305,0.24802398681640625,0.2432861328125,266.744202701006,263.01336916606033,93.89556432921665,94.33256741454457,12.447149411494774,12.465843980871977
P3_center_crop_0p875_resize_224,grasp_close,50,0.012950914488891825,0.009682356881794498,0.0005418044215407583,0.000507335349902636,0.00030503340591490696,0.0002939714997103419,0.037421875,0.01953125,247.88265344805063,244.40177709153798,95.6007420876351,95.18969602206492,13.307764481035818,13.606958279177576
P3_center_crop_0p875_resize_224,hold,10,0.1670064728379041,0.08284301495663131,0.0017708084866640897,0.0017229744538370042,0.005882474895900507,0.005744560525195529,0.028753662109375,0.013214111328125,246.42052326449516,249.6149175772451,68.40447346187268,68.49293568818487,7.648046916295786,7.536835941668453
P3_center_crop_0p875_resize_224,lift,40,0.012251012590486495,0.009845185753571035,0.0005151160318043523,0.0005024465871595746,0.00032591318608621734,0.0003444899116489867,0.03369140625,0.0234375,253.97715120317775,258.48625819796735,92.95257233514194,91.95430720984461,12.90753616191274,12.719168594725701
P4_letterbox_224,alignment,85,0.05630341594333472,0.02404186388644211,0.0013818998480252362,0.001187671483946387,0.0034692641657778724,0.0031757793422928808,0.02156641343060662,0.0146484375,167.4918237009058,169.5043668554353,53.67636433820151,52.78869798151672,5.7983582047970215,5.554911461652652
