condition,pair_id,vision_gap,projector_gap,hidden_gap,action_gap,chunk_max_l2,first_action_l2,translation_gap,rotation_gap,gripper_gap,sensitive_energy,null_energy,sensitive_ratio
K0_P4_letterbox,episode_000001_000000,52.82290367082728,5.278580450540193,185.229536499003,0.016392271282666317,0.04820077357627904,0.009060494415049795,0.0010948320000217187,0.004456315258919297,0.0078125,21.303913312013293,184.00033823129158,0.11501358646507201
K0_P4_letterbox,episode_000001_000001,52.76206020040546,5.289222076848087,183.26623575774542,0.016289671777494803,0.04810155590952863,0.009367596866811299,0.0011442087363944442,0.0045327692790565356,0.00811767578125,21.39400590123672,182.01321292782941,0.11673730195188199
K0_P4_letterbox,episode_000001_000002,52.32330182086089,5.319480069597359,196.04594451363806,0.017135568584817622,0.051206182350386785,0.008756605162202823,0.001028431384907645,0.0038190714320701156,0.0078125,23.205713160662963,194.66768411051046,0.11836874880647502
K0_P4_letterbox,episode_000001_000003,52.95951860709584,5.3180161494128235,184.24296193634373,0.01569298101044283,0.047769508965337236,0.008985909644003094,0.0011081153809145245,0.004299243675667673,0.0078125,20.999949277581976,183.04226603005108,0.11397965521655853
K0_P4_letterbox,episode_000001_000004,51.33017967952922,5.257741159856845,159.13477620239732,0.010597009600521356,0.030871283065089405,0.009466957382801577,0.0010196067287944342,0.0036697316834058014,0.0086669921875,16.67349460185345,158.25887518477137,0.10477593270151761
K0_P4_letterbox,episode_000001_000005,51.07551680333794,5.155044109814598,158.97991075426296,0.014380305438651125,0.04380361153788267,0.007367705340729208,0.0004911523256143169,0.0021851515241956415,0.00701904296875,14.112650077175369,158.35228173674233,0.08877002138332718
K0_P4_letterbox,episode_000001_000006,54.77815475815429,5.2579846029795805,155.98354325909838,0.01493877525861224,0.04180317318022747,0.009744426885683373,0.000536767951513698,0.0034584050631040575,0.00909423828125,15.304278246902234,155.23094032764348,0.09811469804529875
K0_P4_letterbox,episode_000001_000007,52.41034776343295,5.287470308616838,168.42997558019283,0.01687864410144403,0.04403453278422074,0.01607952202053544,0.0008553790599841034,0.003430401747538303,0.01568603515625,16.530119068588117,167.61686024240717,0.0981423823855974
K0_P4_letterbox,episode_000001_000008,53.48307188529349,5.272400552731095,203.47723071994244,0.028294184385760902,0.09064884281194334,0.013487542086910704,0.0012103130375624549,0.0013342735449532182,0.01336669921875,25.95908953383558,201.81454132948645,0.12757736795408126
K0_P4_letterbox,episode_000001_000009,53.015968718056754,5.128120107835059,170.46701327674876,0.009540033770914825,0.017693231972686265,0.01295223390954011,0.0016893658179674463,0.0046685816127396765,0.011962890625,15.109604420229795,169.79606140826533,0.08863652931901696
K0_P4_letterbox,episode_000001_000010,56.99908493827057,5.904873751840822,168.30429289630987,0.012427837513174788,0.020543081359022664,0.014632485223830944,0.0009363104548249174,0.0019967763478940825,0.01446533203125,14.851933434668998,167.64771122976603,0.08824453125398937
K0_P4_letterbox,episode_000001_000011,51.0084416084892,5.166829627550859,168.04377453615797,0.027279198407522475,0.05047066376743367,0.0038806930769705065,0.0013102853503225327,0.002007412591427629,0.0030517578125,13.792815247692984,167.47676975599362,0.08207870411007213
K0_P4_letterbox,episode_000001_000012,50.2249643745288,5.69523751235187,168.78914495770738,0.023891350787918996,0.07038283316812584,0.01156247858814139,0.0010896641979966453,0.0030177851465238562,0.0111083984375,15.432865189145472,168.08212911433392,0.09143280625666067
K0_P4_letterbox,episode_000001_000013,49.59984872298947,5.581522532071268,182.64176793362486,0.03162489419637709,0.06894329049251753,0.014995367287881048,0.0018993982911948788,0.005714936996172799,0.01373291015625,23.533755478836124,181.11923626987397,0.12885199122354474
K0_P4_letterbox,episode_000001_000014,52.68606399359536,5.798903220395501,193.01424741128767,0.04748018407905972,0.09962876828281084,0.018131447216454332,0.0015859274831610997,0.005475785467523234,0.0172119140625,20.882243687810313,191.88129560305944,0.10819016713990565
K0_P4_letterbox,episode_000001_000015,50.61969886158213,5.753024577993692,174.5373423610849,0.04565312285105615,0.08826344056452881,0.0027281945385630303,0.0008328138357515814,0.002597973547830286,0.0,16.211119386594543,173.78286304093433,0.09288052153937802
K0_P4_letterbox,episode_000001_000016,52.8703816208597,6.182835364513647,177.78381418899662,0.04145915030396591,0.08789418556947451,0.012085671074501146,0.0007182185749488556,0.001561043014756236,0.011962890625,16.428144553087325,177.02316417387456,0.09240517551065172
K0_P4_letterbox,episode_000001_000017,54.6862594284638,5.629326533121825,171.04165097198242,0.01878109586984219,0.04536250050461601,0.04536250050461601,0.0011151208502657693,0.002345683192207524,0.0452880859375,14.072330597006179,170.4617724851822,0.08227429118601823
K0_P4_letterbox,episode_000001_000018,55.983673580802176,5.52353902597907,181.1486207567194,0.13458540497100738,0.18945586024778546,0.06305380593145334,0.0014709809686907476,0.002468822108218303,0.06298828125,15.646816883368556,180.47160420265587,0.08637557834007502
K0_P4_letterbox,episode_000001_000019,56.72465554243622,5.505139577661485,184.60886206945028,0.13016931442766613,0.1835951170389401,0.061478405740629065,0.0016351162105478834,0.0026063144271585956,0.0614013671875,15.339041279173644,183.9705024377906,0.08308940918233416
K0_P4_letterbox,episode_000001_000020,56.672366602144855,5.475225960824828,185.46975285357362,0.1270933704961436,0.1816433985886818,0.06025196620774368,0.0018054535884056962,0.002308125264304435,0.0601806640625,16.267113775106854,184.7550005628898,0.08770763709352417
K0_P4_letterbox,episode_000001_000021,57.600214247748085,5.4399904561308725,184.16468396163594,0.14648190731209854,0.22461069257603375,0.06101468586367983,0.0015168258838549882,0.0031760182386658393,0.0609130859375,14.90633056628702,183.56043181398823,0.08094022287895444
K0_P4_letterbox,episode_000001_000022,61.41650351073482,5.803967988574639,182.82027552911626,0.15929953736979127,0.21094174056531964,0.08749092218712626,0.0014033529037066961,0.0036772779046839003,0.08740234375,19.222002867119365,181.8069518756597,0.10514152662491769
K0_P4_letterbox,episode_000001_000023,64.25052497709684,6.3750315960218344,195.48564929469012,0.18292125310347718,0.27344148883343183,0.11377552558519306,0.0010109982783924492,0.0005846912204592166,0.11376953125,22.778668940521605,194.15398868286147,0.1165234840649775
K0_P4_letterbox,episode_000001_000024,69.89442141040985,7.492412875348345,195.6508209518626,0.25834706131363794,0.404305540499015,0.31299779362215224,0.001707462965787536,0.001743325192490401,0.31298828125,37.007461725824626,192.11895147472939,0.18915055682250287
K0_P4_letterbox,episode_000001_000025,77.48947139939628,8.860974908949204,196.87133091528105,0.2597003214827528,0.43555286549438177,0.34668622789531767,0.0016346684159070607,0.0013648246614488258,0.3466796875,38.56913005186313,193.05632116922916,0.19591034343370414
K0_P4_letterbox,episode_000001_000026,75.18723200068956,8.488939647529728,201.5151355494941,0.28584488777459344,0.45898909429941154,0.4423872184402623,0.0016710201404605651,0.0010516347238393967,0.4423828125,40.22878680403604,197.45884271869517,0.19963158943043988
K0_P4_letterbox,episode_000001_000027,75.38631190493106,8.936852572304062,204.22849423159587,0.28466622573653,0.4570355959027108,0.4228555466523279,0.001617524137897214,0.0008677797018649938,0.4228515625,40.35903424250927,200.20096456090556,0.1976170582580018
K0_P4_letterbox,episode_000001_000028,73.21153529330458,8.437248913646686,179.33057129909818,0.05159668190327319,0.19531995197412796,0.19531995197412796,0.0016484380643452773,0.0004400396273835682,0.1953125,16.670929439921473,178.55400839541545,0.09296200485591888
K0_P4_letterbox,episode_000001_000029,71.76495589078557,8.178850815568818,180.29451150522203,0.04457602554996115,0.171881326366279,0.171881326366279,0.0014075132531010442,0.0004400396273835682,0.171875,16.67239651903283,179.52198214485819,0.09247312289120865
K0_P4_letterbox,episode_000001_000030,70.25527797614407,7.808813432711444,180.74603912302547,0.040658215357810515,0.14844486677990432,0.14844486677990432,0.0014475522851496528,0.0003027530929681726,0.1484375,16.517597146539003,179.98972093752158,0.09138566591379764
K0_P4_letterbox,episode_000001_000031,72.0408248990864,7.930830460066037,190.16729521186107,0.014897907292356813,0.04298408326671118,0.04298408326671118,0.001067349989643239,0.00042273125821123655,0.04296875,16.72019199796024,189.43081942425962,0.08792359369329333
K0_P4_letterbox,episode_000001_000032,72.58940055670269,7.998069667604965,187.23227415012352,0.012548862730985563,0.03517489576245108,0.03517489576245108,0.0010598136956364763,0.0004337888511018122,0.03515625,16.556282530241333,186.4988310746366,0.08842643505449517
K0_P4_letterbox,episode_000001_000033,73.74110132395623,8.122456033192304,187.807401668386,0.011013874464099857,0.03126984997926362,0.03126984997926362,0.0010183613670304817,0.0004516169303652398,0.03125,16.705578534582607,187.0629406570296,0.08895058653801018
K0_P4_letterbox,episode_000001_000034,73.93267958627278,8.250425682439765,188.56272664213222,0.014168937245779199,0.046890173293808346,0.046890173293808346,0.001155454902806451,0.0002960582560207692,0.046875,16.44908013785986,187.8438970031599,0.08723399597990592
K0_P4_letterbox,episode_000001_000035,73.51227198706229,8.093194713202516,188.8399972311816,0.014311703341039992,0.042985862163892,0.042985862163892,0.0011720699078946579,0.0003116432922901347,0.04296875,16.88792890343074,188.0833390059453,0.08942983028513928
K0_P4_letterbox,episode_000001_000036,72.20499929613045,8.014308603248772,184.45465974421737,0.009504355174976708,0.027367666192036764,0.027367666192036764,0.0010584497951777276,0.0004337888511018121,0.02734375,16.238911852242026,183.73845336023192,0.08803741729680599
K0_P4_letterbox,episode_000001_000037,73.25515638822297,8.161609299606747,186.12295835886553,0.011167856186941098,0.03126665643109394,0.03126665643109394,0.0009765520411684164,0.0002960582560207692,0.03125,16.50022621586596,185.39012423287613,0.08865228858038948
K0_P4_letterbox,episode_000001_000038,72.59502999943865,8.08582016550288,187.75906212514684,0.011765728197725462,0.031269871393790644,0.031269871393790644,0.0010276209996761764,0.0004316851459466923,0.03125,16.566075018576708,187.02681777914535,0.08823049514134737
K0_P4_letterbox,episode_000001_000039,72.28001646990431,7.653085456637269,184.29879768270558,0.00891116807118809,0.01954749736102744,0.01954749736102744,0.0005455920658675693,0.000580737302519065,0.01953125,16.175468984290173,183.587584085714,0.08776763162686689
K0_P4_letterbox,episode_000001_000040,75.71879729478502,8.055712668595449,187.867679605949,0.01921594843187091,0.05471258935776655,0.05471258935776655,0.0015853261195213522,0.0004811642924754204,0.0546875,16.80428716652561,187.11461988136696,0.08944746218068203
K0_P4_letterbox,episode_000001_000041,71.48798780116465,6.934680590061288,214.12790992085112,0.12819043206823022,0.33596845072936654,0.33596845072936654,0.0044779925131051565,0.0008623005818013512,0.3359375,36.66196848227006,210.9660206622791,0.17121527266492984
K0_P4_letterbox,episode_000001_000042,65.11718957115406,5.867750553130525,210.17557276279095,0.21534266225772072,0.5176121581872866,0.5176121581872866,0.005617716321149762,0.0019162693234461051,0.517578125,49.01164988999584,204.38108904991114,0.23319384477334826
K0_P4_letterbox,episode_000001_000043,63.945739198907155,5.453067394499585,214.1474601658241,0.1989558863612212,0.5019914343678439,0.5019914343678439,0.005933958792812238,0.0018023913184664448,0.501953125,48.83160092171276,208.50565806926153,0.22802792470151287
K0_P4_letterbox,episode_000001_000044,63.68142340611485,5.5545682004458525,233.1151842665163,0.26222001408563306,0.6230800843757716,0.6230800843757716,0.006140980830826684,0.0019161035693342106,0.623046875,63.90041773444632,224.18614084946267,0.27411521019321566
K0_P4_letterbox,episode_000001_000045,63.582911570582965,5.492720652782349,237.5602037155678,0.2680799018315353,0.6406585074809036,0.6406585074809036,0.006271747467238256,0.0018967778905832182,0.640625,65.56450159133392,228.33341087204485,0.275991098533636
K0_P4_letterbox,episode_000002_000000,49.682282894263686,5.342056282950142,139.0909397363184,0.03279616335609596,0.041915305582296516,0.02457340160624253,0.0017718674828819006,0.005584482608588985,0.02386474609375,16.535045626391764,138.1046044955247,0.11887938680792631
K0_P4_letterbox,episode_000002_000001,50.07495919249254,5.368513276703587,138.70588566999427,0.03528014145323251,0.04350143198407602,0.026073039860229102,0.0017377171234794805,0.005665678146633179,0.025390625,16.84213326156056,137.67957461692478,0.12142334970291714
K0_P4_letterbox,episode_000002_000002,50.40506234602825,5.370337676114904,136.0931130872946,0.0297846166394448,0.039476419635134145,0.02318856299863748,0.0016284071541473085,0.00527432381952687,0.02252197265625,16.023665846645663,135.1465040710495,0.1177404608003019
K0_P4_letterbox,episode_000002_000003,50.858194266356875,5.436825396401674,138.61032891994773,0.030586317711515338,0.04093262744280559,0.023418573172314393,0.001566955263631442,0.004989540544094465,0.0228271484375,16.242639525921067,137.65536656638957,0.11718202858678559
K0_P4_letterbox,episode_000002_000004,52.58791642767043,5.568061755969344,136.633549863717,0.043151882146281094,0.0526310242816502,0.02715979807216568,0.0016298936154619012,0.005180279292342741,0.026611328125,16.774358766602475,135.59995514870258,0.12276895962473197
K0_P4_letterbox,episode_000002_000005,49.87627918915895,5.365266970485376,129.37160400565264,0.025780101880051066,0.03418321702197803,0.015754506897778252,0.0008161635330204244,0.0026828223541526704,0.0155029296875,12.630251169121195,128.7535967590821,0.09762769246154929
K0_P4_letterbox,episode_000002_000006,51.458734246395636,5.272524707461642,126.86353754234099,0.01389390749477111,0.01673105867698122,0.014011580185171705,0.0007500371537981808,0.0023428393605149224,0.0137939453125,12.827730950692832,126.21333715742405,0.10111440370651455
K0_P4_letterbox,episode_000002_000007,50.22721044395833,5.110586586285475,128.48803346609586,0.028391993783148127,0.03455460818568177,0.021395984536733262,0.0011002699275001555,0.003629722111724031,0.02105712890625,12.69181522193997,127.85965966776503,0.09877818875085329
K0_P4_letterbox,episode_000002_000008,52.946840952237345,5.58807306526536,134.34858323788805,0.06683763567116817,0.10451295183485206,0.02455242685202931,0.0011730758220062044,0.004811069804943672,0.0240478515625,14.636214588791592,133.5489537231145,0.1089420836159885
K0_P4_letterbox,episode_000002_000009,46.35945030326278,4.721117745111893,114.58530528942158,0.011669287118153088,0.01758823509420503,0.009247657149383666,0.000654301358963341,0.0018687679863203443,0.009033203125,8.176832223799677,114.29318266219458,0.07136021676729394
K0_P4_letterbox,episode_000002_000010,49.926670359230755,5.369120817947672,139.27572169385226,0.062122106696138844,0.08961057256246331,0.02209827752935083,0.00037181273321868933,0.0016468357749858096,0.02203369140625,13.87224184641027,138.58314312894657,0.09960272815461277
K0_P4_letterbox,episode_000002_000011,50.465804760433194,5.578139012381916,163.7846286608052,0.17652077389657247,0.30842870874459255,0.03829729456058494,0.0011746376143119493,0.005355214388435017,0.03790283203125,22.307347333102815,162.25839528516903,0.1361992728835433
K0_P4_letterbox,episode_000002_000012,47.002618903753564,4.882210608009467,150.34055347019427,0.12524873081635055,0.22023667132480695,0.019724193956360617,0.00027075416371968164,0.001648490250270261,0.0196533203125,18.07312026442568,149.25027417606958,0.1202145385743093
K0_P4_letterbox,episode_000002_000013,45.64471659483082,4.860256964558236,164.24724935546112,0.10330649763280231,0.19239071562431986,0.01942280554920689,0.0015995455345453667,0.004084902912313579,0.0189208984375,20.642055086180786,162.94497378763822,0.1256767170664003
K0_P4_letterbox,episode_000002_000014,50.13554002207112,5.456013788718598,170.65231474394133,0.09424964240315417,0.14307419485718792,0.021799216881862097,0.0022479079523540727,0.005414500322413481,0.02099609375,24.736914730311305,168.84992619806064,0.14495504949597843
