fold_episode,selection_objective,selected_condition,train_selected_metric,test_action_gap,test_baseline_gap,test_action_reduction,test_action_reduction_pct,oracle_condition,oracle_action_gap,oracle_action_reduction_pct,matches_oracle,status
episode_000001,action_min,P4_letterbox_224,0.10687574473311934,0.08299352079910809,0.31606243687912,0.2330689160800119,73.74141589914733,P4_letterbox_224,0.08299352079910809,73.74141589914733,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000001,hidden_min,P4_letterbox_224,188.61440373999395,0.08299352079910809,0.31606243687912,0.2330689160800119,73.74141589914733,P4_letterbox_224,0.08299352079910809,73.74141589914733,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000001,vision_min,P4_letterbox_224,65.90260614675103,0.08299352079910809,0.31606243687912,0.2330689160800119,73.74141589914733,P4_letterbox_224,0.08299352079910809,73.74141589914733,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000001,observation_mse_min,P5_brightness_match_sim_to_real,0.02560304438766753,0.33411239168426393,0.31606243687912,-0.01804995480514393,-5.71088262919622,P4_letterbox_224,0.08299352079910809,73.74141589914733,False,VERIFIED_LOO_HELDOUT_SELECTION
episode_000001,observation_ssim_max,P4_letterbox_224,0.7960675012062898,0.08299352079910809,0.31606243687912,0.2330689160800119,73.74141589914733,P4_letterbox_224,0.08299352079910809,73.74141589914733,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000002,action_min,P4_letterbox_224,0.10485149493094521,0.0911679609846614,0.34423293156519946,0.25306497058053806,73.51561904024464,P4_letterbox_224,0.0911679609846614,73.51561904024464,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000002,hidden_min,P4_letterbox_224,191.5711231445044,0.0911679609846614,0.34423293156519946,0.25306497058053806,73.51561904024464,P4_letterbox_224,0.0911679609846614,73.51561904024464,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000002,vision_min,P4_letterbox_224,65.45038604230146,0.0911679609846614,0.34423293156519946,0.25306497058053806,73.51561904024464,P4_letterbox_224,0.0911679609846614,73.51561904024464,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000002,observation_mse_min,P5_brightness_match_sim_to_real,0.02691291947284427,0.3429331139943981,0.34423293156519946,0.001299817570801387,0.37759826315606154,P4_letterbox_224,0.0911679609846614,73.51561904024464,False,VERIFIED_LOO_HELDOUT_SELECTION
episode_000002,observation_ssim_max,P4_letterbox_224,0.7896572930742282,0.0911679609846614,0.34423293156519946,0.25306497058053806,73.51561904024464,P4_letterbox_224,0.0911679609846614,73.51561904024464,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000003,action_min,P4_letterbox_224,0.0920665955602584,0.14282741971774024,0.42472840558409075,0.2819009858663505,66.37205851082115,P4_letterbox_224,0.14282741971774024,66.37205851082115,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000003,hidden_min,P4_letterbox_224,188.0317626356225,0.14282741971774024,0.42472840558409075,0.2819009858663505,66.37205851082115,P4_letterbox_224,0.14282741971774024,66.37205851082115,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000003,vision_min,P4_letterbox_224,65.32403283983868,0.14282741971774024,0.42472840558409075,0.2819009858663505,66.37205851082115,P4_letterbox_224,0.14282741971774024,66.37205851082115,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000003,observation_mse_min,P5_brightness_match_sim_to_real,0.026819480637380783,0.43469677937442236,0.42472840558409075,-0.009968373790331608,-2.3469995553094694,P4_letterbox_224,0.14282741971774024,66.37205851082115,False,VERIFIED_LOO_HELDOUT_SELECTION
episode_000003,observation_ssim_max,P4_letterbox_224,0.80241100847843,0.14282741971774024,0.42472840558409075,0.2819009858663505,66.37205851082115,P4_letterbox_224,0.14282741971774024,66.37205851082115,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000004,action_min,P4_letterbox_224,0.10703571923443136,0.08182290670643758,0.33402165180044935,0.25219874509401174,75.5037117308431,P4_letterbox_224,0.08182290670643758,75.5037117308431,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000004,hidden_min,P4_letterbox_224,188.73422250310614,0.08182290670643758,0.33402165180044935,0.25219874509401174,75.5037117308431,P4_letterbox_224,0.08182290670643758,75.5037117308431,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000004,vision_min,P4_letterbox_224,64.63901835429827,0.08182290670643758,0.33402165180044935,0.25219874509401174,75.5037117308431,P4_letterbox_224,0.08182290670643758,75.5037117308431,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000004,observation_mse_min,P5_brightness_match_sim_to_real,0.027989214513675798,0.33634219852923203,0.33402165180044935,-0.0023205467287826798,-0.6947294333389552,P4_letterbox_224,0.08182290670643758,75.5037117308431,False,VERIFIED_LOO_HELDOUT_SELECTION
episode_000004,observation_ssim_max,P4_letterbox_224,0.8043009070780218,0.08182290670643758,0.33402165180044935,0.25219874509401174,75.5037117308431,P4_letterbox_224,0.08182290670643758,75.5037117308431,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000005,action_min,P4_letterbox_224,0.09928040325499075,0.11347504352509345,0.43857975394436555,0.3251047104192721,74.12670272520424,P4_letterbox_224,0.11347504352509345,74.12670272520424,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000005,hidden_min,P4_letterbox_224,185.59514144335267,0.11347504352509345,0.43857975394436555,0.3251047104192721,74.12670272520424,P4_letterbox_224,0.11347504352509345,74.12670272520424,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000005,vision_min,P4_letterbox_224,64.70844364302702,0.11347504352509345,0.43857975394436555,0.3251047104192721,74.12670272520424,P4_letterbox_224,0.11347504352509345,74.12670272520424,True,VERIFIED_LOO_HELDOUT_SELECTION
episode_000005,observation_mse_min,P5_brightness_match_sim_to_real,0.026125662433541162,0.44248324770345926,0.43857975394436555,-0.0039034937590937124,-0.8900305415349555,P4_letterbox_224,0.11347504352509345,74.12670272520424,False,VERIFIED_LOO_HELDOUT_SELECTION
episode_000005,observation_ssim_max,P4_letterbox_224,0.7970941097924822,0.11347504352509345,0.43857975394436555,0.3251047104192721,74.12670272520424,P4_letterbox_224,0.11347504352509345,74.12670272520424,True,VERIFIED_LOO_HELDOUT_SELECTION
