feature,frame,episode_id,progress,before_cosine_distance,after_cosine_distance,cosine_improvement,before_l2,after_l2,l2_improvement,shift_norm
vision_backbone.output,episode_000001_000000,episode_000001,0,0.07763140208763852,0.01474078726669903,0.0628906148209395,61.61603242517791,27.56246018256363,34.05357224261428,58.99285378989517
vision_backbone.output,episode_000001_000001,episode_000001,1,0.07865701928365121,0.015268822425829054,0.06338819685782215,61.947268147043026,28.04522793552082,33.902040211522205,58.61804759772657
vision_backbone.output,episode_000001_000002,episode_000001,2,0.08025906386519344,0.01592031242597125,0.06433875143922219,62.522821348469705,28.63306089779708,33.889760450672625,58.35670836424809
vision_backbone.output,episode_000001_000003,episode_000001,3,0.08120927550185242,0.016175075047528575,0.06503420045432384,62.75027945404383,28.907752018893706,33.84252743515012,58.063468279138654
vision_backbone.output,episode_000001_000004,episode_000001,4,0.08827322230801327,0.019051113472943748,0.06922210883506952,65.72756503374819,31.42403421148451,34.30353082226368,57.93533852246103
vision_backbone.output,episode_000001_000005,episode_000001,5,0.08899211811717889,0.016971011250377366,0.07202110686680152,66.64397582539878,29.960909293848914,36.68306653154987,58.02384513473352
vision_backbone.output,episode_000001_000006,episode_000001,6,0.09172280868298277,0.020834467124483336,0.07088834155849943,67.41679081722471,33.310313203242444,34.106477613982264,58.332991187533
vision_backbone.output,episode_000001_000007,episode_000001,7,0.09656842068330707,0.02224027554133634,0.07432814514197073,68.93248779682308,34.33888879671659,34.593599000106494,58.62309118923583
vision_backbone.output,episode_000001_000008,episode_000001,8,0.10015260611305732,0.028565665959679576,0.07158694015337774,69.22572047185074,38.760502180326604,30.46521829152413,58.674610089688095
vision_backbone.output,episode_000001_000009,episode_000001,9,0.10695517030030555,0.035016394601969814,0.07193877569833573,71.0642868407591,42.35556255416342,28.708724286595675,59.00727798061578
vision_backbone.output,episode_000001_000010,episode_000001,10,0.1129758943626138,0.04084580289541018,0.07213009146720362,72.49550876817914,45.651638124392115,26.84387064378702,59.49662006772546
vision_backbone.output,episode_000001_000011,episode_000001,11,0.09487380539856605,0.03629368292737656,0.05858012247118949,66.55878044999575,43.80871309916499,22.75006735083076,60.192331528267125
vision_backbone.output,episode_000001_000012,episode_000001,12,0.09345903890481888,0.03514116167032644,0.05831787723449244,65.36617957190519,42.49832966349895,22.867849908406242,61.393060979691825
vision_backbone.output,episode_000001_000013,episode_000001,13,0.09698339736123918,0.040109939524033855,0.05687345783720532,65.66822325744405,44.98972156510553,20.67850169233852,62.750746472919595
vision_backbone.output,episode_000001_000014,episode_000001,14,0.10136472560402576,0.05066392904058692,0.050700796563438844,66.72493297169444,50.92581363621531,15.799119335479133,64.13184838215567
vision_backbone.output,episode_000001_000015,episode_000001,15,0.09950039139067912,0.05532354877640888,0.04417684261427024,66.8361512932824,53.72177929107595,13.114372002206451,65.34102976883202
vision_backbone.output,episode_000001_000016,episode_000001,16,0.11170539812654157,0.05824625125597915,0.05345914687056241,71.24392785573019,54.46012043538412,16.783807420346072,66.7945543102705
vision_backbone.output,episode_000001_000017,episode_000001,17,0.10755088338929075,0.04744267542024316,0.06010820796904759,70.60518392608114,49.17243142803371,21.432752498047428,69.0700641353298
vision_backbone.output,episode_000001_000018,episode_000001,18,0.10390446145399324,0.04960628090709407,0.054298180546899166,69.43493569301647,50.77907306244431,18.65586263057216,71.34814115873313
vision_backbone.output,episode_000001_000019,episode_000001,19,0.10394105241557494,0.05506146634578979,0.04887958606978515,69.53059894514854,53.817609016373844,15.712989928774697,73.7998183382995
vision_backbone.output,episode_000001_000020,episode_000001,20,0.1037613153620166,0.06058190324626811,0.043179412115748494,69.507304253626,56.68561203126761,12.821692222358394,75.61906381887123
vision_backbone.output,episode_000001_000021,episode_000001,21,0.10253926894295784,0.06296744238780638,0.03957182655515146,68.983943745667,58.11159300981084,10.872350735856166,77.23044586117383
vision_backbone.output,episode_000001_000022,episode_000001,22,0.11276564958008406,0.07787459119747742,0.03489105838260664,72.70028330210572,65.12695474649378,7.573328555611937,78.81560507079274
vision_backbone.output,episode_000001_000023,episode_000001,23,0.13027871998955787,0.053522596754815854,0.07675612323474201,81.08670916700969,54.48340442616053,26.603304740849154,80.72654327496136
vision_backbone.output,episode_000001_000024,episode_000001,24,0.150146692761575,0.04686677464191302,0.10327991811966197,86.18039097570922,51.351776417379774,34.82861455832944,82.73690353231055
vision_backbone.output,episode_000001_000025,episode_000001,25,0.16624538745963413,0.04108489010501748,0.12516049735461665,92.44725673574519,47.88941932292074,44.55783741282445,84.99627178866042
vision_backbone.output,episode_000001_000026,episode_000001,26,0.1723092384613838,0.034266370059184204,0.1380428684021996,95.76575729408222,44.38912557588987,51.37663171819235,87.29116466194891
vision_backbone.output,episode_000001_000027,episode_000001,27,0.16410585916638953,0.03578935299138086,0.12831650617500867,94.23524003963385,46.046562794819664,48.18867724481419,89.19181022109746
vision_backbone.output,episode_000001_000028,episode_000001,28,0.15197393298779815,0.04820231809720432,0.10377161489059383,91.65135026642741,53.699486264547005,37.95186400188041,90.30027165030957
vision_backbone.output,episode_000001_000029,episode_000001,29,0.15059426926709807,0.048568206024695026,0.10202606324240304,91.45358609658823,54.17568048835371,37.27790560823451,91.40980881203467
vision_backbone.output,episode_000001_000030,episode_000001,30,0.15280247197554098,0.04219375237408962,0.11060871960145136,92.16102938254073,50.623422804397144,41.53760657814359,92.27718663300601
vision_backbone.output,episode_000001_000031,episode_000001,31,0.16813490466170222,0.03965797177852337,0.12847693288317885,96.634299637634,48.849367302384145,47.784932335249856,93.05804891399457
vision_backbone.output,episode_000001_000032,episode_000001,32,0.16415294325907936,0.03874018709265192,0.12541275616642744,95.06140859951455,48.155027095126485,46.906381504388065,93.66200243548731
vision_backbone.output,episode_000001_000033,episode_000001,33,0.16474978829475972,0.03765589143182757,0.12709389686293215,95.34292664968251,47.573078386954435,47.769848262728075,93.96097441071623
vision_backbone.output,episode_000001_000034,episode_000001,34,0.16521031991100255,0.036662874262921696,0.12854744564808085,95.78955452808054,47.09518097523567,48.69437355284487,93.45847679710114
vision_backbone.output,episode_000001_000035,episode_000001,35,0.1689928338045743,0.034943846678360146,0.13404898712621416,96.86181273180259,45.87336836180764,50.988444369994944,92.62439982093593
vision_backbone.output,episode_000001_000036,episode_000001,36,0.16350902657842692,0.03410464420922177,0.12940438236920515,95.28251746808525,45.3831884583443,49.899329009740946,90.79333134244271
vision_backbone.output,episode_000001_000037,episode_000001,37,0.16755277772605381,0.03247114070679602,0.1350816370192578,96.68891953153395,44.3277116323662,52.36120789916775,88.9218048765417
vision_backbone.output,episode_000001_000038,episode_000001,38,0.167567686402458,0.0317794535780247,0.1357882328244333,96.61446378599766,43.731374459194086,52.88308932680357,87.30906678218922
vision_backbone.output,episode_000001_000039,episode_000001,39,0.165421997121862,0.028977888285956266,0.13644410883590574,95.94697288174902,41.60994987526696,54.337023006482056,85.75329297714858
vision_backbone.output,episode_000001_000040,episode_000001,40,0.1542577431297546,0.04010873802620274,0.11414900510355186,91.83011683341242,48.57028646564609,43.25983036776633,84.61791348271542
vision_backbone.output,episode_000001_000041,episode_000001,41,0.15156117537566505,0.06376941134228598,0.08779176403337907,89.22843324241855,60.75619225884735,28.472240983571197,83.39698852975502
vision_backbone.output,episode_000001_000042,episode_000001,42,0.11705262416588869,0.07713835696108295,0.03991426720480573,76.65589212208764,66.75199943533899,9.903892686748648,82.65888298172588
vision_backbone.output,episode_000001_000043,episode_000001,43,0.12208498804557633,0.09180549427620821,0.030279493769368115,77.96152298012463,72.69885907011772,5.262663910006907,81.81581467796636
vision_backbone.output,episode_000001_000044,episode_000001,44,0.11677717390545128,0.08338650560747662,0.03339066829797466,75.9216316002862,69.31728211542347,6.6043494848627375,80.93631543145968
vision_backbone.output,episode_000001_000045,episode_000001,45,0.11515701190399441,0.07974444651856694,0.035412565385427475,75.3035565469495,67.53961067972995,7.763945867219547,80.35400905850284
vision_backbone.output,episode_000002_000000,episode_000002,0,0.07142687650711166,0.008668942357195841,0.06275793414991582,59.61625191234459,21.30206640068154,38.31418551166305,58.88228294908455
vision_backbone.output,episode_000002_000001,episode_000002,1,0.07156860200046589,0.00849596042169043,0.06307264157877546,59.68472684754671,21.083724199923633,38.601002647623076,58.42160127959043
vision_backbone.output,episode_000002_000002,episode_000002,2,0.07295231345026698,0.008937343978352219,0.06401496947191476,60.25545112017844,21.618644314355898,38.636806805822545,58.16029855783906
vision_backbone.output,episode_000002_000003,episode_000002,3,0.07267194136770949,0.009864282434570382,0.06280765893313911,60.1432843689547,22.747244312188847,37.396040056765855,57.82424821980536
vision_backbone.output,episode_000002_000004,episode_000002,4,0.07813469931759931,0.013294228120432128,0.06484047119716718,62.908380008843835,26.553322094553803,36.35505791429003,57.63913678054896
vision_backbone.output,episode_000002_000005,episode_000002,5,0.09262783148415199,0.017587389897859462,0.07504044158629253,68.58212008747289,30.57496052248182,38.00715956499107,57.71718289270324
vision_backbone.output,episode_000002_000006,episode_000002,6,0.09366729538189134,0.02023628553285428,0.07343100984903705,69.22189138221358,32.90015358826138,36.3217377939522,57.936227153202786
vision_backbone.output,episode_000002_000007,episode_000002,7,0.09638118529872819,0.021127573101855424,0.07525361219687277,70.4883641445622,33.708474099011546,36.77989004555065,58.23180850453749
vision_backbone.output,episode_000002_000008,episode_000002,8,0.11193029588926928,0.03331963715640118,0.0786106587328681,74.60073186342886,42.03003476993318,32.57069709349568,58.25545107904198
vision_backbone.output,episode_000002_000009,episode_000002,9,0.1039392756619748,0.025487405030167887,0.07845187063180692,72.83691437935133,36.905138272115884,35.93177610723544,58.36175377278944
vision_backbone.output,episode_000002_000010,episode_000002,10,0.11003817731783172,0.031987971679184435,0.07805020563864729,75.10125614647617,41.44751319924355,33.65374294723262,58.62521876144804
vision_backbone.output,episode_000002_000011,episode_000002,11,0.10019655198594213,0.03471774629240487,0.06547880569353726,71.13847792918286,43.62958633954532,27.508891589637535,59.29579158218908
vision_backbone.output,episode_000002_000012,episode_000002,12,0.08310094966020631,0.031115676542707527,0.05198527311749879,64.64937343824158,41.85425073481569,22.79512270342589,60.44431154908549
vision_backbone.output,episode_000002_000013,episode_000002,13,0.08913052843684155,0.03836685695899911,0.05076367147784244,68.43532080035409,46.66836541207234,21.76695538828175,61.759234813661855
vision_backbone.output,episode_000002_000014,episode_000002,14,0.10458685392614975,0.03511595224981778,0.06947090167633196,73.40427465884248,44.239996703386176,29.164277955456306,63.0416289116524
vision_backbone.output,episode_000002_000015,episode_000002,15,0.09772960689662269,0.03803484285032699,0.0596947640462957,70.71771553532331,45.92258560023462,24.79512993508869,64.2214485087217
