episode_id,step_index,planner_phase,joint_source_max_abs_diff_rad,sim_target_actual_max_abs_err_rad,real_tcp_pos_m_x,real_tcp_pos_m_y,real_tcp_pos_m_z,sim_ee_pos_m_x,sim_ee_pos_m_y,sim_ee_pos_m_z,real_sim_ee_position_l2_m_naive,gripper_real,gripper_sim_target,cube_attached,ee_to_cube_distance_m,ee_to_cube_xy_m
episode_000001,0,hold,0.0,7.450141614739891e-08,0.30509017944335937,-0.01182829189300537,0.7236777954101563,0.30836527449642975,-0.011480791064606703,1.5390194178785521,0.8153482742569758,0.0,0.0,False,0.7494246256291256,0.3182575499219385
episode_000001,1,hold,0.0,7.450141614739891e-08,0.30509017944335937,-0.01182829189300537,0.7236777954101563,0.30836527449642975,-0.011480791064606703,1.5390194178785521,0.8153482742569758,0.0,0.0,False,0.7494246256291256,0.3182575499219385
episode_000001,2,alignment,0.0,7.450141614739891e-08,0.3052301381346472,-0.012217106984159289,0.7232781855478929,0.30836527449642975,-0.011480791064606703,1.5390194178785521,0.8157475892489556,0.0,0.0,False,0.7494246256291256,0.3182575499219385
episode_000001,3,alignment,0.0,4.46990937597036e-08,0.3116636333579363,-0.030089809341286855,0.7049092788626881,0.3087342245541132,-0.01208746164510468,1.5382872221391886,0.8335775082727965,0.0,0.0,False,0.7484697892377636,0.3175699350171479
episode_000001,4,alignment,0.0,7.0319244205308e-08,0.3180240070643894,-0.04775937498019932,0.6867491486314673,0.31070074053938,-0.017991861533469426,1.53220692507752,0.8460133490923777,0.0,0.0,False,0.7403307507512392,0.3113490529234606
episode_000001,5,alignment,0.0,5.77376098043203e-08,0.3244315692911084,-0.06556003364834624,0.6684542858022894,0.31496886295480897,-0.03026542592999299,1.5194668018099307,0.8517966626765189,0.0,0.0,False,0.7233404892816655,0.29836602849798605
episode_000001,6,alignment,0.0,4.097380346124169e-08,0.3308519444909772,-0.08339628765735674,0.6501228393898523,0.3215757745662445,-0.04904697828313437,1.4999627922203984,0.8505844272087183,0.0,0.0,False,0.6974428299536676,0.2784794086399345
episode_000001,7,alignment,0.0,2.6081421911072766e-08,0.33746446846142014,-0.10176634446959738,0.6312427700727806,0.3300012519801911,-0.07387842972301159,1.474389668610049,0.8436409946785263,0.0,0.0,False,0.6636790115178733,0.2522791515234441
episode_000001,8,alignment,0.0,7.078490549261574e-08,0.3436689326904749,-0.1190027826113279,0.6135277923663182,0.33968746691477897,-0.10100919483361832,1.4462250605101985,0.8329011715954772,0.0,0.0,False,0.6269005235756064,0.22352686191201604
episode_000001,9,alignment,0.0,5.960464477539063e-08,0.350121594465155,-0.13692873099667735,0.595104161370026,0.34918277655779084,-0.12785708556148245,1.4184184247171114,0.823364774787408,0.0,0.0,False,0.5910248087841091,0.19511429353932483
episode_000001,10,alignment,0.0,9.312786763970848e-08,0.35644087626355736,-0.15448414042401495,0.5770613566979766,0.3586807942217941,-0.15483094170819536,1.3905427787020228,0.8134845797243581,0.0,0.0,False,0.5555814315938826,0.16660132356036292
episode_000001,11,alignment,0.0,6.332554525201317e-08,0.36305726206702094,-0.17286492568008494,0.5581702610805929,0.36817746439766086,-0.18181686751660217,1.362637368005895,0.8045332061881079,0.0,0.0,False,0.5207569465574325,0.13811180255541203
episode_000001,12,alignment,0.0,9.312786763970848e-08,0.36927564527205764,-0.19014003171635935,0.5404155419331107,0.37769237688372503,-0.20887787944156727,1.3347252279250559,0.794575248525285,0.0,0.0,False,0.4866989026597373,0.10960680388038378
episode_000001,13,alignment,0.0,5.960464477539063e-08,0.3756818161212582,-0.20793682503987015,0.5221246517631036,0.3871480122588622,-0.23590577084749578,1.3068734885557032,0.785330804458092,0.0,0.0,False,0.4536832860396638,0.08127127466207557
episode_000001,14,alignment,0.0,5.960464477539063e-08,0.38239064355256963,-0.22657441964180727,0.502969616937431,0.3965319848318116,-0.262871450926743,1.2789108459212124,0.7769184274105851,0.0,0.0,False,0.42176639078760453,0.053323768403511246
episode_000001,15,alignment,0.0,5.960464477539063e-08,0.38852606736830136,-0.24361905865800687,0.4854517633238329,0.40507013922360713,-0.28715271642560686,1.2540480742459996,0.7700059576622404,0.0,0.0,False,0.39460034615344314,0.02919044222117284
episode_000001,16,alignment,0.0,5.960464477539063e-08,0.3950116267519131,-0.26163639891547086,0.4669342031199081,0.41140921344874487,-0.3049958821820656,1.235636348444877,0.7700986390494634,0.0,0.0,False,0.3754201470142384,0.015319224558740416
episode_000001,17,alignment,0.0,9.312786763970848e-08,0.4013589129390017,-0.27926960650482,0.4488114403559197,0.41526059490979766,-0.3161618668663117,1.2242693687927666,0.7764594608939756,0.0,0.0,False,0.3640287019614273,0.014482999029763079
episode_000001,18,alignment,0.0,8.568606668646339e-08,0.4078971273700223,-0.2974332261885175,0.4301435395332815,0.41717877852607577,-0.32156208394967817,1.2186798301278177,0.7889599688258154,0.0,0.0,False,0.35856899745196713,0.017309748178230795
episode_000001,19,alignment,0.0,5.960464477539063e-08,0.4143189084555856,-0.31527338584689796,0.41180807903794925,0.4173229950118109,-0.32200430679612585,1.218299169336012,0.806524772442248,0.0,0.0,False,0.35820252103940536,0.017591778430428216
