method,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,change_from_real_chunk_mean_l2_mean,change_from_real_chunk_mean_l2_p50,change_from_real_chunk_mean_l2_p90,hidden_shift_norm_mean,hidden_shift_norm_p50,hidden_shift_norm_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,improved_count,worsened_count
full_delta,225,0.0006641193673966537,0.0005748168754048401,0.0012765083886488028,0.0012023394518266128,0.0011165875793793835,0.002027015799603396,1.9731572006509055e-05,1.6994142908605543e-05,3.72941428531837e-05,4.402767343625437e-05,4.108821677961441e-05,7.463024216348059e-05,0.0005015604384243489,0.0001838570460677147,0.0016033887863159178,0.3703017006499787,0.3386611992353591,0.8441430638267146,277.4230887156967,278.7358319687103,316.3709611719187,1.0,1.0,1.0,0.8706513670588548,0.9976646422915163,0.9998314159087914,225,0
neg_gradient_same_norm,225,0.09907954486261095,0.033899165778708704,0.20783995575617537,0.27116771596473715,0.06603982452996139,0.8767249779158844,0.012148469850993687,0.007824581094193844,0.02933623490919438,0.010483673216560506,0.008725355900138256,0.021827441778459043,0.1165175863723631,0.01067726405153735,0.5641508434957359,0.42253939713554234,0.4154241269501752,0.8071654028461034,277.4230887156968,278.7358319687104,316.37096117191885,-0.3290979832710069,-0.3494232956479869,-0.2504934017319573,-15.11579706052085,0.49965164417621327,0.9716267808815782,132,93
no_correction,225,0.3702449438211437,0.339164263706495,0.8434039258554428,0.4641897816478328,0.557936559845364,0.9243780778401325,0.004149628130589643,0.00414749252740958,0.006940551520453352,0.005909907070632752,0.0018109507769700534,0.016633141435630324,0.31551660497983297,0.24141806364059448,0.8119922041893005,0.0009638035471720236,0.0009371141501965805,0.0014750140234485903,0.0,0.0,0.0,0.0,0.0,0.0,-0.015243660022631982,-0.0002027560017901162,0.004396522380524028,101,124
null_residual,225,0.2740027135846252,0.24863279633492513,0.6461247367589463,0.48655282276504047,0.6525343720610977,0.9481676888816079,0.0038511466086712273,0.002462772362693718,0.009553103670039498,0.00409540545966557,0.0009075706973018747,0.012498991718697049,0.3328899019915197,0.05862247943878174,0.932797086238861,0.1399463324574427,0.08654597136679257,0.4016306111765968,274.870995620195,276.57838004495187,313.0946586860243,0.8847000152293774,0.9104716154187371,0.9675189105360862,-0.03562831280240391,0.11254372928520937,0.4576886439928049,149,76
orthogonal_to_gradient_same_norm,225,0.36494188117885995,0.3229376904457312,0.8386896183945258,0.46068269766143444,0.5294037271812503,0.9190644405296406,0.004108374484051125,0.00418832622909277,0.006689708020112236,0.005929437826246002,0.0015743306550602106,0.016812999575860542,0.30935488641262054,0.22537201642990112,0.8010758519172667,0.007572266472772648,0.004352441466154892,0.019837621822031498,277.4230887156967,278.7358319687103,316.3709611719187,-0.41429662630668507,-0.41428419542354006,-0.41214376439409656,-0.034299936119597224,0.006774746147037982,0.02802326364601205,143,82
random_same_norm,225,0.3653493405790843,0.32361591578881976,0.8417530165880017,0.460681786201421,0.525206908108745,0.9164551302394198,0.0041201478674256385,0.004166450718039384,0.006488735536235876,0.005979299104262653,0.0018908394446312976,0.017016694327396418,0.3109129001696905,0.23373913764953613,0.7929403781890869,0.008559393901767926,0.004725226407388733,0.020087925890648395,277.4230887156967,278.73583196871033,316.3709611719187,-0.4141963085816825,-0.41416251723843084,-0.41177486111819667,-0.03730784914551819,0.00557287945591179,0.03791197454354841,139,86
sensitive_projection,225,0.1360149800025111,0.061688234990849834,0.43863130903456,0.26352523810967204,0.10886094492711523,0.7806065814870521,0.002112983250986227,0.0021412485973085634,0.003416230189034489,0.002561778858419551,0.0010511995991841366,0.008194111675030426,0.03138958553059234,0.00434190034866333,0.09462334811687469,0.23711710693923876,0.19011029035410262,0.6178802564410129,31.93701485260097,25.419954015059083,57.72090889263118,0.009250206556837217,0.004015728862011806,0.02408097840803126,0.4728604967548448,0.43383497631642126,0.8781246287374205,218,7
