episode_id,method,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,change_from_real_chunk_mean_l2_mean,change_from_real_chunk_mean_l2_p50,change_from_real_chunk_mean_l2_p90,hidden_shift_norm_mean,hidden_shift_norm_p50,hidden_shift_norm_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,improved_count,worsened_count
episode_000001,full_delta,46,0.0007059333594651318,0.000605128704157703,0.0013453218947177556,0.0012865088560354888,0.0009231966379866258,0.002634122005976491,2.2075529383175505e-05,1.974559501502327e-05,3.9698904840914806e-05,4.333905381667516e-05,4.193060099376145e-05,5.9431861586896765e-05,0.0003871967833813118,0.00017743650823831558,0.0010450519621372223,0.3158490292772124,0.4168652271520099,0.712398930812991,270.1544441393479,266.72508582030696,295.15164421812494,1.0,1.0,1.0,0.9032916587619432,0.9973512346931124,0.999717234051096,46,0
episode_000001,neg_gradient_same_norm,46,0.07887732577402293,0.028789269297642577,0.20553410870980365,0.18561148430600846,0.042224279572372264,0.4700553698223633,0.01533115577807749,0.008533253794416738,0.032853776080156785,0.011062365092741765,0.005286216873179735,0.023594356962678347,0.08101922683115094,0.010144908945903808,0.12304552476604158,0.3826224253692693,0.4383658105900381,0.7936223483105136,270.154444139348,266.7250858203071,295.15164421812517,-0.3367620237668208,-0.342299367855178,-0.2808603120035175,-3.2226186319688774,0.41649691732134764,0.9548033772305944,28,18
episode_000001,no_correction,46,0.3157840991635555,0.4157837408453894,0.7124799342406523,0.42549668564067566,0.6122023672440888,0.8741044203465361,0.003958902425459228,0.004071466022356687,0.005302733053330165,0.00493454684711459,0.0028871593106183794,0.01082255492388403,0.2600050218727278,0.19497520476579666,0.6084723770618439,0.0010173460877503791,0.0009788051385139149,0.0016138804074540556,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033035648993190443,-0.00011590912978336489,0.006129889841431455,22,24
episode_000001,null_residual,46,0.26222154472896897,0.3333266572159769,0.6232355325613957,0.46306720504778726,0.6613344490939016,0.9122043897059633,0.0031435192032707006,0.002472064298026753,0.006224782597077595,0.0029909295784414035,0.0009828064725147109,0.008083706108228068,0.26904307730981836,0.028297184035182,0.77229905128479,0.10019594739179943,0.09325573146856414,0.2198993733460456,268.39628062163035,264.22721181691736,294.5063330348386,0.8940714699895933,0.9008841487848829,0.943471192975573,-0.1131348841599225,0.1087984834736398,0.30012842982760485,33,13
episode_000001,orthogonal_to_gradient_same_norm,46,0.31055245660261394,0.4044611301025378,0.7008291640791238,0.4218262891008618,0.6090851188370459,0.8803289851246276,0.003971421894178171,0.004033151406958027,0.00544394029269312,0.004939814498947245,0.0029750984012081407,0.01089356538972258,0.2551455552811208,0.19790934771299362,0.6051390767097473,0.007575608036383193,0.007240420263942769,0.017774582659921857,270.1544441393479,266.72508582030696,295.15164421812494,-0.4143869945350439,-0.4143132657063088,-0.41264913998934416,-0.023568326070944768,0.009695262491164753,0.023298074684608434,29,17
episode_000001,random_same_norm,46,0.31134139752965445,0.4048053569896396,0.7001011314281493,0.42385269196562153,0.5960721003301129,0.8686274682954259,0.003957713917712602,0.0039923259788110736,0.005391798280873552,0.005037956881715381,0.003027873370216198,0.011211559664164606,0.25797109921341355,0.19757232815027237,0.602268248796463,0.009647930321853102,0.006897891016086261,0.02054810566654021,270.1544441393479,266.72508582030696,295.15164421812494,-0.41434991211299477,-0.4145128255282615,-0.41173433063943227,-0.026267611805628054,0.0044973779619891735,0.03592953294168792,26,20
episode_000001,sensitive_projection,46,0.10184179674091291,0.06383935807203933,0.28007206781501753,0.19822115517296612,0.14783489989980075,0.48291378684295705,0.0022451395927484347,0.0022186290491461886,0.003909159374456214,0.0026991431408718175,0.0009570328224722429,0.008778941003086549,0.0325090568208986,0.009888778673484921,0.09054343029856682,0.21765928102686316,0.25408618312646847,0.49920552706443166,28.089987169274515,26.39362497949658,46.8668837945216,0.006715021944918917,0.0049247436144308435,0.01628575892380501,0.5023819604967957,0.5009922596070353,0.8678186834424384,46,0
episode_000002,full_delta,47,0.0006576724335964187,0.0005600922775076428,0.0012409580828392397,0.0011691607089987267,0.0013438989915056999,0.0019897575660439495,1.9022105410062516e-05,1.594901356846584e-05,3.493218391940704e-05,5.247834513243058e-05,5.27946099825592e-05,8.05436934597844e-05,0.0004724042311786337,0.00031882524490356445,0.0009895354509353634,0.34401742898208154,0.20864232042232697,0.7899414331864869,277.593407007136,275.30862265926345,332.30650959657095,1.0,1.0,1.0,0.8592554057557774,0.9976406018023557,0.999856649801157,47,0
episode_000002,neg_gradient_same_norm,47,0.1353988510609227,0.07063824528574378,0.380668572814144,0.3672074285089205,0.1832039148916367,0.9561997456786077,0.010748933040432212,0.008012105796582528,0.022635573533679395,0.0096626175075225,0.0066654371511729,0.02080932211200072,0.06768358428079944,0.01140284538269043,0.1034244829788804,0.463514010019007,0.38482920839958,0.7999143080604932,277.59340700713625,275.3086226592636,332.3065095965712,-0.32603777140486284,-0.362539981450459,-0.2272655202741708,-29.403333586431405,0.1480902491903281,0.9826392089909024,26,21
episode_000002,no_correction,47,0.34393092327797786,0.20837770840244635,0.7896047796699098,0.44271808146956376,0.3968227504801944,0.9163571539538418,0.0034250581783528047,0.003188046929419501,0.0053252368587724174,0.004677044919944704,0.0011637830615858324,0.014618564570114203,0.2550469332552971,0.23216016590595245,0.583336579799652,0.0008665514330011758,0.0008170378405064768,0.001474469538489266,0.0,0.0,0.0,0.0,0.0,0.0,-0.01063158288032365,-0.00010756468131406169,0.0038209889085181314,20,27
episode_000002,null_residual,47,0.2711905275443253,0.16342064969563774,0.6236746095558436,0.4656499506267748,0.45893440572290795,0.9411456676096712,0.003283056140323261,0.0017491605334736754,0.007909868244516567,0.003627640695862257,0.000747939171718474,0.011218036982931239,0.28720109830511376,0.030122175812721252,0.8426760554313658,0.1295542753215145,0.06910665380647281,0.39122748220945375,274.61608185912564,274.95138936436905,325.53694496798187,0.8811227794825288,0.9282576005255074,0.9549128363394941,-0.06266947441820186,0.11254372928520937,0.3532779870609331,30,17
episode_000002,orthogonal_to_gradient_same_norm,47,0.33682566351526805,0.2075621956328621,0.7771920805496615,0.43742194406425006,0.39437188456258987,0.9124598077463876,0.00340210739266969,0.0032082037851430827,0.005119924907014156,0.004653620289025707,0.0012322824900849268,0.014654096948511336,0.24841662860931235,0.2182786762714386,0.5880959153175354,0.00994119112076729,0.008231686219701783,0.020093817170729444,277.593407007136,275.30862265926345,332.306509596571,-0.4139956372291155,-0.4140298668475263,-0.41127932221397384,-0.016628512223361026,0.008489111507323005,0.05869930488042906,30,17
episode_000002,random_same_norm,47,0.33829368785797986,0.20764494010825185,0.7813187379807521,0.43911698461104925,0.39097245044303475,0.9129636117120192,0.0034511723070981904,0.003248034860423652,0.005422152719175645,0.004718980847312937,0.0013178032836996792,0.01429689793942875,0.251640999570806,0.2274114191532135,0.5686122536659239,0.009094261884284258,0.009013207763813164,0.01957397985102277,277.5934070071361,275.30862265926345,332.306509596571,-0.41427387140580246,-0.41422440962020146,-0.4119234747211195,-0.02406624752063279,0.00857152951605941,0.04144078805011764,31,16
episode_000002,sensitive_projection,47,0.08253752196146301,0.03775134703481807,0.285185060997602,0.1679145194873534,0.08654317931211664,0.5986316126587093,0.0020523231286963058,0.0020236915149879956,0.0033477055750082206,0.0017371422362805176,0.0010417662273371575,0.004005417218676902,0.042062662925789175,0.005342753371223807,0.10199078470468519,0.2671796887001692,0.17008030753947753,0.7199004848478465,33.3797564151388,20.37951939365062,75.41855987453319,0.010497250615634278,0.002576805905516034,0.03096219611524983,0.49134109675836846,0.5661787734028597,0.9481623936176053,44,3
episode_000003,full_delta,44,0.0005718835937220359,0.0003623344430270715,0.0012370949342361576,0.001087958832374862,0.0007802380254090862,0.0021625919038003394,1.9510638366575724e-05,1.6246391658698535e-05,4.2012789338813066e-05,3.8767653158734025e-05,3.249058164340005e-05,6.948197325509729e-05,0.00034121048255738884,8.592847734689713e-05,0.0010714113712310793,0.4248780773220995,0.5829646782312041,0.8724735828026785,290.0418040717237,287.99809809047474,318.50339794299475,1.0,1.0,1.0,0.9081903435405494,0.998083782211958,0.9998579721096614,44,0
episode_000003,neg_gradient_same_norm,44,0.11281416619019696,0.10025928760865876,0.2293956978137079,0.28834277652141876,0.22000509294381632,0.6862498906176574,0.012345443109363051,0.0077314794593201595,0.02514671680208309,0.012647104835710658,0.014409421963018025,0.02184028394814893,0.12307136504277723,0.008999015045787928,0.6221717353833812,0.4337861424433697,0.573592005248021,0.809517842084449,290.04180407172385,287.99809809047497,318.5033979429949,-0.3235128043893455,-0.3216396365621305,-0.25675398595582316,-13.820952772811797,0.7163440060698048,0.95902187357879,26,18
episode_000003,no_correction,44,0.4249046948482665,0.5826249794778072,0.8722575889441787,0.49701930668674327,0.8026113053390189,0.9343956575340809,0.004778504557109011,0.004720875895958313,0.00819063048359729,0.006256370128187408,0.0024822306799333854,0.017489382923548652,0.41396573321385816,0.533875584602356,0.8553328037261964,0.0009237696830606865,0.0009253448756401365,0.001274513826992646,0.0,0.0,0.0,0.0,0.0,0.0,-0.020725715558512662,-0.0002736838739200066,0.0016490567315564169,20,24
episode_000003,null_residual,44,0.26379970456104407,0.32200199221434156,0.5442238408185627,0.5038829146451875,0.8042251774911451,0.9471310061656528,0.00542624111911577,0.005338443098456803,0.010345709367554695,0.005678456814070597,0.0032091318078933404,0.013541438556677266,0.48890376768328925,0.6155749559402466,0.9469558775424958,0.19562100154411316,0.19857052112663143,0.5057087280675546,287.2304736033245,286.1344332579662,313.04951399308436,0.8769866026944192,0.8735184818401802,0.9521856325207703,-0.045863523702324646,0.25063066359231406,0.5110742480694385,28,16
episode_000003,orthogonal_to_gradient_same_norm,44,0.42156539320380176,0.5795424645565475,0.8654038566028633,0.49534201430874797,0.7950037523731275,0.9331047710480528,0.004711188816624291,0.004786721164733806,0.007815358756658737,0.006335448005355856,0.0024550964232803586,0.01731137138888208,0.4089037640528245,0.5097725987434387,0.8489712297916412,0.004648054506352801,0.0038313552411449485,0.0097725725680868,290.04180407172373,287.99809809047474,318.50339794299475,-0.4146479435847095,-0.41461088131780893,-0.4122754920672283,-0.04532752286988602,0.005100069622403633,0.01274901933363693,27,17
episode_000003,random_same_norm,44,0.42056202603343995,0.5809775323116213,0.8569304908844644,0.49457714077329024,0.7948359934138078,0.9398274468387283,0.004719833490727988,0.004696523748451283,0.007918285627066974,0.00622582865332769,0.002550668563085614,0.01746501768390944,0.40640889040448447,0.49094241857528687,0.8509564995765686,0.0064948808432701574,0.0030141237300983312,0.018647645344408114,290.0418040717237,287.99809809047474,318.5033979429947,-0.41393259650320785,-0.41337337075403086,-0.41162130223966303,-0.03863820678744385,0.0027252099897220154,0.02180203244890013,26,18
episode_000003,sensitive_projection,44,0.22571054856642608,0.21556619415642647,0.521179129423498,0.4248822720863224,0.6343027403720538,0.8823928769067368,0.0021175694771034914,0.002016056230063724,0.003441101357414743,0.002161328944044394,0.0010711412018873517,0.0049824904968647915,0.017273719565392556,0.004044950008392334,0.024579785764217404,0.20065057398845257,0.21080553252152928,0.5039406439401152,35.8310135588921,37.089355454636326,60.45855057590511,0.00964089726171295,0.008304542894508644,0.022361052606326225,0.3244335283066177,0.36662160178866443,0.6782098033509536,42,2
episode_000004,full_delta,45,0.0007084629980705128,0.0007881435158753117,0.0012932222139880533,0.001100598915872326,0.0014798779272823853,0.001819634992072437,2.179068183487274e-05,1.8696028834362268e-05,4.0585523143668025e-05,5.4716378078810287e-05,5.504977241398467e-05,8.399853023463486e-05,0.0005075089529984528,0.0001340927556157112,0.00130232572555542,0.3343894134093993,0.3386611992353591,0.7486715062240937,270.8862494191955,282.1112330436584,308.5425698895148,1.0,1.0,1.0,0.8572876378587566,0.9982387992209174,0.9997993001885614,45,0
episode_000004,neg_gradient_same_norm,45,0.048342206480417545,0.028858298006031048,0.16187521268821417,0.11637824386386636,0.05122100343265801,0.3530835341281793,0.01313253209657615,0.007824581094193844,0.022654564057496995,0.008305624980119568,0.005052070901336405,0.020200192874844973,0.04425138534730372,0.009151532390887951,0.03728500692905076,0.3540433866650427,0.3124766118288759,0.7739735011519012,270.8862494191956,282.1112330436585,308.542569889515,-0.33214203806966996,-0.35300249712844517,-0.24824007438084164,-2.064206872899509,0.6437229373644006,0.9657786381528584,27,18
episode_000004,no_correction,45,0.33430026801954865,0.339164263706495,0.7486955988860027,0.45954084641382836,0.557936559845364,0.9112841628578856,0.0038798280353136505,0.0036994625525132645,0.005038876274129465,0.0058060723660854205,0.0015275609235300307,0.015348686461629103,0.23704656031396654,0.195211723446846,0.5265362381935119,0.000950732929660327,0.0008695857241990503,0.0014360526235176912,0.0,0.0,0.0,0.0,0.0,0.0,-0.01586708937697239,-0.0005326097080473216,0.0020537640209831133,18,27
episode_000004,null_residual,45,0.27282058881367865,0.21161825009132168,0.6861461388393525,0.488387194124743,0.680830936483249,0.9140594913373754,0.0024417611272785672,0.0015884682143800534,0.005966316073864638,0.0028259932097330497,0.0006836252171941773,0.00832017788514629,0.19069822027037542,0.018124818801879883,0.7545998811721802,0.11193369175233231,0.09732757210238192,0.24682256475365222,268.6078152586231,280.80727096768646,307.84802803543556,0.8889990168250449,0.9153078786179035,0.9685339621169884,-0.005460759826189114,0.06111304473839721,0.43833639752797066,29,16
episode_000004,orthogonal_to_gradient_same_norm,45,0.327738449514483,0.3229376904457312,0.738468887312976,0.45450460761442996,0.5473113856607333,0.8985712994165229,0.0039173828942888,0.003955302329559137,0.005055522288569732,0.005879174640361143,0.0014731145893550784,0.01567268386473555,0.23121300141016643,0.1926201432943344,0.5248673558235168,0.009392101071618563,0.005317317447039794,0.021584005784494223,270.88624941919545,282.1112330436584,308.5425698895148,-0.41384359898540884,-0.414039012809776,-0.41214376439409656,-0.03793865829510774,0.011402471062148667,0.04179516359815075,28,17
episode_000004,random_same_norm,45,0.3290478566903164,0.31849368607856327,0.7396834292010901,0.45361374648625613,0.525206908108745,0.8955762723268291,0.0038834962381444666,0.0038556758732784667,0.005042412221583716,0.005949554591844893,0.0009697852443775495,0.015836536722334916,0.23342974583307902,0.1945333629846573,0.5252973318099976,0.010695526420347283,0.007028160368378544,0.02959700349750487,270.8862494191955,282.1112330436584,308.5425698895148,-0.4145077211694746,-0.4144853171743353,-0.4122561864087962,-0.05536464210692309,0.007466550889781634,0.03869125023771818,26,19
episode_000004,sensitive_projection,45,0.08138473358214592,0.06197992838012327,0.20868542276480576,0.19484899945338702,0.1079273079818025,0.5447530720144065,0.0024333442480058984,0.002578873899255145,0.003334911030524081,0.003393299277634251,0.0024502397525199946,0.008945488770460405,0.03979705387157285,0.0056183006381616,0.10857896506786346,0.25527141437296164,0.19011029035410262,0.6289861438656782,28.58561900125414,25.00593905380282,50.51784721458867,0.009199559698829251,0.0035928319327481932,0.024714493637818597,0.5666667515491406,0.5680116536908832,0.8787907380772058,45,0
episode_000005,full_delta,43,0.0006744094351831789,0.0007457157090968068,0.001201924808470641,0.001372076188875967,0.0014734364918346165,0.002036228100189619,1.6070735462021393e-05,1.4642184555968821e-05,3.00430893726932e-05,2.9724048228725106e-05,2.9282804827613563e-05,4.9337280993128666e-05,0.0008136252006299274,0.00022490881383419037,0.0019874334335327148,0.4390197472497737,0.538967493533837,0.904762412092437,278.9413906573656,270.6498983849656,318.3987076985853,1.0,1.0,1.0,0.8237632184940271,0.9976947541444524,0.9998097657025764,43,0
episode_000005,neg_gradient_same_norm,43,0.12003655824724617,0.13539734678773455,0.20352905696114112,0.4021338496105532,0.35086634088569574,0.944408941807851,0.009042075735437211,0.006242791852984337,0.017650279182074957,0.010827649296041525,0.00954396868442788,0.01770665421475011,0.27679050315907716,0.010677149364710203,0.9443327926099301,0.4806286430274911,0.5762053482329219,0.8779621613783882,278.9413906573658,270.6498983849657,318.3987076985855,-0.3267735530327417,-0.325150191871431,-0.25266193184100794,-27.205720272096514,0.76933879284742,0.9703014204513316,25,18
episode_000005,no_correction,43,0.4389528318596605,0.5390252332856658,0.90507258095417,0.5003236260321585,0.7735003701566315,0.93712520977095,0.004784479565745408,0.005131168651632111,0.007820582610073566,0.008055006571479227,0.0028058667510031726,0.02050957598798876,0.42237701804138894,0.5120658874511719,0.8539084672927857,0.0010674677403894805,0.0011765872798255633,0.0014365949962246312,0.0,0.0,0.0,0.0,0.0,0.0,-0.02679592134441845,-6.720441778619163e-06,0.06043428855067488,21,22
episode_000005,null_residual,43,0.3013570048168215,0.34768413317096014,0.6939376582654918,0.5148714890808322,0.8065978761137533,0.9676102497879986,0.005092293140389565,0.0037693256780932274,0.011080084704619011,0.005496803740786724,0.002532677277563221,0.0141225207141535,0.44029323444810026,0.29107043147087097,0.9674851536750794,0.16617488572080757,0.08657847929726761,0.4957741672333736,275.98364496245705,265.76305625498287,313.48805142097143,0.8819785789704259,0.878011515508445,0.9735428020980026,0.055744856361670675,0.092667695072173,0.49330684529548197,29,14
episode_000005,orthogonal_to_gradient_same_norm,43,0.43485108249271254,0.5317447486090103,0.8965112001672852,0.4986746588820716,0.7756264306304331,0.9333198738006677,0.004609889910450399,0.00482944631212724,0.00744285732793844,0.008019751612038606,0.0028822195881500964,0.02038478134836481,0.4138656203136888,0.46044644713401794,0.8424464821815492,0.006067140872599944,0.003719289826932671,0.014865511310199668,278.9413906573656,270.6498983849656,318.3987076985853,-0.41464355229193156,-0.4149547046582948,-0.41291124343755475,-0.05000353310681661,0.0058907952614113725,0.021352511857773915,29,14
episode_000005,random_same_norm,43,0.43419096088533066,0.5331099471693602,0.8985186181962789,0.49636434889012815,0.7502583141250184,0.9333896762245191,0.004659147144507947,0.005141351323688436,0.007539489511849736,0.008142738713884714,0.0028479560566530933,0.020568875175756007,0.4157040756802226,0.5091083645820618,0.8475921154022217,0.00668732740724805,0.003544432983289246,0.01724398634235549,278.9413906573656,270.6498983849656,318.39870769858527,-0.41389115857768793,-0.41370405543359856,-0.41171202088471215,-0.04333377413381146,0.007255072227801339,0.05114619795945117,30,13
episode_000005,sensitive_projection,43,0.19641412023662633,0.06795768228200004,0.5545655904423205,0.3446511179910128,0.159443491083407,0.8663254307062493,0.0016979552326494808,0.0015881688331641473,0.002521469359968211,0.0028557449425027064,0.0008561792809457811,0.008651388821860352,0.024171718325855775,0.0018267035484313965,0.025052306056022648,0.24338925262581115,0.28462740896740524,0.6591940802372176,33.998207648590196,37.496535706745696,59.47168654008027,0.010252442347083883,0.007468484303166289,0.023491465093452634,0.47478909242189904,0.4579030028821742,0.8973485686183024,41,2
