condition,pair_id,episode_id,total_energy,sensitive_energy,null_energy,sensitive_ratio
C0_original,episode_000001_000000,episode_000001,239.65016992588016,43.4523214163458,235.6779576223322,0.1813156294851987
C0_original,episode_000001_000001,episode_000001,237.92230012831894,44.392557938723,233.74413724841742,0.18658426685846896
C0_original,episode_000001_000002,episode_000001,240.89690769403163,45.35758352799636,236.5882705314184,0.1882862837974077
C0_original,episode_000001_000003,episode_000001,237.02647453021368,43.96107982198479,232.91408950320528,0.18546907010752964
C0_original,episode_000001_000004,episode_000001,237.67950650630036,47.00243767669666,232.98566193121567,0.19775553377569272
C0_original,episode_000001_000005,episode_000001,226.78998868675822,50.533373181466956,221.0883921951637,0.2228201230313721
C0_original,episode_000001_000006,episode_000001,252.74786498128694,62.502415759812166,244.89779761522243,0.24729156768323146
C0_original,episode_000001_000007,episode_000001,279.3962471061215,81.21623864003804,267.33160209400853,0.29068478721974433
C0_original,episode_000001_000008,episode_000001,289.0305565014279,75.1921881031559,279.07847899790613,0.2601530752087952
C0_original,episode_000001_000009,episode_000001,267.99328257107715,66.90048735624688,259.50862084855265,0.24963494127321473
C0_original,episode_000001_000010,episode_000001,244.80412315616675,53.76702574127851,238.82664352453716,0.2196328437939714
C0_original,episode_000001_000011,episode_000001,252.71240616328157,62.62960595959749,244.82870069945014,0.24782956606859852
C0_original,episode_000001_000012,episode_000001,258.78990418166904,67.88436906423388,249.72770559773366,0.26231459561335685
C0_original,episode_000001_000013,episode_000001,253.80532758943792,66.60179598181695,244.91089213176767,0.2624129154985814
C0_original,episode_000001_000014,episode_000001,267.18372019438084,70.41834864573165,257.7370685619695,0.26355778186822565
C0_original,episode_000001_000015,episode_000001,260.5781736273209,46.3286159219274,256.4266833184658,0.1777916211362607
C0_original,episode_000001_000016,episode_000001,261.8282599650621,55.36124747148819,255.90851880063076,0.21144107010784663
C0_original,episode_000001_000017,episode_000001,261.7050584156257,50.59854896097153,256.76706261389955,0.19334188367354244
C0_original,episode_000001_000018,episode_000001,265.9244827965718,47.908060626364666,261.57340896514074,0.18015663741278612
C0_original,episode_000001_000019,episode_000001,267.93160985326267,49.562403919902096,263.30764454576973,0.1849815478921871
C0_original,episode_000001_000020,episode_000001,263.04234076923734,46.98997900036461,258.8111568516799,0.17864036209131876
C0_original,episode_000001_000021,episode_000001,254.04715238164778,44.179497061256356,250.1761932571495,0.1739027446168212
C0_original,episode_000001_000022,episode_000001,252.22063564885775,51.69294482668406,246.86653985961576,0.20495129073677826
C0_original,episode_000001_000023,episode_000001,260.45401143324085,57.11179939920356,254.1151991539504,0.21927786439120506
C0_original,episode_000001_000024,episode_000001,292.4976202613105,97.62897424977504,275.72348693114003,0.3337769865018239
C0_original,episode_000001_000025,episode_000001,317.6633624787187,123.40843372313874,292.7120946378668,0.3884880924264796
C0_original,episode_000001_000026,episode_000001,315.47152298586536,115.71985762824774,293.4811686727437,0.3668155418054407
C0_original,episode_000001_000027,episode_000001,312.4552898266412,111.80673719659686,291.766279165536,0.3578327550755512
C0_original,episode_000001_000028,episode_000001,295.70349747938087,65.40048700106895,288.38053804229094,0.22116913583556538
C0_original,episode_000001_000029,episode_000001,296.8332991387985,65.47038404105164,289.52311875071507,0.2205628015151961
C0_original,episode_000001_000030,episode_000001,309.25379916522814,69.53627520140151,301.33472871416967,0.2248518058277747
C0_original,episode_000001_000031,episode_000001,290.1816286223118,67.91310737940046,282.1226460884899,0.2340365504936679
C0_original,episode_000001_000032,episode_000001,282.9413916247015,65.14610303036702,275.33945658855276,0.23024592710273356
C0_original,episode_000001_000033,episode_000001,282.0736873496763,64.9922734066998,274.484188055472,0.2304088481891304
C0_original,episode_000001_000034,episode_000001,281.60676353858054,65.72707391277486,273.8289996065768,0.23340019638331644
C0_original,episode_000001_000035,episode_000001,281.4657452532271,65.87572467649693,273.64823158445756,0.23404526407726925
C0_original,episode_000001_000036,episode_000001,281.69790812376397,66.56557324797959,273.72017810068814,0.23630126929708686
C0_original,episode_000001_000037,episode_000001,281.8898415463718,67.0343797891258,273.8033504055892,0.2378034604631129
C0_original,episode_000001_000038,episode_000001,283.92280040047194,66.47581135625542,276.0310183507893,0.23413340268020588
C0_original,episode_000001_000039,episode_000001,272.8963032332748,57.08612416070241,266.8587018380632,0.2091861395128704
C0_original,episode_000001_000040,episode_000001,261.8726758414069,45.96788513196118,257.8066172324391,0.17553524812875043
C0_original,episode_000001_000041,episode_000001,264.94220119813923,38.354599791927946,262.15128199289114,0.14476591354068255
C0_original,episode_000001_000042,episode_000001,262.3541383687168,40.98118131380565,259.1336271063962,0.1562055836764047
C0_original,episode_000001_000043,episode_000001,272.07894148604777,47.46251103775642,267.90718625329754,0.17444389771043822
C0_original,episode_000001_000044,episode_000001,277.66521631351446,52.528033683596604,272.65138552328267,0.1891775800404423
C0_original,episode_000001_000045,episode_000001,280.0322129887942,53.230395673076984,274.92647251199554,0.19008668718840235
C0_original,episode_000002_000000,episode_000002,335.4866264773581,101.92454450747803,319.62894701841617,0.30381105076436454
C0_original,episode_000002_000001,episode_000002,338.1605175101137,103.83265091361169,321.8249775995642,0.3070513721653098
C0_original,episode_000002_000002,episode_000002,338.10476814370156,104.57391092381785,321.52625304258373,0.3092943985911839
C0_original,episode_000002_000003,episode_000002,337.4926671516529,103.55991576942097,321.2112143543042,0.3068508618081653
C0_original,episode_000002_000004,episode_000002,339.37872840464456,100.01547654013427,324.3066847075517,0.294701665629688
C0_original,episode_000002_000005,episode_000002,287.64090376255365,82.23378583802038,275.6354367349838,0.2858904445172514
C0_original,episode_000002_000006,episode_000002,255.4138945142404,69.00256254496927,245.91645710110402,0.270159783891953
C0_original,episode_000002_000007,episode_000002,253.03550390137912,77.8612215749773,240.75837765169695,0.3077086826729414
C0_original,episode_000002_000008,episode_000002,240.84126382900075,68.65388508692757,230.8487782623536,0.28505864815454707
C0_original,episode_000002_000009,episode_000002,221.4001693646104,56.04671087453362,214.18870463874748,0.2531466486018523
C0_original,episode_000002_000010,episode_000002,225.1786259633096,56.45676490653527,217.98634656099975,0.2507199103157077
C0_original,episode_000002_000011,episode_000002,218.85345915799596,60.96726904693967,210.18998237399109,0.2785757615232658
C0_original,episode_000002_000012,episode_000002,247.58710707085845,84.7353374466969,232.63554796185198,0.3422445475823827
C0_original,episode_000002_000013,episode_000002,236.71103220851887,76.65630338973139,223.95518283764704,0.32383916657591527
C0_original,episode_000002_000014,episode_000002,270.6993990364666,83.20430855441913,257.59504590866106,0.30736791012679887
