condition,count,total_energy_mean,total_energy_median,total_energy_p90,sensitive_energy_mean,sensitive_energy_median,sensitive_energy_p90,null_energy_mean,null_energy_median,null_energy_p90,sensitive_ratio_mean,sensitive_ratio_median,sensitive_ratio_p90
C0_original,225,277.5300904152036,278.9320501052853,316.24824449076067,67.58535945021606,62.502415759812166,105.72263679913354,268.3526607957795,272.65138552328267,299.8773872160646,0.2397318132531447,0.2304088481891304,0.340014644122661
C1_sim_shift_left_24px,225,281.68348651932547,281.49984392151623,326.34448254225094,68.78698044611296,66.95942032570217,107.29093280811098,272.27443384217446,274.39267236940606,309.7455123904845,0.24035463628678708,0.2428239257500388,0.3397369603600453
C2_sim_shift_right_24px,225,269.73880090679324,270.6574798912843,303.4063587787909,62.32861565622192,60.65948163214883,96.67350560184474,261.6789810523148,263.7686315788561,292.5499688105831,0.22858154961603663,0.22670780949889272,0.3313823710409928
C3_sim_shift_up_24px,225,274.2824392981815,275.7280181659662,305.3772928210474,66.56843317675525,63.159281741084236,98.83312669626373,265.3536578970215,266.78943432096924,292.99386097432466,0.2405741514211179,0.2386959191342747,0.3344719522797404
C4_sim_shift_down_24px,225,287.6962924469634,289.48801028632533,326.3489273928613,70.55723693979813,62.19461658643075,110.68854214509776,277.9200039780977,279.5197224085606,308.115099411616,0.24184108380501956,0.2350704460614751,0.35147208756874687
C5_sim_zoom_in_1p05,225,280.2955357263727,285.81264946313473,316.0826904523008,71.16720618174382,66.85440030762716,112.17175257504562,270.22246360288045,276.8502003053452,300.0323164165348,0.25010466677931076,0.25063011136095104,0.3614067088282215
C6_sim_zoom_out_0p95,225,280.3993625655162,282.4938819547023,312.14881530934105,66.59808951412192,59.34730376078013,101.60677816945304,271.5414287011629,274.8581490595861,296.6270041232432,0.23409210645323256,0.21740353835120807,0.33893293788823453
C7_sim_rotate_ccw_2deg,225,278.4822545600266,279.4411120888266,313.7203822208173,69.30939700006789,61.588611443130155,109.91812357184219,268.83993613242444,270.85960546914845,297.8648795735304,0.24471140372903066,0.22127267379052554,0.3525255425461797
C8_sim_rotate_cw_2deg,225,289.85495897435544,288.8963948927599,328.8981484071432,71.63814245123834,63.52645826564631,114.1583252369788,279.91063723066077,281.7492492763337,309.8032017485263,0.2430140948297702,0.22355300309911097,0.348352662889203
