heldout_episode,method,count,token_count_mean,token_count_p50,token_count_p90,hidden_shift_norm_mean,hidden_shift_norm_p50,hidden_shift_norm_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,improved_count,worsened_count
episode_000001,all35_full_delta,46,35.0,35.0,35.0,270.1544441393479,266.72508582030696,295.15164421812494,1.0,1.0,1.0,0.0007059306744373486,0.0006051168636460059,0.0013453218702723939,0.0012864884653079642,0.0009231967531841887,0.0026339506686215448,2.207544275302499e-05,1.974588034993723e-05,3.970122520139901e-05,4.333900616043462e-05,4.193006412569107e-05,5.943293162516815e-05,0.0003871982917189598,0.00017744721844792366,0.0010450668632984161,0.3150737172670677,0.41677051366403745,0.7122233766749293,0.9032915942409323,0.9973512824621755,0.999717230306225,46,0
episode_000001,loo_bottom10,46,10.0,10.0,10.0,114.74328349092032,111.99198574168727,124.70029633394984,0.09661135877004363,0.09170265143851897,0.1269105725038872,0.22812673868577346,0.21494964705764819,0.48511156857420584,0.3838727190530377,0.41970591600584795,0.8278108273227011,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,0.08765290925573158,0.04629581844494993,0.23236733095645754,0.16556559405756274,0.11108631600291743,0.4190837800527138,40,6
episode_000001,loo_top10,46,10.0,10.0,10.0,200.99517943345612,203.61957098081993,221.2353189219869,0.33324657037447625,0.3322675157965905,0.3756851903217783,0.21933153097367422,0.23322938209914057,0.525920610857409,0.38830026780832405,0.4026998494530948,0.8741044501821946,0.0004193723915473731,0.0003753454236617985,0.00057082761430796,0.000566333499480097,0.0004084844361523731,0.0013369345964243955,0.014921694366342348,0.004758218768984079,0.03642243891954422,0.09644811696783083,0.08109783468256213,0.21551875604090667,0.4014996669737652,0.3974102979345476,0.5820239039413206,46,0
episode_000001,loo_top15,46,15.0,15.0,15.0,219.6727947462615,220.57306122396534,245.6945299717459,0.41829618529972357,0.4236960336247901,0.4499213051736538,0.17473152849130721,0.17084350435611328,0.4197901618001634,0.369254243034857,0.3689027195289326,0.8741044501821946,0.0004193723915473731,0.0003753454236617985,0.00057082761430796,0.000566333499480097,0.0004084844361523731,0.0013369345964243955,0.014921694366342348,0.004758218768984079,0.03642243891954422,0.14104811945019777,0.14116892083317564,0.29983292039428033,0.525010279631908,0.5463054499609554,0.6793175513938279,46,0
episode_000001,loo_top20,46,20.0,20.0,20.0,233.03877718148394,231.90639199641382,261.71015142556894,0.49381746945445054,0.49896443713691807,0.5249927544064779,0.13443579396553917,0.115421429503001,0.34668982607086546,0.3659380242671212,0.3689027195289326,0.8741044501821946,2.207544275302499e-05,1.974588034993723e-05,3.970122520139901e-05,4.333900616043462e-05,4.193006412569107e-05,5.943293162516815e-05,0.0003871982917189598,0.00017744721844792366,0.0010450668632984161,0.18134385397596584,0.17329807399240255,0.3900846018802842,0.6383725733856341,0.6916670082818788,0.8311939891951339,46,0
episode_000001,loo_top5,46,5.0,5.0,5.0,142.28000293692457,142.47545771801953,157.43261784650048,0.15387041380557076,0.15697290660001384,0.19924454595364677,0.2546386512844288,0.30849031162316987,0.5772705184461041,0.3945043130222388,0.42929109755843176,0.8741044501821946,0.002087192916285833,0.001988920321070674,0.0032863727616643723,0.002475744581784313,0.0015930185865763303,0.005931560957928451,0.079451865800049,0.041758591309189796,0.18628837168216705,0.06114099665707627,0.056338359177399794,0.1366340286109024,0.21225135225959404,0.2025056554246751,0.30979600803568963,46,0
episode_000001,no_correction,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157841033109578,0.41578371551346327,0.712479907424743,0.4254966921430917,0.6122023672387225,0.8741044501821946,0.003958902014368215,0.004071466018385627,0.005302733139662313,0.0049345465297964105,0.0028871595957978237,0.010822555463310325,0.2600050377457038,0.19497516751289368,0.6084723174571991,-4.4553694527394965e-06,-5.628606026018791e-06,0.0005621047558458381,-0.003303568629204545,-0.00011594762605611092,0.006130026952393078,22,24
episode_000002,all35_full_delta,47,35.0,35.0,35.0,277.593407007136,275.30862265926345,332.30650959657095,1.0,1.0,1.0,0.0006576716373580492,0.0005601482004808422,0.0012409865755864948,0.0011691587809292254,0.0013438392710457261,0.001989757578487236,1.9021890441391953e-05,1.594827053844135e-05,3.493395067714558e-05,5.24779648685542e-05,5.27933766513882e-05,8.054451319965076e-05,0.0004724018434260754,0.00031882524490356445,0.0009894862771034237,0.34334612991067975,0.20834157399728212,0.789785457278492,0.8592555204777479,0.9976407110200731,0.9998566503620376,47,0
episode_000002,loo_bottom10,47,10.0,10.0,10.0,114.84678061271872,105.11949260072872,159.33543814431323,0.09169068883122165,0.07621786326697805,0.14626306521167173,0.23148016013529024,0.15042126714138043,0.5224881559203495,0.4080991836418314,0.37814223393787616,0.873394171635827,0.0034250578014474228,0.0031880475441515136,0.005325236119766038,0.00467704479692341,0.0011637830736065237,0.014618562844820805,0.25504696020420564,0.23216018080711365,0.5833365559577941,0.11252364141274745,0.054147184413614546,0.2941293185588607,0.2068777299650642,0.2098383234027913,0.4095597052229582,43,4
episode_000002,loo_top10,47,10.0,10.0,10.0,206.8843642542931,212.20736586502665,232.15193193813658,0.3462452860412026,0.3429253664323529,0.4987771674793369,0.24556932743013982,0.16272740247902656,0.5662382390726391,0.4225025589840206,0.31262536384392325,0.9163572253743609,0.0004695647428417299,0.0005253156381614716,0.0006497545232164889,0.0006269807803404996,0.0001256688535922103,0.0018839321614514972,0.014613481040330643,0.004028189927339554,0.011810566484928129,0.09843447411789792,0.06511774179795109,0.22871127348004297,0.32260818641228256,0.30854756398209526,0.44586595275266394,47,0
episode_000002,loo_top15,47,15.0,15.0,15.0,225.88427237107652,230.8665471979438,254.7288960258471,0.4302196043092986,0.43223993240615566,0.5573999148352127,0.1917551026006149,0.1355451724949593,0.45088586841447925,0.4108121223576494,0.31262536384392325,0.9163572253743609,0.0004695647428417299,0.0005253156381614716,0.0006497545232164889,0.0006269807803404996,0.0001256688535922103,0.0018839321614514972,0.014613481040330643,0.004028189927339554,0.011810566484928129,0.15224869894742285,0.08546406554638579,0.37072615462040615,0.4646762974279823,0.4581614826256124,0.5734226688830243,47,0
episode_000002,loo_top20,47,20.0,20.0,20.0,241.6194633041672,244.23637426281866,272.51016246143513,0.5153570774187748,0.5309425378185817,0.6113937556780936,0.15573877338218534,0.11475666903351514,0.3627106727394342,0.40308155667028883,0.2919023326666687,0.9163572253743609,1.9021890441391953e-05,1.594827053844135e-05,3.493395067714558e-05,5.24779648685542e-05,5.27933766513882e-05,8.054451319965076e-05,0.0004724018434260754,0.00031882524490356445,0.0009894862771034237,0.18826502816585242,0.13127157322023725,0.4220468720046401,0.5575197485200155,0.5314247126201523,0.7406499298900745,47,0
