frame,episode_id,heldout_episode,progress,planner_phase,method,token_count,tokens,delta_hidden_norm,hidden_shift_norm,hidden_after_gap,repr_gap_reduction_ratio,raw_gap_first_l2,raw_gap_first_translation_l2,raw_gap_first_rotation_l2,raw_gap_first_gripper_abs,raw_gap_chunk_mean_l2,raw_gap_chunk_max_l2,gap_to_sim_first_l2,gap_to_sim_first_translation_l2,gap_to_sim_first_rotation_l2,gap_to_sim_first_gripper_abs,gap_to_sim_chunk_mean_l2,gap_to_sim_chunk_max_l2,action_gap_reduction,action_gap_reduction_ratio
episode_000001_000000,episode_000001,episode_000001,0,hold,no_correction,0,,238.58495004610228,0.0,238.58495004610228,0.0,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.16472198192900817,0.003087321407456249,0.010485804572880942,0.16435889899730682,0.42201524814686986,0.7055274444796827,-3.315898115047178e-05,-7.857911982953782e-05
episode_000001_000000,episode_000001,episode_000001,0,hold,loo_top5,5,"4,3,1,9,10",238.58495004610228,137.34875070585633,195.0848509445099,0.18232541110906939,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.03166455281235438,0.0013199826188403582,0.004246794722101118,0.031350698322057724,0.36579448726717806,0.7055274444796827,0.05618760189854133,0.13315162738216485
episode_000001_000000,episode_000001,episode_000001,0,hold,loo_top10,10,"4,3,1,9,10,0,2,5,11,12",238.58495004610228,174.99055970762004,162.17608455538377,0.3202585304561493,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.004339095112463313,0.00033538194650650815,0.0009971511226544842,0.004209626466035843,0.3411302503194304,0.7055274444796827,0.08085183884628899,0.19160016721595294
episode_000001_000000,episode_000001,episode_000001,0,hold,loo_top15,15,"4,3,1,9,10,0,2,5,11,12,13,8,17,16,18",238.58495004610228,188.27233399232634,146.54796703326542,0.38576189736633576,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.004339095112463313,0.00033538194650650815,0.0009971511226544842,0.004209626466035843,0.2802287254452821,0.7055274444796827,0.1417533637204373,0.33592270231348226
episode_000001_000000,episode_000001,episode_000001,0,hold,loo_top20,20,"4,3,1,9,10,0,2,5,11,12,13,8,17,16,18,15,14,6,19,20",238.58495004610228,197.96740160613987,133.16037807776925,0.44187435941773195,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,8.536150921317518e-05,1.4344076902370668e-05,7.69173808464429e-05,3.4125521779060364e-05,0.24797140077172716,0.7055274444796827,0.17401068839399222,0.41236510473233695
episode_000001_000000,episode_000001,episode_000001,0,hold,loo_bottom10,10,"30,31,29,34,33,28,32,26,23,24",238.58495004610228,119.30326719719696,206.6143964601096,0.13400071370727681,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.16472198192900817,0.003087321407456249,0.010485804572880942,0.16435889899730682,0.21695780046561128,0.42280033791177607,0.2050242887001081,0.48586016791720193
episode_000001_000000,episode_000001,episode_000001,0,hold,all35_full_delta,35,"4,3,1,9,10,0,2,5,11,12,13,8,17,16,18,15,14,6,19,20,21,27,7,25,22,24,23,26,32,28,33,34,29,31,30",238.58495004610228,238.58495004610228,0.0,1.0,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,8.536150921317518e-05,1.4344076902370668e-05,7.69173808464429e-05,3.4125521779060364e-05,0.00022597643450158992,0.0005037002442453598,0.4217561127312178,0.9994644880901264
episode_000001_000001,episode_000001,episode_000001,1,hold,no_correction,0,,238.02088628054506,0.0,238.02088628054506,0.0,0.1646573702509476,0.003108546259733557,0.01028174910391418,0.164306640625,0.41514354122574054,0.7033037919066664,0.16384114951432158,0.0031011237938145648,0.010290584308934014,0.1634882539510727,0.4142746811137255,0.7008262429074911,0.0008688601120150352,0.002092914921546568
episode_000001_000001,episode_000001,episode_000001,1,hold,loo_top5,5,"4,3,1,9,10",238.02088628054506,135.94335640865495,195.38000448900996,0.17914764732568933,0.1646573702509476,0.003108546259733557,0.01028174910391418,0.164306640625,0.41514354122574054,0.7033037919066664,0.03270977832327406,0.0014178743061301561,0.004406907040217901,0.03238052502274513,0.3586544247694823,0.7008262429074911,0.05648911645625826,0.13607128823314982
episode_000001_000001,episode_000001,episode_000001,1,hold,loo_top10,10,"4,3,1,9,10,0,2,5,11,12",238.02088628054506,174.0839577458183,162.3228818168538,0.31803093269079447,0.1646573702509476,0.003108546259733557,0.01028174910391418,0.164306640625,0.41514354122574054,0.7033037919066664,0.004125884030965545,0.00034034633506486523,0.0008941673075876333,0.004013421013951302,0.33462613683915543,0.7008262429074911,0.08051740438658511,0.19395075772792178
