method,count,token_count_mean,token_count_p50,token_count_p90,hidden_shift_norm_mean,hidden_shift_norm_p50,hidden_shift_norm_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,action_gap_reduction_ratio_mean,action_gap_reduction_ratio_p50,action_gap_reduction_ratio_p90,improved_count,worsened_count
all35_full_delta,225,35.0,35.0,35.0,277.4230887156967,278.7358319687103,316.3709611719187,1.0,1.0,1.0,0.0006641180932153119,0.0005748112581181857,0.001276516992407961,0.0012023338803657981,0.0011165874970938045,0.0020269800059775425,1.973149641477582e-05,1.6995795283854826e-05,3.729457496352129e-05,4.402765782113037e-05,4.1089053732925226e-05,7.463038314826188e-05,0.0005015579683499203,0.00018384959548711777,0.001603412628173828,0.36959794465726054,0.3386182540302606,0.8429442010846007,0.8706515205891413,0.9976645170582458,0.9998314098667876,225,0
loo_bottom10,225,10.0,10.0,10.0,112.1543005990997,109.64193125163521,133.8359120637806,0.08732340421359393,0.08542165356386279,0.12002048607618168,0.2710996762185631,0.2129414936496851,0.6449623884357554,0.42954105406063997,0.4119426896124062,0.9054672024057957,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,0.09916238653191266,0.046657615068404934,0.25045505924454037,0.16192799411327877,0.14147311467889198,0.4067324602794068,188,37
loo_top10,225,10.0,10.0,10.0,209.47353148272484,211.580476864012,235.4127603781646,0.3490172677781042,0.3454825022538494,0.3965264554745308,0.25394870233207334,0.22688820821731626,0.5678904772854321,0.4380534720187917,0.4118256021402199,0.9243781255193758,0.0004468391906877685,0.0004549505876938648,0.0006751190491324046,0.0006905861878395357,0.000385561760628348,0.0017953329321638743,0.013100799971984493,0.003897101618349552,0.02590811476111412,0.11631336041840247,0.0803257790923738,0.2811025792517797,0.37505941766739764,0.34547310327858327,0.5937649377513505,222,3
loo_top15,225,15.0,15.0,15.0,228.15813404835993,231.79269148187467,255.55608296609478,0.43495930240158726,0.4297323245271721,0.4876415881388637,0.20351642794062003,0.17075745503851425,0.46588241945869113,0.42078520620481447,0.3853073436935575,0.9178851428077542,0.0004468391906877685,0.0004549505876938648,0.0006751190491324046,0.0006905861878395357,0.000385561760628348,0.0017953329321638743,0.013100799971984493,0.003897101618349552,0.02590811476111412,0.16674563480985577,0.13019283330313003,0.37877243295956403,0.493160237710874,0.46671767081370596,0.6839724113870536,224,1
loo_top20,225,20.0,20.0,20.0,242.13155034192673,245.2169638083944,272.2127120304744,0.5150304796526287,0.5105594892043551,0.5764289542824784,0.15789774979771007,0.11510598031436567,0.36701182649978387,0.4120892014354355,0.35249809536430776,0.917353226723491,1.973149641477582e-05,1.6995795283854826e-05,3.729457496352129e-05,4.402765782113037e-05,4.1089053732925226e-05,7.463038314826188e-05,0.0005015579683499203,0.00018384959548711777,0.001603412628173828,0.21236431295276575,0.1711150263382224,0.4835073814487038,0.5944732903698156,0.5827896016851744,0.8066655594201589,223,2
loo_top5,225,5.0,5.0,5.0,149.33504844825737,148.30948280948814,181.737869893692,0.16066322183831436,0.1514207900860478,0.21456446471713225,0.2953658624765911,0.28788949102400735,0.6663091128754358,0.44625807240403365,0.43034544743944514,0.9243781255193758,0.00223285405004761,0.002440589104883055,0.003378583392540871,0.0031782690889163166,0.0009365352357954735,0.008653747331720585,0.08608920208281941,0.04920372739434242,0.24604310393333428,0.07489620027388469,0.041368468486781884,0.17902723792413172,0.19237115486776896,0.19657085119543238,0.30737833876108717,218,7
no_correction,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.370244944991681,0.3391642845654582,0.8434039306107537,0.4641897840917818,0.55793661940154,0.9243781255193758,0.00414962777104082,0.00414749034188765,0.006940550414908007,0.00590990689518472,0.0018109510898518073,0.016633139958573524,0.31551660862233905,0.2414180338382721,0.8119922280311584,1.7117758794818403e-05,-4.860719930703441e-05,0.0006335038301584993,-0.01524364699468046,-0.00020274217995045472,0.004397067949528275,101,124
