frame,episode_id,progress,window,raw_first_l2,raw_first_translation_l2,raw_first_rotation_l2,raw_first_gripper_abs,raw_chunk_mean_l2,raw_chunk_max_l2,norm_output_shift_first_l2,norm_output_shift_first_translation_l2,norm_output_shift_first_rotation_l2,norm_output_shift_first_gripper_abs,norm_output_shift_chunk_mean_l2,norm_output_shift_chunk_max_l2,norm_output_shift_norm,hidden_shift_first_l2,hidden_shift_first_translation_l2,hidden_shift_first_rotation_l2,hidden_shift_first_gripper_abs,hidden_shift_chunk_mean_l2,hidden_shift_chunk_max_l2,hidden_shift_norm,planner_phase,chunk_gap_reduction,chunk_gap_reduction_ratio,first_gripper_reduction
episode_000002_000022,episode_000002,22.0,11.0,0.0678849090392509,0.0005436967427472414,0.0012569416446301606,0.06787109375,0.12808424377772482,0.2168020269533539,0.406210199427964,0.003166438303368346,0.0016496656951860162,0.4061945080757141,0.2400117539708276,0.41303930797910354,0.9910173416137695,0.05827854776305071,0.003368502743773191,0.004052441528720104,0.05803981423377991,0.20219035357365076,0.49423309375098745,170.09881591796875,descent_to_grasp,-0.07410610979592594,-0.5785731922228342,0.009831279516220093
episode_000004_000027,episode_000004,27.0,11.0,0.10164908857933183,0.004178513510502497,0.0003685479634963775,0.1015625,0.02337498326228473,0.10164908857933183,0.29455661017780105,0.0031926704931583877,0.0004008602567934238,0.29453903436660767,0.13799387524436066,0.29455661017780105,0.3835405111312866,0.19001493806282468,0.002957946532187539,0.00017634174094829366,0.18999183177947998,0.051723627250382334,0.19001493806282468,182.84974670410156,grasp_close,-0.028348643988097603,-1.2127770818059929,-0.08842933177947998
episode_000003_000026,episode_000003,26.0,11.0,0.05884107264920371,0.005313963191377605,0.0008978232827530419,0.05859375,0.01572869868509089,0.05884107264920371,0.30993448953031777,0.0054102607197627954,0.0006539664088557097,0.3098865747451782,0.17624573418979572,0.30993448953031777,0.490877628326416,0.12258745221308967,0.0049316881424041024,0.0006854501418780699,0.12248629331588745,0.029383513728400888,0.12258745221308967,166.77439880371094,grasp_close,-0.013654815043309999,-0.8681465209994321,-0.06389254331588745
episode_000005_000025,episode_000005,25.0,11.0,0.02372502092343684,0.0035603138527054343,0.0009404131207876746,0.0234375,0.007024723744983084,0.02372502092343684,0.3221400785450097,0.004118675627245605,0.0009585541826430332,0.3221123218536377,0.21646984997112284,0.3221400785450097,0.589820384979248,0.05663717652934312,0.0030214649515546235,0.0006772607749407558,0.0565524697303772,0.01999889247345409,0.05663717652934312,169.3504180908203,grasp_close,-0.012974168728471005,-1.8469293881822606,-0.0331149697303772
episode_000005_000026,episode_000005,26.0,11.0,0.012175713479770011,0.003177028149936986,0.0009085093909592437,0.01171875,0.004223551439567138,0.012175713479770011,0.27088096785206334,0.0030752613159844063,0.0005575718427770565,0.2708629369735718,0.17608994770984485,0.27088096785206334,0.505864143371582,0.025686725314043705,0.0020156912936817426,0.0005815871188131435,0.025600910186767578,0.012970883211292816,0.025686725314043705,177.06195068359375,grasp_close,-0.008747331771725677,-2.07108446455246,-0.013882160186767578
episode_000004_000028,episode_000004,28.0,11.0,0.03539867570575918,0.0041011811557135685,0.0005335173727488504,0.03515625,0.01014696374231283,0.03539867570575918,0.1781675688229171,0.0024627189989791316,6.787127253678668e-05,0.17815053462982178,0.08878313547541064,0.1781675688229171,0.3184812068939209,0.054095939595175405,0.0024627635286334913,0.00021610955236241378,0.05403941869735718,0.017500762377650646,0.054095939595175405,191.74549865722656,grasp_close,-0.007353798635337817,-0.7247289752965691,-0.018883168697357178
episode_000003_000027,episode_000003,27.0,11.0,0.023981916056153324,0.00498331590331209,0.0009911882173338385,0.0234375,0.007511895772045358,0.023981916056153324,0.23785221161854342,0.004462289696214276,0.0005978540815753195,0.23780959844589233,0.13474194997958344,0.23785221161854342,0.41577526926994324,0.03922759036997788,0.004135698774817851,0.0007084438615209609,0.03900253772735596,0.012567098833589283,0.03922759036997788,174.88677978515625,grasp_close,-0.005055203061543925,-0.6729596915277062,-0.015565037727355957
episode_000005_000027,episode_000005,27.0,11.0,0.004280724554698559,0.004203252223192565,0.0008107240353079092,0.0,0.003077409192524118,0.005440389994455461,0.2188389032440005,0.0034622718586084355,0.0004573187776856551,0.21881103515625,0.13566481179352166,0.2188389032440005,0.42787283658981323,0.0036561765503381537,0.002733378948013857,0.0005306854217841958,0.002369523048400879,0.007952180348219805,0.012554617690949546,186.40237426757812,grasp_close,-0.004874771155695687,-1.584050365332586,-0.002369523048400879
episode_000001_000028,episode_000001,28.0,11.0,0.031703617438525594,0.0052589291876880394,0.0009489586330640773,0.03125,0.00895170152577034,0.031703617438525594,0.1746422229877879,0.0038187842818739213,0.0006076820472563555,0.17459940910339355,0.08503233638482222,0.1746422229877879,0.31712156534194946,0.039246887356754696,0.00319969065020705,0.0006427022540413716,0.03911095857620239,0.013015230092100987,0.039246887356754696,192.59559631347656,grasp_close,-0.004063528566330648,-0.4539392376558221,-0.007860958576202393
episode_000005_000028,episode_000005,28.0,11.0,0.002865863569859626,0.0028544051438289006,0.00025601811641302397,0.0,0.0019664839701815616,0.003909958269756863,0.16883501015691235,0.0014361946596651203,0.00019802366723157126,0.1688287854194641,0.09784816075537382,0.16883501015691235,0.35624679923057556,0.002329115781191674,0.000192212865047317,0.00014850807634424212,0.002316415309906006,0.005384671051011724,0.00845130568904776,196.40493774414062,grasp_close,-0.0034181870808301625,-1.7382227023770593,-0.002316415309906006
episode_000005_000029,episode_000005,29.0,11.0,0.004622732560143348,0.0024627930703530797,0.00021334843034418686,0.00390625,0.0021811364026402087,0.004622732560143348,0.11490799060494566,0.0004243719603621011,0.00020377018780027743,0.11490702629089355,0.06313408289385941,0.11490799060494566,0.3156893253326416,0.0036453780559429316,0.0007246370404685685,0.00020293803994125557,0.0035668611526489258,0.004755930824114256,0.006800372895663403,205.09332275390625,grasp_close,-0.0025747944214740475,-1.1804829896733309,0.0003393888473510742
episode_000005_000037,episode_000005,37.0,11.0,0.003932171738394515,0.00044260898012996524,8.533937213767466e-05,0.00390625,0.001790249217880666,0.003932171738394515,0.00781637046732478,0.003775045380567764,0.0003385825648415994,0.0068359375,0.004155138053537599,0.00781637046732478,0.29940927028656006,0.0062146640523741,0.00394103662590561,0.00022119526083030474,0.004800140857696533,0.004184555472957162,0.0062146640523741,196.96109008789062,lift,-0.0023943062550764956,-1.3374150543749015,-0.0008938908576965332
episode_000005_000038,episode_000005,38.0,11.0,0.004044866431508144,0.001044851932531166,0.0001021754634308593,0.00390625,0.0019300983523966846,0.004044866431508144,0.008114807053941814,0.004359759799354698,0.0003354795235603048,0.0068359375,0.0039036370801671903,0.008114807053941814,0.294082909822464,0.007330838915117467,0.004540640964471722,0.00019129144840816925,0.005752146244049072,0.00430622323188821,0.007330838915117467,188.50096130371094,lift,-0.002376124879491525,-1.2310900512095617,-0.0018458962440490723
episode_000005_000039,episode_000005,39.0,11.0,0.004145873364179921,0.0013668997481891664,0.0002471071988367219,0.00390625,0.0017354475907509106,0.004145873364179921,0.008543255995767864,0.0047706662588919415,0.00014229224589113203,0.007085740566253662,0.0028877526731618357,0.008543255995767864,0.2924036979675293,0.00790252962075892,0.005241501294810366,0.00014351335128186433,0.005912363529205322,0.0038227366102981273,0.00790252962075892,182.05580139160156,lift,-0.0020872890195472167,-1.2027381470183538,-0.0020061135292053223
episode_000004_000029,episode_000004,29.0,11.0,0.012237206237652972,0.0034917431731135867,0.00047733065412507283,0.01171875,0.005064172392037878,0.012237206237652972,0.11282838952399318,0.001292367828513443,0.00023425451008940977,0.11282074451446533,0.05516354377619146,0.11282838952399318,0.2883162498474121,0.014016923672278313,0.001123446126736339,0.00011102201498642299,0.013971388339996338,0.006899649414115186,0.014016923672278313,198.56149291992188,grasp_close,-0.0018354770220773073,-0.36244362947895054,-0.002252638339996338
