frame,episode_id,progress,window,raw_first_l2,raw_first_translation_l2,raw_first_rotation_l2,raw_first_gripper_abs,raw_chunk_mean_l2,raw_chunk_max_l2,norm_output_shift_first_l2,norm_output_shift_first_translation_l2,norm_output_shift_first_rotation_l2,norm_output_shift_first_gripper_abs,norm_output_shift_chunk_mean_l2,norm_output_shift_chunk_max_l2,norm_output_shift_norm,hidden_shift_first_l2,hidden_shift_first_translation_l2,hidden_shift_first_rotation_l2,hidden_shift_first_gripper_abs,hidden_shift_chunk_mean_l2,hidden_shift_chunk_max_l2,hidden_shift_norm,planner_phase,chunk_gap_reduction,chunk_gap_reduction_ratio,first_gripper_reduction
episode_000001_000000,episode_000001,0.0,11.0,0.16546320011139556,0.0030818785102542843,0.010513342467953588,0.16510009765625,0.4219820891657194,0.7041612876799314,0.3286186760459291,0.0019110821189624275,0.00619185079403952,0.32855477929115295,0.3411228935613765,0.42895637471121917,2.5889618396759033,0.013792147063077813,0.0014523611378528597,0.006371425381555597,0.01214573613833636,0.024374758837479592,0.032838759267125525,219.79461669921875,hold,0.3976073303282398,0.9422374563677104,0.15295436151791364
episode_000001_000001,episode_000001,1.0,11.0,0.1646573702509476,0.003108546259733557,0.01028174910391418,0.164306640625,0.41514354122574054,0.7033037919066664,0.34039415347392676,0.0018778145681110313,0.006166989740797519,0.34033310413360596,0.3545246349460496,0.44735329189772693,2.5840747356414795,0.012900160592833118,0.0014023795766156908,0.00637073100225979,0.011129297432489693,0.022698952901892368,0.03132615648955998,215.76370239257812,hold,0.39244458832384815,0.9453226398877069,0.1531773431925103
episode_000001_000002,episode_000001,2.0,11.0,0.17066611948939214,0.003309330358428374,0.010860039681735791,0.1702880859375,0.42997138849174865,0.7211299284537991,0.3490511247977858,0.0017418665924075739,0.005416756727226992,0.34900474548339844,0.346969995056854,0.44351887733186235,2.5762510299682617,0.01167494941869491,0.0012574068165798502,0.005745479192123768,0.010085278423503041,0.020980882937269563,0.028878055347378598,211.47653198242188,alignment,0.4089905055544791,0.9512040021758977,0.16020280751399696
episode_000001_000003,episode_000001,3.0,11.0,0.16411498513353173,0.003044383576399605,0.010392248973840263,0.16375732421875,0.41875427705474016,0.704150545200969,0.3605869522054736,0.0020025825877439335,0.005562578601595308,0.3605384826660156,0.35874012049376847,0.45145760120537637,2.529458522796631,0.012329590965343824,0.001434612805010075,0.005713184860490004,0.010831445804797113,0.02201935629921271,0.0301273873999144,206.1836700439453,alignment,0.39673492075552746,0.947416999644557,0.1529258784139529
episode_000001_000004,episode_000001,4.0,11.0,0.1893587814709447,0.0028903926254461665,0.009722791829124798,0.1890869140625,0.4980522157810798,0.752952457478686,0.33395764996956995,0.002165469451618072,0.005853833939384638,0.3338993191719055,0.27413885402493054,0.3428890282960542,2.466636896133423,0.014398287295474146,0.0017372982980202736,0.006482821007502916,0.012738347752019763,0.028136196500913268,0.045036318021070186,200.09854125976562,alignment,0.4699160192801665,0.9435075367413271,0.17634856631048024
episode_000001_000005,episode_000001,5.0,11.0,0.23226048826897397,0.0030070916986414367,0.009276884550876769,0.2320556640625,0.5863490709185128,0.7959406918016114,0.29408623390390454,0.0021492270831130074,0.006367009658068786,0.2940094470977783,0.18488280914009836,0.29408623390390454,2.430751085281372,0.014598831273169533,0.001852671236411676,0.007202661542056917,0.012562450021505356,0.030398673317028058,0.054887073095952976,195.38919067382812,alignment,0.5559503976014848,0.9481560134999298,0.21949321404099464
episode_000001_000006,episode_000001,6.0,11.0,0.35455292286566814,0.00357380257392274,0.010808473170091067,0.3543701171875,0.6856069747586344,0.860928021941375,0.18804922110535743,0.0018474140611505056,0.004865270802072143,0.18797719478607178,0.09283586360802136,0.18804922110535743,2.4003958702087402,0.010950802534545466,0.0013600554471822146,0.0047906449794232805,0.009752950631082058,0.015075060415701984,0.01839887645324567,190.81712341308594,alignment,0.6705319143429325,0.9780120958935561,0.34461716655641794
episode_000001_000007,episode_000001,7.0,11.0,0.5256178791823883,0.004124820962496554,0.012557611526872922,0.52545166015625,0.8035838760854747,0.9124925697113019,0.03479841614194934,0.001741424665975602,0.003239848538058681,0.03460347652435303,0.03136789495480756,0.04999244003479409,2.3702597618103027,0.005449254628070801,0.0011316184582122752,0.001851022862650724,0.004998752847313881,0.02366001497267367,0.04804164111814199,186.9562225341797,alignment,0.779923861112801,0.9705568818927409,0.5204529073089361
episode_000001_000008,episode_000001,8.0,11.0,0.36975830119880587,0.004932924074310957,0.01586702523057637,0.369384765625,0.713213669373188,0.8861228694106106,0.20963725144944545,0.0017322132798151518,0.001316730642884159,0.2096259593963623,0.08121301108454501,0.20963725144944545,2.3381359577178955,0.00441656871665137,0.0012548576724020878,0.0020526217605042977,0.0037038028240203857,0.005957351836415471,0.00897424691317984,183.92799377441406,alignment,0.7072563175367725,0.9916471709780169,0.3656809628009796
episode_000001_000009,episode_000001,9.0,11.0,0.39205001728209254,0.004389696180351584,0.01373756029830637,0.39178466796875,0.7115152631743655,0.8588684199301815,0.20696163756596334,0.001728505062084319,0.0013327349864953252,0.2069501280784607,0.08864368588644003,0.20696163756596334,2.2892990112304688,0.00570666231400349,0.0011391349906927778,0.0009585766676556793,0.00550903775729239,0.00973720171971461,0.02240643181563829,181.51527404785156,alignment,0.7017780614546509,0.9863148378907953,0.3862756302114576
episode_000001_000010,episode_000001,10.0,11.0,0.24606591479817472,0.0028579581812319867,0.009911411133477254,0.245849609375,0.5626869796832417,0.7222288825932577,0.37139752387457153,0.002582049253547092,0.0040630796058975386,0.37136632204055786,0.23786856634670195,0.37139752387457153,2.2326905727386475,0.009170227929005131,0.0018414982701061356,0.0035992711612378085,0.008230869425460696,0.01925571269403978,0.0314834220093375,180.5386505126953,alignment,0.5434312669892019,0.9657789972235015,0.2376187399495393
