planner_phase,count,raw_chunk_mean_l2_mean,raw_chunk_mean_l2_p50,raw_chunk_mean_l2_p90,hidden_shift_chunk_mean_l2_mean,hidden_shift_chunk_mean_l2_p50,hidden_shift_chunk_mean_l2_p90,chunk_gap_reduction_mean,chunk_gap_reduction_p50,chunk_gap_reduction_p90,chunk_gap_reduction_ratio_mean,chunk_gap_reduction_ratio_p50,chunk_gap_reduction_ratio_p90,raw_first_translation_l2_mean,raw_first_translation_l2_p50,raw_first_translation_l2_p90,hidden_shift_first_translation_l2_mean,hidden_shift_first_translation_l2_p50,hidden_shift_first_translation_l2_p90,raw_first_rotation_l2_mean,raw_first_rotation_l2_p50,raw_first_rotation_l2_p90,hidden_shift_first_rotation_l2_mean,hidden_shift_first_rotation_l2_p50,hidden_shift_first_rotation_l2_p90,raw_first_gripper_abs_mean,raw_first_gripper_abs_p50,raw_first_gripper_abs_p90,hidden_shift_first_gripper_abs_mean,hidden_shift_first_gripper_abs_p50,hidden_shift_first_gripper_abs_p90,improved_count,worsened_count
alignment,85,0.7128873851915671,0.7551681349946969,0.8878821075957496,0.08619791022566094,0.030398673317028058,0.2697795987134937,0.6266894749659062,0.7114094082666871,0.803637114648667,0.8638290750292434,0.9518059937296549,0.9852323443735005,0.004872292685468449,0.004745880814139908,0.007599821312889989,0.001704683195686029,0.0013600554471822146,0.0031617861469581967,0.01238403961941789,0.01144368057959996,0.019018296191932533,0.0035930058908500264,0.00330144247549172,0.0064730277109772355,0.5317813648897058,0.5401611328125,0.8380126953125,0.020054475875461802,0.009411673992872238,0.053495347499847426,85,0
descent_to_grasp,40,0.3878654232653962,0.35263779724487576,0.7471154771468747,0.20723087652655847,0.17682783817374226,0.43339523323308826,0.1806345467388377,0.10022821972855117,0.43482787112361354,0.3590464412504225,0.2824316280152581,0.751489797889739,0.004038019564231275,0.003473391314321545,0.00792721668582143,0.002946819861708207,0.0029504060598178304,0.004580578924580833,0.002408378621372529,0.0012268615810161814,0.0056343729080794575,0.0013337983783378682,0.0006219050215579647,0.003805762305420879,0.5248008728027344,0.498046875,0.85938720703125,0.22033273155102506,0.163536936044693,0.4198098957538606,39,1
grasp_close,50,0.004461201667223244,0.0033742383358214304,0.007447906799380556,0.005603549434880542,0.002510497435888156,0.012975317899373633,-0.0011423477676572977,0.0009011684554495283,0.0017358602002233478,-0.06539133380723915,0.2972808600082913,0.5104933924390589,0.003765754212562107,0.0035058428298582944,0.004974695255668387,0.0014777085362530221,0.0013480366556338423,0.0030392875214198664,0.00043953859631232564,0.0004303803292574736,0.0009116997639420868,0.00029304877457825447,0.00022344055295303497,0.0006354051835157115,0.00984375,0.00390625,0.0234375,0.013820436000823975,0.002980947494506836,0.0390133798122406,31,19
hold,10,0.6853105834807216,0.7341097475539307,0.7760814986370388,0.025754159987751768,0.02353685586968598,0.03750000071525481,0.6595564234929698,0.7172114444573137,0.7432614494650677,0.9610543880770985,0.9574848189697227,0.9788708134834508,0.004472013916521393,0.004792565610798147,0.005159526617403683,0.000802452124608651,0.00079994778331872,0.0014073777327394076,0.0149589088891074,0.015775908875573487,0.017489023953182622,0.002479808441600951,0.0015400778905285827,0.0063708004401893704,0.417669677734375,0.455841064453125,0.53597412109375,0.00709461779333651,0.004287528805434704,0.013454342447221278,10,0
lift,40,0.003068838219740434,0.0028650288286515063,0.004846418964322055,0.0029841128275408103,0.0029031955299686015,0.004424557574195327,8.472539219962353e-05,0.0004409568602362302,0.0013099001393908094,-0.07228123806022331,0.11428899835127297,0.43503776869126115,0.003127700241937291,0.0032245510667586177,0.005324742505467771,0.002436200893486127,0.0021928672657273236,0.0045820355746627045,0.00023713701479888784,0.00021657991674443975,0.0003945292170791269,0.0001783164938661106,0.00016922287270568242,0.0002784618789676695,0.0041015625,0.00390625,0.0078125,0.004545633494853973,0.0034767091274261475,0.009164720773696903,25,15
