condition,correction_mode,planner_phase,count,raw_gap_chunk_mean_l2_mean,raw_gap_chunk_mean_l2_p50,raw_gap_chunk_mean_l2_p90,raw_gap_chunk_max_l2_mean,raw_gap_chunk_max_l2_p50,raw_gap_chunk_max_l2_p90,raw_gap_first_l2_mean,raw_gap_first_l2_p50,raw_gap_first_l2_p90,raw_gap_first_translation_l2_mean,raw_gap_first_translation_l2_p50,raw_gap_first_translation_l2_p90,raw_gap_first_rotation_l2_mean,raw_gap_first_rotation_l2_p50,raw_gap_first_rotation_l2_p90,raw_gap_first_gripper_abs_mean,raw_gap_first_gripper_abs_p50,raw_gap_first_gripper_abs_p90,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_chunk_max_l2_mean,gap_to_sim_chunk_max_l2_p50,gap_to_sim_chunk_max_l2_p90,gap_to_sim_first_l2_mean,gap_to_sim_first_l2_p50,gap_to_sim_first_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,improved_count,worsened_count
aligned_P4,condition_specific_progress_phase,alignment,85,0.05630341594333472,0.02404186388644211,0.14003087177348483,0.0976799178424429,0.04787836705603237,0.2155417337933592,0.02214295800500755,0.015046691398958732,0.044760062613203824,0.0013818998480252362,0.001187671483946387,0.0023758715665859716,0.0034692641657778724,0.0031757793422928808,0.005813348383910188,0.02156641343060662,0.0146484375,0.04409179687500004,0.03797682975152011,0.019025253545242964,0.07861668470269768,0.07884455474978612,0.03733596829029696,0.19335451588754354,0.005923097061921987,0.004154094530858973,0.009751941248081717,0.0009138609066573114,0.000775731255239646,0.0017298310948076101,0.002295271447105604,0.001825086965580682,0.004528335171486062,0.004950706297120846,0.002928753849118948,0.009269741736352446,0.09629858992710444,0.08285792676336445,0.22344567272000124,0.018326586191814605,0.007691824289563574,0.08652954654916245,53,32
aligned_P4,condition_specific_progress_phase,descent_to_grasp,40,0.3012596852020216,0.337432981088013,0.4544271166272854,0.47716027992129667,0.5595762422322361,0.6809652390036716,0.33836489136619746,0.34366597501281043,0.6285219540534551,0.002471687793011642,0.002394077640105888,0.003614720365258684,0.0033131332774691,0.0025179530294271004,0.00645312360491951,0.3382575988769531,0.3436279296875,0.628515625,0.14318443994891336,0.13677953306201487,0.25260942745229875,0.26319121208547014,0.2624741571699779,0.44230221596897973,0.09006117579556695,0.04878845679787078,0.2252487056953762,0.0011866692627731119,0.001172579265245887,0.002029214976315492,0.0023988129049398546,0.002011980367717636,0.005240536213138223,0.08961244799866108,0.04874550853855908,0.2252455592155457,0.2083873734240666,0.1942207829923811,0.4473475303295265,0.15807524525310823,0.1691196035928138,0.3053427571990681,33,7
aligned_P4,condition_specific_progress_phase,grasp_close,50,0.06013189224780056,0.0663780726000199,0.0887527946635786,0.12626130198290964,0.13284586600217535,0.17227455992704221,0.10664840429959167,0.12500225675860727,0.17227455992704221,0.00106068954306502,0.0009976808909745035,0.0017621243504670858,0.0003029667287382231,0.00030275309296817255,0.0004354364453358956,0.106640625,0.125,0.172265625,0.0839676558738811,0.0469110584945729,0.2675394357484183,0.1763004308048535,0.10263574657041065,0.49908530158489806,0.15257332475458293,0.09522133430730192,0.40955048583153747,0.0012101078716059066,0.0010251052628574612,0.002786466832675341,0.00035197996055966586,0.0002505169908573261,0.0009089876527460966,0.15256647318601607,0.09522032737731934,0.4095407247543335,0.23671998737417455,0.281688306344306,0.3220907067891201,-0.02383576362608052,0.017622371403705216,0.052982026944852836,37,13
aligned_P4,condition_specific_progress_phase,hold,10,0.03578690798431202,0.022681124841828753,0.08120272343325527,0.06297904195762752,0.042464046514659216,0.14566100171919255,0.020589596390245844,0.017852387957217677,0.030310352622897857,0.0013403432952013357,0.001213257945864305,0.0019073441785119169,0.0046125600494493005,0.005102768738224043,0.007064160166438294,0.019830322265625,0.017822265625,0.029412841796875,0.02879556104967549,0.017161368248194496,0.07062478196553414,0.07453430207364754,0.027593674539327803,0.2164808452092626,0.004463526959637998,0.004077952430990973,0.006387685868832661,0.0007225298271673667,0.0007288902929017528,0.0012891358900878225,0.0026203734704055843,0.0018119952956069463,0.0059740742725168565,0.0029498627875000237,0.002840746659785509,0.004219698160886764,0.15104085044062895,0.14330334307516895,0.26296284487861765,0.006991346934636528,0.011278126922354033,0.015970701678564733,6,4
aligned_P4,condition_specific_progress_phase,lift,40,0.06869547021224684,0.056049311361330775,0.13526635530297546,0.1604166564849905,0.11331550825789596,0.3525710134326814,0.15328737410754772,0.09571207275705504,0.3525710134326814,0.0018062005479233846,0.001211051507953456,0.004615832055576053,0.0006347297703491108,0.0004406408990810546,0.001560387856904421,0.153271484375,0.095703125,0.3525390625000002,0.07219217040757538,0.0421615473497467,0.18285885506899804,0.16438912217128257,0.09814365259205274,0.45032960886602685,0.1586970068641575,0.09814365259205274,0.39694151957784146,0.001953620806658671,0.0017982253451146082,0.00452144879778084,0.0004374576389444905,0.00030509286370563834,0.0008161387303303218,0.1586786299943924,0.09811994433403015,0.3969305723905564,0.11290498938489917,0.11969345784842508,0.24910202300592058,-0.003496700195328538,0.010836042112270286,0.05360248258651307,22,18
aligned_P4,original_P0_trained_progress_phase_transfer,alignment,85,0.05630341594333472,0.02404186388644211,0.14003087177348483,0.0976799178424429,0.04787836705603237,0.2155417337933592,0.02214295800500755,0.015046691398958732,0.044760062613203824,0.0013818998480252362,0.001187671483946387,0.0023758715665859716,0.0034692641657778724,0.0031757793422928808,0.005813348383910188,0.02156641343060662,0.0146484375,0.04409179687500004,0.050985495433521065,0.04458039365563993,0.08516493872236834,0.10149216200316577,0.07745341064335352,0.19742207198771863,0.013228533910789441,0.013606220501028039,0.01745256076876418,0.0026215119603190977,0.0025528324865984895,0.0038435461699992224,0.008954026251848383,0.009440389841299638,0.011832560548763546,0.008769736374276416,0.008696485398104414,0.01437350533087738,-0.4689832704904292,-0.47088190351730086,-0.2707671048232238,0.005317920509813642,-0.013647183132422268,0.07593975845109119,32,53
aligned_P4,original_P0_trained_progress_phase_transfer,descent_to_grasp,40,0.3012596852020216,0.337432981088013,0.4544271166272854,0.47716027992129667,0.5595762422322361,0.6809652390036716,0.33836489136619746,0.34366597501281043,0.6285219540534551,0.002471687793011642,0.002394077640105888,0.003614720365258684,0.0033131332774691,0.0025179530294271004,0.00645312360491951,0.3382575988769531,0.3436279296875,0.628515625,0.18896831435338302,0.1698946733982536,0.32936123524072203,0.3850637765177061,0.31915391901544576,0.6183113730567708,0.08444410084083889,0.048491454245054105,0.14762245153150647,0.002771188485346417,0.002570483665499422,0.00399997787579625,0.0028696837456225538,0.001993612197511784,0.005899611179934232,0.08368652764811486,0.04834750448935665,0.14760754166636617,-0.25271411379036096,-0.2484937546916591,-0.05232017370857788,0.1122913708486386,0.09424132912603203,0.3483268910476419,29,11
aligned_P4,original_P0_trained_progress_phase_transfer,grasp_close,50,0.06013189224780056,0.0663780726000199,0.0887527946635786,0.12626130198290964,0.13284586600217535,0.17227455992704221,0.10664840429959167,0.12500225675860727,0.17227455992704221,0.00106068954306502,0.0009976808909745035,0.0017621243504670858,0.0003029667287382231,0.00030275309296817255,0.0004354364453358956,0.106640625,0.125,0.172265625,0.08166014854947971,0.0687534470009341,0.15261081498376203,0.24348719391777413,0.2037388692204744,0.4538271837803349,0.1622090615087566,0.17350852613123863,0.2298679510631761,0.00671141055423745,0.006817890599000443,0.008462366968588621,0.0004947960143268318,0.00045289509462677704,0.0007468902064510704,0.16198185682296753,0.1733781397342682,0.22976334095001222,-0.3856180438125363,-0.3443260349497562,-0.31533449034904726,-0.021528256301679146,0.0036483576649631415,0.02345835370311735,29,21
aligned_P4,original_P0_trained_progress_phase_transfer,hold,10,0.03578690798431202,0.022681124841828753,0.08120272343325527,0.06297904195762752,0.042464046514659216,0.14566100171919255,0.020589596390245844,0.017852387957217677,0.030310352622897857,0.0013403432952013357,0.001213257945864305,0.0019073441785119169,0.0046125600494493005,0.005102768738224043,0.007064160166438294,0.019830322265625,0.017822265625,0.029412841796875,0.04111014390932574,0.043249426665919626,0.04683302182168835,0.0717888208015017,0.07642245920072221,0.08275657298575473,0.013472776683260097,0.012624680997506962,0.016090995404420043,0.0022003000965097274,0.0020376608152961953,0.003034250514142313,0.008937510815906756,0.008306180992393017,0.013551879899321353,0.009565300049143844,0.008956906574894674,0.012480708071961999,-0.5326546711878086,-0.5355131521594039,-0.5028662908828562,-0.005323235925013724,-0.021505866742226914,0.03723416950409314,4,6
aligned_P4,original_P0_trained_progress_phase_transfer,lift,40,0.06869547021224684,0.056049311361330775,0.13526635530297546,0.1604166564849905,0.11331550825789596,0.3525710134326814,0.15328737410754772,0.09571207275705504,0.3525710134326814,0.0018062005479233846,0.001211051507953456,0.004615832055576053,0.0006347297703491108,0.0004406408990810546,0.001560387856904421,0.153271484375,0.095703125,0.3525390625000002,0.0995699643606227,0.062013215678429726,0.2765210805320948,0.22433324256516501,0.16111234503897823,0.49724359239135724,0.15497875630090274,0.1125579592536874,0.3710707622678214,0.0038545863089195637,0.0035010766587666355,0.007074303635889833,0.0005900189206932834,0.0003563221779876326,0.001302226217339654,0.15487073734402657,0.11246758699417114,0.37106691002845765,-0.30981382644433914,-0.2889392225964762,-0.21465934331192563,-0.03087449414837587,0.002291532199940405,0.02068131742076492,22,18
