condition,correction_mode,fold_episode,frame,episode_id,progress,planner_phase,raw_gap_first_l2,raw_gap_first_translation_l2,raw_gap_first_rotation_l2,raw_gap_first_gripper_abs,raw_gap_chunk_mean_l2,raw_gap_chunk_max_l2,gap_to_sim_first_l2,gap_to_sim_first_translation_l2,gap_to_sim_first_rotation_l2,gap_to_sim_first_gripper_abs,gap_to_sim_chunk_mean_l2,gap_to_sim_chunk_max_l2,repr_gap_raw,repr_gap_corrected,repr_gap_reduction_ratio,action_gap_reduction
original_P0,condition_specific_progress_phase,episode_000001,episode_000001_000000,episode_000001,0,hold,0.1625254011692389,0.0030481909844264003,0.010294300690097548,0.16217041015625,0.41231154319750535,0.6958578495177282,0.013286524398888774,0.0013107499341632161,0.005806921526085723,0.011878271237947047,0.02391910838922385,0.03276057603032442,239.65016992588016,202.70703617204512,0.15415442336327548,0.3883924348082815
original_P0,condition_specific_progress_phase,episode_000001,episode_000001_000001,episode_000001,1,hold,0.1670498482654469,0.003206364914947832,0.01052668769434712,0.16668701171875,0.4223623216797792,0.7116071267480509,0.011917693502921038,0.0012139834670675015,0.005818326790023679,0.010329798446036875,0.021799668301905325,0.031126436287840203,237.92230012831894,200.20290003502726,0.1585366318035276,0.4005626533778739
original_P0,condition_specific_progress_phase,episode_000001,episode_000001_000002,episode_000001,2,alignment,0.16773348645957953,0.0032889659335255572,0.010717819526799937,0.1673583984375,0.4256131782234328,0.7090460723105906,0.011759271375619393,0.0012812908156937624,0.006319910803095626,0.00983348791487515,0.020840661075873467,0.028475767515701522,240.89690769403163,201.89438997018294,0.16190543123694484,0.40477251714755935
original_P0,condition_specific_progress_phase,episode_000001,episode_000001_000003,episode_000001,3,alignment,0.1612106930683194,0.003105862515682482,0.010663603755923245,0.16082763671875,0.41285017949567154,0.6993832676048961,0.012515262150614723,0.0014470782171233324,0.006496232935550102,0.010598901310004294,0.02240944468421949,0.03036672065434233,237.02647453021368,201.22572365536834,0.15104114823376755,0.39044073481145203
original_P0,condition_specific_progress_phase,episode_000001,episode_000001_000004,episode_000001,4,alignment,0.1819778485287944,0.002810600444077887,0.009620009187896647,0.18170166015625,0.48417276680635213,0.7412302421521341,0.014398959136006133,0.0018288056576399243,0.006897396934306826,0.012506454717367887,0.029540055989530363,0.04860543922459642,237.67950650630036,193.99350589221157,0.18380213446349766,0.4546327108168218
original_P0,condition_specific_progress_phase,episode_000001,episode_000001_000005,episode_000001,5,alignment,0.2351925544684024,0.0030267371012261952,0.009394737406695964,0.2349853515625,0.5909889849440597,0.795943028075068,0.01501819776184786,0.0018954715914567615,0.007714405581644722,0.012745250016450882,0.03192316208949321,0.058536168800122815,226.78998868675822,178.23367863786987,0.2141025286435999,0.5590658228545665
original_P0,condition_specific_progress_phase,episode_000001,episode_000001_000006,episode_000001,6,alignment,0.3565086146262137,0.003604260726410429,0.010915524921249585,0.3563232421875,0.6863385817761137,0.8599479071525894,0.01115619291949461,0.00128502897780455,0.00527387493905936,0.00974656781181693,0.017641826424913097,0.021680251331196703,252.74786498128694,188.32866877829588,0.25487533280552366,0.6686967553512007
original_P0,condition_specific_progress_phase,episode_000001,episode_000001_000007,episode_000001,7,alignment,0.5329972006729692,0.0041480222994006635,0.012394871866100776,0.5328369140625,0.8060112656264113,0.9120023827845697,0.005427825929274474,0.0009427634117377563,0.0025249930000799227,0.004711358807981014,0.024693626678705477,0.063742547883301,279.3962471061215,201.0690096801809,0.28034462966923823,0.7813176389477059
original_P0,condition_specific_progress_phase,episode_000001,episode_000001_000008,episode_000001,8,alignment,0.3734131652210291,0.004898457384422971,0.015793230460387567,0.373046875,0.7153425925746336,0.8894189251459025,0.005536988512093746,0.001557902611936843,0.0033786844073668628,0.004100691759958863,0.007185278574254374,0.012243092283565779,289.0305565014279,231.2951586703845,0.19975534258350353,0.7081573140003793
original_P0,condition_specific_progress_phase,episode_000001,episode_000001_000009,episode_000001,9,alignment,0.3920410943278778,0.004314101125050118,0.013504892369031808,0.39178466796875,0.7096439937759634,0.8538599476144265,0.005850648877897387,0.0012746364758133594,0.001108687248297212,0.005601446842774749,0.008960799978240102,0.020526983161679224,267.99328257107715,214.15934057849893,0.20087795289533195,0.7006831937977234
